time	V(out_pos,out_neg)
0.000000000000000e+00	1.668930e-06
9.142856630514224e-10	1.668930e-06
1.828571326102845e-09	1.668930e-06
2.742856989154267e-09	1.668930e-06
3.657142652205690e-09	1.668930e-06
4.571428315257112e-09	1.668930e-06
5.485713978308534e-09	1.668930e-06
6.399999641359955e-09	1.668930e-06
1.279999928271991e-08	1.668930e-06
2.559999856543982e-08	1.668930e-06
4.455039705003501e-08	1.907349e-06
8.245119401922540e-08	2.622604e-06
9.999999999999989e-08	3.099442e-06
1.274563658938390e-07	3.337860e-06
1.529158641070075e-07	1.668930e-06
1.797208035988581e-07	-2.622604e-06
1.999999999999999e-07	-5.483627e-06
2.366144419747021e-07	-1.049042e-05
2.868762887553425e-07	-1.430511e-05
3.733989533116424e-07	-1.549721e-05
3.842472018534030e-07	-1.525879e-05
4.059436989369242e-07	-1.525879e-05
4.493366931039666e-07	-1.525879e-05
5.361226814380513e-07	-1.502037e-05
7.096946581062208e-07	-1.478195e-05
1.056838611442560e-06	-1.406670e-05
1.475000539804985e-06	-1.311302e-05
1.988466376171076e-06	-1.192093e-05
2.649944789909760e-06	-1.049042e-05
3.194308330681657e-06	5.483627e-06
3.687836587459144e-06	2.312660e-05
4.223245964391146e-06	2.574921e-05
4.745179964447713e-06	1.692772e-05
5.248521766910531e-06	-4.768372e-07
5.637276495074125e-06	2.145767e-06
6.062260061626368e-06	1.907349e-06
6.912227194730856e-06	2.145767e-06
8.159217327025656e-06	1.907349e-06
1.065319759161526e-05	2.145767e-06
1.564115812079446e-05	1.668930e-06
2.420232193124801e-05	-4.768372e-07
3.420232193124801e-05	-1.907349e-06
4.420232193124801e-05	-3.099442e-06
5.420232193124801e-05	-4.291534e-06
5.913286243187640e-05	-5.006790e-06
6.173160650891935e-05	4.196167e-05
6.293454550186286e-05	4.079342e-04
6.351941953582195e-05	5.859852e-03
6.396995031534996e-05	1.587439e-02
6.443717732981739e-05	3.151059e-02
6.498307491414363e-05	5.587006e-02
6.575130543963660e-05	1.001110e-01
6.663913384822266e-05	1.500001e-01
6.777854475218498e-05	2.020822e-01
6.932323981029211e-05	2.739069e-01
7.085221764577921e-05	3.484998e-01
7.293723286157240e-05	4.552031e-01
7.463555857316838e-05	5.460958e-01
7.632016174772637e-05	6.405706e-01
7.879374279507279e-05	7.854943e-01
8.119187779725689e-05	9.327507e-01
8.369992426940174e-05	1.094915e+00
8.540065036802295e-05	1.213783e+00
8.647411218677488e-05	1.301905e+00
8.717622942671121e-05	1.367962e+00
8.740525945307737e-05	1.390291e+00
8.762707930880284e-05	1.411923e+00
8.783126789668150e-05	1.431922e+00
8.815132564104910e-05	1.463425e+00
8.863789926615287e-05	1.511632e+00
8.941100761914356e-05	1.588921e+00
9.087654658785617e-05	1.737479e+00
9.380762452528140e-05	2.040969e+00
9.675777148497326e-05	2.352816e+00
9.962166553849062e-05	2.660105e+00
1.014733146103936e-04	2.851459e+00
1.026565468299586e-04	2.956947e+00
1.040466220969125e-04	3.072423e+00
1.055696105625987e-04	3.192709e+00
1.072208629162810e-04	3.318390e+00
1.093550287555122e-04	3.475058e+00
1.129562413471264e-04	3.728513e+00
1.173430298655789e-04	4.022987e+00
1.215671811681922e-04	4.294878e+00
1.266294540476301e-04	4.609135e+00
1.348594082663004e-04	5.099816e+00
1.448594082663004e-04	5.631571e+00
1.548594082663004e-04	5.914778e+00
1.648594082663004e-04	6.092391e+00
1.748594082663004e-04	6.204919e+00
1.848594082663004e-04	6.274676e+00
1.948594082663004e-04	6.317115e+00
2.048594082663004e-04	6.342430e+00
2.148594082663004e-04	6.357392e+00
2.248594082663004e-04	6.366163e+00
2.348594082663004e-04	6.371273e+00
2.448594082663004e-04	6.374241e+00
2.548594082663004e-04	6.375962e+00
2.648594082663004e-04	6.376959e+00
2.748594082663004e-04	6.377539e+00
2.848594082663004e-04	6.377877e+00
2.948594082663004e-04	6.378074e+00
3.048594082663004e-04	6.378191e+00
3.148594082663004e-04	6.378260e+00
3.248594082663004e-04	6.378302e+00
3.348594082663004e-04	6.378326e+00
3.448594082663004e-04	6.378341e+00
3.548594082663004e-04	6.378351e+00
3.648594082663004e-04	6.378357e+00
3.748594082663004e-04	6.378361e+00
3.848594082663004e-04	6.378363e+00
3.948594082663004e-04	6.378364e+00
4.048594082663004e-04	6.378365e+00
4.148594082663004e-04	6.378366e+00
4.248594082663004e-04	6.378366e+00
4.348594082663004e-04	6.378366e+00
4.448594082663004e-04	6.378367e+00
4.548594082663004e-04	6.378367e+00
4.648594082663004e-04	6.378367e+00
4.748594082663004e-04	6.378367e+00
4.848594082663004e-04	6.378367e+00
4.948594082663004e-04	6.378367e+00
5.048594082663004e-04	6.378367e+00
5.148594082663004e-04	6.378367e+00
5.248594082663003e-04	6.378367e+00
5.348594082663004e-04	6.378367e+00
5.448594082663004e-04	6.378367e+00
5.548594082663004e-04	6.378367e+00
5.648594082663003e-04	6.378367e+00
5.848594082663004e-04	6.378367e+00
6.148594082663004e-04	6.378367e+00
6.662879796948718e-04	6.378367e+00
