time	V(out_pos,out_neg)
0.000000000000000e+00	1.668930e-06
9.142856630514224e-10	1.693258e-06
1.828571326102845e-09	1.698124e-06
2.742856989154267e-09	1.683527e-06
3.657142652205690e-09	1.649467e-06
4.571428315257112e-09	1.595945e-06
5.485713978308534e-09	1.522959e-06
6.399999641359955e-09	1.430511e-06
1.279999928271991e-08	1.430511e-06
2.398452174189563e-08	1.668930e-06
3.534665034408766e-08	1.430511e-06
5.807090754847172e-08	1.430511e-06
9.570440770350271e-08	1.668930e-06
9.999999999999989e-08	1.668930e-06
1.209734213938536e-07	1.668930e-06
1.369332653961945e-07	1.668930e-06
1.530310054579175e-07	1.668930e-06
1.673529879759923e-07	1.668930e-06
1.845125943344473e-07	1.668930e-06
1.999999999999999e-07	1.430511e-06
2.222299457532688e-07	1.430511e-06
2.666898372598065e-07	1.430511e-06
3.320666337848518e-07	1.430511e-06
3.409401929206847e-07	1.430511e-06
3.586873111923504e-07	1.192093e-06
3.941815477356819e-07	1.430511e-06
4.651700208223449e-07	1.430511e-06
5.723770381525559e-07	1.430511e-06
7.539645258574142e-07	9.536743e-07
1.105685158821193e-06	7.152557e-07
1.503332398178323e-06	4.768372e-07
1.934861807007281e-06	4.768372e-07
2.277276302167618e-06	1.192093e-06
2.542065977484063e-06	1.668930e-06
2.802385564749222e-06	1.907349e-06
3.323024739279541e-06	2.861023e-06
3.961570346609749e-06	3.576279e-06
4.412990907520138e-06	3.337860e-06
4.765816496478111e-06	3.576279e-06
5.111990435828620e-06	3.337860e-06
5.804338314529639e-06	3.337860e-06
7.189034071931677e-06	3.337860e-06
9.958425586735751e-06	3.337860e-06
1.549720861634390e-05	3.099442e-06
2.273672309100227e-05	2.145767e-06
3.231023487557931e-05	9.536743e-07
4.231023487557931e-05	-7.152557e-07
5.231023487557931e-05	-2.145767e-06
5.356023487557932e-05	-2.384186e-06
5.606023487557931e-05	-7.152557e-07
5.673455505213187e-05	2.861023e-06
5.749925154975967e-05	6.675720e-06
5.778105100155451e-05	8.344650e-06
5.794730935780088e-05	9.298325e-06
5.805193363085903e-05	1.001358e-05
5.813965642544685e-05	1.120567e-05
5.821246123092239e-05	1.311302e-05
5.828838452403633e-05	1.668930e-05
5.836956874324176e-05	2.336502e-05
5.845809454561257e-05	3.528595e-05
5.854912395301100e-05	5.412102e-05
5.865204340923808e-05	8.654594e-05
5.876576520944591e-05	1.389980e-04
5.889930660205880e-05	2.288818e-04
5.905476902240027e-05	3.809929e-04
5.924191936906706e-05	6.453991e-04
5.946767606745239e-05	1.108646e-03
5.974390635032911e-05	1.931190e-03
6.008615260815722e-05	3.414392e-03
6.051478647186236e-05	6.123066e-03
6.106348141329057e-05	1.119471e-02
6.177743526213652e-05	2.076197e-02
6.230157750020014e-05	2.961302e-02
6.290260006949662e-05	4.123116e-02
6.361515209255457e-05	5.673456e-02
6.444447677048650e-05	7.686567e-02
6.599178378677002e-05	1.196787e-01
6.846483082293111e-05	2.002349e-01
7.238585346571380e-05	3.530564e-01
7.626466840388214e-05	5.313787e-01
7.837408388164704e-05	6.387343e-01
8.043892472440342e-05	7.499762e-01
8.204410150186994e-05	8.403230e-01
8.360877837891506e-05	9.315462e-01
8.539684331196764e-05	1.039702e+00
8.670804300378662e-05	1.121880e+00
8.760505817276856e-05	1.179751e+00
8.822272103012217e-05	1.220587e+00
8.873750451819048e-05	1.255407e+00
8.924923431794414e-05	1.290877e+00
8.953145098468571e-05	1.310834e+00
8.977281529049825e-05	1.328136e+00
9.001376731197961e-05	1.345629e+00
9.025990401183042e-05	1.363727e+00
9.054314932004888e-05	1.384837e+00
9.088286901359943e-05	1.410551e+00
9.131282390007645e-05	1.443700e+00
9.189618402267408e-05	1.489719e+00
9.277184573946102e-05	1.560940e+00
9.430286197336148e-05	1.691120e+00
9.736489444116242e-05	1.969428e+00
1.027400337967585e-04	2.495034e+00
1.060240929062171e-04	2.826232e+00
1.084197040767621e-04	3.056817e+00
1.100471521286256e-04	3.205602e+00
1.119685494137401e-04	3.372300e+00
1.152273323006705e-04	3.635473e+00
1.206350932218495e-04	4.031306e+00
1.251485855218182e-04	4.332781e+00
1.296812411342986e-04	4.617347e+00
1.347321372512933e-04	4.920047e+00
1.396638322215956e-04	5.205488e+00
1.416765629379624e-04	5.319653e+00
1.428354084865215e-04	5.383627e+00
1.444420210767682e-04	5.467054e+00
1.451597534368798e-04	5.502046e+00
1.460471272759683e-04	5.543170e+00
1.470048146946499e-04	5.584978e+00
1.479649199157880e-04	5.624439e+00
1.490531158906793e-04	5.666559e+00
1.497496736486085e-04	5.692193e+00
1.504489582743145e-04	5.716978e+00
1.510986558754780e-04	5.739206e+00
1.518329206465115e-04	5.763448e+00
1.527324324788127e-04	5.791932e+00
1.538955964033086e-04	5.826868e+00
1.555003492122432e-04	5.871742e+00
1.579470129495458e-04	5.933267e+00
1.622622795215380e-04	6.023906e+00
1.708928126655226e-04	6.151947e+00
1.808928126655226e-04	6.238205e+00
1.908928126655226e-04	6.282917e+00
2.008928126655226e-04	6.304409e+00
2.108928126655226e-04	6.314020e+00
2.208928126655226e-04	6.317988e+00
2.308928126655226e-04	6.319481e+00
2.408928126655226e-04	6.319983e+00
2.508928126655226e-04	6.320128e+00
2.608928126655226e-04	6.320164e+00
2.708928126655226e-04	6.320177e+00
2.808928126655226e-04	6.320189e+00
2.908928126655226e-04	6.320201e+00
3.008928126655226e-04	6.320214e+00
3.108928126655226e-04	6.320225e+00
3.208928126655226e-04	6.320234e+00
3.308928126655226e-04	6.320240e+00
3.408928126655226e-04	6.320245e+00
3.508928126655226e-04	6.320248e+00
3.608928126655226e-04	6.320251e+00
3.708928126655225e-04	6.320252e+00
3.808928126655226e-04	6.320253e+00
3.908928126655225e-04	6.320254e+00
4.008928126655226e-04	6.320254e+00
4.108928126655225e-04	6.320255e+00
4.208928126655226e-04	6.320255e+00
4.308928126655225e-04	6.320255e+00
4.408928126655226e-04	6.320255e+00
4.508928126655225e-04	6.320255e+00
4.608928126655226e-04	6.320255e+00
4.708928126655225e-04	6.320255e+00
4.808928126655226e-04	6.320255e+00
4.908928126655226e-04	6.320255e+00
5.008928126655225e-04	6.320255e+00
5.108928126655225e-04	6.320255e+00
5.208928126655226e-04	6.320255e+00
5.308928126655226e-04	6.320255e+00
5.408928126655225e-04	6.320255e+00
5.608928126655226e-04	6.320255e+00
5.794642412369511e-04	6.320255e+00
5.980356698083797e-04	6.320255e+00
6.166070983798083e-04	6.320255e+00
6.351785269512369e-04	6.320255e+00
6.537499555226655e-04	6.320255e+00
