t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
4.87E-06,-0.000110146,-0.000110146,-4.29E-06,-4.29E-06,-7.87E-07,-7.87E-07,-4.85E-08,-2.38E-07,6.08E-19
5.22E-06,-0.000108324,-0.000108324,-4.19E-06,-4.19E-06,-8.38E-07,-8.38E-07,-4.92E-08,0,6.08E-19
5.61E-06,-0.000106437,-0.000106437,-4.05E-06,-4.05E-06,-8.96E-07,-8.96E-07,-4.97E-08,-2.38E-07,6.13E-19
6.06E-06,-0.000104211,-0.000104211,-3.98E-06,-3.98E-06,-9.13E-07,-9.13E-07,-5.02E-08,-2.38E-07,6.19E-19
6.56E-06,-0.000101889,-0.000101889,-3.85E-06,-3.85E-06,-9.47E-07,-9.47E-07,-5.07E-08,-2.38E-07,6.25E-19
7.06E-06,-9.95E-05,-9.95E-05,-3.79E-06,-3.79E-06,-9.45E-07,-9.45E-07,-5.11E-08,-2.38E-07,6.31E-19
7.62E-06,-9.71E-05,-9.71E-05,-3.67E-06,-3.67E-06,-9.68E-07,-9.68E-07,-5.15E-08,0,6.31E-19
8.18E-06,-9.48E-05,-9.48E-05,-3.61E-06,-3.61E-06,-9.60E-07,-9.60E-07,-5.19E-08,-2.38E-07,6.38E-19
8.78E-06,-9.23E-05,-9.23E-05,-3.48E-06,-3.48E-06,-9.84E-07,-9.84E-07,-5.23E-08,-2.38E-07,6.46E-19
9.42E-06,-8.99E-05,-8.99E-05,-3.42E-06,-3.42E-06,-9.87E-07,-9.87E-07,-5.28E-08,0,6.46E-19
1.02E-05,-8.73E-05,-8.73E-05,-3.27E-06,-3.27E-06,-1.05E-06,-1.05E-06,-5.33E-08,-2.38E-07,6.56E-19
1.10E-05,-8.49E-05,-8.49E-05,-3.18E-06,-3.18E-06,-1.17E-06,-1.17E-06,-5.41E-08,-2.38E-07,6.70E-19
1.22E-05,-8.37E-05,-8.37E-05,-2.97E-06,-2.97E-06,-1.74E-06,-1.74E-06,-5.58E-08,-2.38E-07,6.85E-19
1.34E-05,-8.69E-05,-8.69E-05,-2.83E-06,-2.83E-06,-3.40E-06,-3.40E-06,-5.96E-08,-2.38E-07,7.01E-19
1.45E-05,-9.38E-05,-9.38E-05,-2.64E-06,-2.64E-06,-6.84E-06,-6.84E-06,-6.64E-08,0,7.01E-19
1.52E-05,-0.00010001,-0.00010001,-2.57E-06,-2.57E-06,-1.06E-05,-1.06E-05,-7.42E-08,-2.38E-07,7.12E-19
1.57E-05,-0.000104301,-0.000104301,-2.48E-06,-2.48E-06,-1.35E-05,-1.35E-05,-8.07E-08,-2.38E-07,7.22E-19
1.63E-05,-0.000108963,-0.000108963,-2.45E-06,-2.45E-06,-1.70E-05,-1.70E-05,-8.95E-08,-2.38E-07,7.34E-19
1.68E-05,-0.000113937,-0.000113937,-2.36E-06,-2.36E-06,-2.11E-05,-2.11E-05,-1.01E-07,-2.38E-07,7.49E-19
