t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
8.61E-06,-9.23E-06,-9.23E-06,-1.16E-06,-1.16E-06,-3.90E-07,-3.90E-07,3.47E-07,9.54E-07,4.89E-18
9.13E-06,-9.27E-06,-9.27E-06,-1.18E-06,-1.18E-06,-4.21E-07,-4.21E-07,3.42E-07,1.19E-06,5.12E-18
9.75E-06,-9.41E-06,-9.41E-06,-1.25E-06,-1.25E-06,-4.81E-07,-4.81E-07,3.36E-07,1.19E-06,5.39E-18
1.05E-05,-9.87E-06,-9.87E-06,-1.45E-06,-1.45E-06,-6.15E-07,-6.15E-07,3.29E-07,9.54E-07,5.63E-18
1.13E-05,-1.13E-05,-1.13E-05,-2.09E-06,-2.09E-06,-9.91E-07,-9.91E-07,3.21E-07,1.19E-06,5.99E-18
1.23E-05,-1.55E-05,-1.55E-05,-4.04E-06,-4.04E-06,-2.13E-06,-2.13E-06,3.10E-07,1.19E-06,6.33E-18
1.31E-05,-2.13E-05,-2.13E-05,-7.13E-06,-7.13E-06,-4.05E-06,-4.05E-06,2.99E-07,9.54E-07,6.53E-18
1.38E-05,-2.74E-05,-2.74E-05,-1.08E-05,-1.08E-05,-6.54E-06,-6.54E-06,2.89E-07,9.54E-07,6.70E-18
1.43E-05,-3.34E-05,-3.34E-05,-1.47E-05,-1.47E-05,-9.47E-06,-9.47E-06,2.79E-07,9.54E-07,6.85E-18
1.50E-05,-4.05E-05,-4.05E-05,-1.97E-05,-1.97E-05,-1.35E-05,-1.35E-05,2.64E-07,9.54E-07,7.01E-18
1.56E-05,-4.77E-05,-4.77E-05,-2.49E-05,-2.49E-05,-1.81E-05,-1.81E-05,2.47E-07,7.15E-07,7.12E-18
1.62E-05,-5.45E-05,-5.45E-05,-2.99E-05,-2.99E-05,-2.27E-05,-2.27E-05,2.28E-07,7.15E-07,7.22E-18
1.68E-05,-6.07E-05,-6.07E-05,-3.45E-05,-3.45E-05,-2.71E-05,-2.71E-05,2.07E-07,7.15E-07,7.31E-18
1.74E-05,-6.70E-05,-6.70E-05,-3.90E-05,-3.90E-05,-3.16E-05,-3.16E-05,1.83E-07,7.15E-07,7.39E-18
1.80E-05,-7.24E-05,-7.24E-05,-4.28E-05,-4.28E-05,-3.54E-05,-3.54E-05,1.59E-07,4.77E-07,7.44E-18
1.86E-05,-7.73E-05,-7.73E-05,-4.61E-05,-4.61E-05,-3.88E-05,-3.88E-05,1.33E-07,4.77E-07,7.47E-18
1.91E-05,-8.17E-05,-8.17E-05,-4.89E-05,-4.89E-05,-4.18E-05,-4.18E-05,1.08E-07,2.38E-07,7.49E-18
1.96E-05,-8.57E-05,-8.57E-05,-5.14E-05,-5.14E-05,-4.44E-05,-4.44E-05,8.15E-08,2.38E-07,7.50E-18
2.02E-05,-8.93E-05,-8.93E-05,-5.36E-05,-5.36E-05,-4.67E-05,-4.67E-05,5.51E-08,0,7.50E-18
2.07E-05,-9.29E-05,-9.29E-05,-5.55E-05,-5.55E-05,-4.88E-05,-4.88E-05,2.77E-08,2.38E-07,7.50E-18
2.12E-05,-9.65E-05,-9.65E-05,-5.73E-05,-5.73E-05,-5.07E-05,-5.07E-05,-1.84E-09,0,7.50E-18
2.18E-05,-0.000100406,-0.000100406,-5.91E-05,-5.91E-05,-5.27E-05,-5.27E-05,-3.61E-08,0,7.50E-18
2.27E-05,-0.000105315,-0.000105315,-6.10E-05,-6.10E-05,-5.49E-05,-5.49E-05,-8.31E-08,-2.38E-07,7.52E-18
2.38E-05,-0.000110956,-0.000110956,-6.31E-05,-6.31E-05,-5.73E-05,-5.73E-05,-1.47E-07,-7.15E-07,7.63E-18
2.48E-05,-0.00011536,-0.00011536,-6.44E-05,-6.44E-05,-5.89E-05,-5.89E-05,-2.08E-07,-7.15E-07,7.78E-18
2.57E-05,-0.000118503,-0.000118503,-6.52E-05,-6.52E-05,-5.99E-05,-5.99E-05,-2.59E-07,-7.15E-07,7.96E-18
2.69E-05,-0.000121969,-0.000121969,-6.59E-05,-6.59E-05,-6.08E-05,-6.08E-05,-3.27E-07,-1.19E-06,8.43E-18
2.81E-05,-0.000125029,-0.000125029,-6.63E-05,-6.63E-05,-6.14E-05,-6.14E-05,-4.00E-07,-1.19E-06,9.31E-18
3.06E-05,-0.000129418,-0.000129418,-6.63E-05,-6.63E-05,-6.19E-05,-6.19E-05,-5.46E-07,-1.67E-06,1.21E-17
3.42E-05,-0.000132886,-0.000132886,-6.53E-05,-6.53E-05,-6.12E-05,-6.12E-05,-7.56E-07,-2.38E-06,1.84E-17
3.76E-05,-0.000133977,-0.000133977,-6.35E-05,-6.35E-05,-5.98E-05,-5.98E-05,-9.47E-07,-3.10E-06,3.13E-17
4.30E-05,-0.000133397,-0.000133397,-6.01E-05,-6.01E-05,-5.68E-05,-5.68E-05,-1.24E-06,-4.05E-06,5.31E-17
4.63E-05,-0.00013206,-0.00013206,-5.74E-05,-5.74E-05,-5.45E-05,-5.45E-05,-1.40E-06,-4.77E-06,7.35E-17
4.91E-05,-0.000130586,-0.000130586,-5.48E-05,-5.48E-05,-5.24E-05,-5.24E-05,-1.54E-06,-5.01E-06,9.49E-17
5.18E-05,-0.000128789,-0.000128789,-5.16E-05,-5.16E-05,-5.01E-05,-5.01E-05,-1.67E-06,-5.48E-06,1.15E-16
5.34E-05,-0.000127647,-0.000127647,-4.94E-05,-4.94E-05,-4.85E-05,-4.85E-05,-1.74E-06,-5.72E-06,1.27E-16
5.43E-05,-0.000126942,-0.000126942,-4.81E-05,-4.81E-05,-4.76E-05,-4.76E-05,-1.78E-06,-5.96E-06,1.34E-16
5.48E-05,-0.000204928,-0.000204928,-0.000432457,-0.000432457,-0.000111271,-0.000111271,-1.47E-06,-4.77E-06,1.37E-16
5.51E-05,-0.000279271,-0.000279271,-0.000754183,-0.000754183,-0.00015712,-0.00015712,-8.86E-07,-2.86E-06,1.37E-16
5.53E-05,-0.000272171,-0.000272171,-0.000652634,-0.000652634,-0.000105917,-0.000105917,-4.83E-07,-1.67E-06,1.38E-16
5.55E-05,-0.000317294,-0.000317294,-0.000789108,-0.000789108,-8.73E-05,-8.73E-05,5.19E-08,2.38E-07,1.38E-16
5.58E-05,-0.000346913,-0.000346913,-0.000850788,-0.000850788,-5.31E-05,-5.31E-05,7.90E-07,2.62E-06,1.38E-16
5.61E-05,-0.000361642,-0.000361642,-0.000912796,-0.000912796,-4.99E-05,-4.99E-05,1.75E-06,5.72E-06,1.41E-16
5.64E-05,-0.000367252,-0.000367252,-0.000940241,-0.000940241,-4.21E-05,-4.21E-05,2.80E-06,9.30E-06,1.47E-16
5.66E-05,-0.000428207,-0.000428207,-0.001136499,-0.001136499,-0.00072681,-0.000726813,3.66E-06,1.19E-05,1.55E-16
5.67E-05,-0.000418379,-0.000418379,-0.002203467,-0.002203467,-0.002113326,-0.002113348,5.71E-06,1.88E-05,1.68E-16
5.68E-05,-0.000228944,-0.000228944,-0.003534732,-0.003534732,-0.003379277,-0.003379282,7.68E-06,2.55E-05,1.81E-16
5.69E-05,-0.000296001,-0.000296001,-0.005233067,-0.005233067,-0.005095043,-0.005095064,1.03E-05,3.41E-05,2.03E-16
5.69E-05,-0.000169271,-0.000169271,-0.007484641,-0.007484641,-0.007342038,-0.007342035,1.41E-05,4.63E-05,2.46E-16
5.70E-05,-0.000258778,-0.000258778,-0.010533126,-0.010533126,-0.010395293,-0.010395319,1.96E-05,6.46E-05,3.58E-16
5.71E-05,-0.000136506,-0.000136506,-0.016867246,-0.016867246,-0.016728655,-0.016728641,3.24E-05,0.000106812,7.82E-16
5.72E-05,-0.000228255,-0.000228255,-0.027262866,-0.027262866,-0.0271255,-0.02712553,5.68E-05,0.000187159,2.62E-15
