config_id,t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
2.0,2.231710067598693e-06,-7.152742e-05,-7.247223e-05,-2.846143e-07,-2.846143e-07,-2.8461417e-07,-2.8461423e-07,5.249506e-07,1.9073486e-06,2.223321806809943e-18
2.0,2.6855087471903033e-06,-7.172782e-05,-7.2196846e-05,-2.8197394e-07,-2.8197394e-07,-2.8197383e-07,-2.8197388e-07,5.2509546e-07,1.9073486e-06,2.660504603287175e-18
2.0,3.1047311163048792e-06,-7.1849536e-05,-7.2024195e-05,-2.79341e-07,-2.79341e-07,-2.7934092e-07,-2.7934092e-07,5.2517214e-07,1.66893e-06,2.996998071636289e-18
2.0,3.453341852475395e-06,-7.191703e-05,-7.1923976e-05,-2.7738577e-07,-2.7738577e-07,-2.7738568e-07,-2.773857e-07,5.25203e-07,1.66893e-06,3.3004499932630093e-18
2.0,3.79712710330048e-06,-7.196359e-05,-7.1851566e-05,-2.7575817e-07,-2.7575817e-07,-2.757581e-07,-2.757581e-07,5.2521114e-07,1.9073486e-06,3.644575485015058e-18
2.0,4.140383134683944e-06,-7.199552e-05,-7.179795e-05,-2.7442485e-07,-2.7442485e-07,-2.744248e-07,-2.7442482e-07,5.252024e-07,1.66893e-06,3.951764246969318e-18
2.0,4.498050382425307e-06,-7.201811e-05,-7.175653e-05,-2.7330788e-07,-2.7330788e-07,-2.7330785e-07,-2.7330785e-07,5.2517976e-07,1.66893e-06,4.326982352657156e-18
2.0,4.996568240397622e-06,-7.203706e-05,-7.171505e-05,-2.721182e-07,-2.721182e-07,-2.7211817e-07,-2.7211817e-07,5.251318e-07,1.66893e-06,4.786749107396428e-18
2.0,5.547257243301643e-06,-7.2047325e-05,-7.1684066e-05,-2.711738e-07,-2.711738e-07,-2.711738e-07,-2.711738e-07,5.250636e-07,1.66893e-06,5.253476858162878e-18
2.0,6.061798620333112e-06,-7.205074e-05,-7.166366e-05,-2.7053252e-07,-2.7053252e-07,-2.7053252e-07,-2.7053252e-07,5.249906e-07,1.66893e-06,5.693842461874269e-18
2.0,6.552460152490634e-06,-7.2051465e-05,-7.1649054e-05,-2.7006382e-07,-2.7006382e-07,-2.7006382e-07,-2.7006382e-07,5.249156e-07,1.66893e-06,6.121598993632298e-18
2.0,7.038358815968775e-06,-7.205128e-05,-7.1637616e-05,-2.6969153e-07,-2.6969153e-07,-2.6969153e-07,-2.6969153e-07,5.248378e-07,1.66893e-06,6.552842464271438e-18
2.0,7.537126956552652e-06,-7.205259e-05,-7.162846e-05,-2.6937528e-07,-2.6937528e-07,-2.6937528e-07,-2.6937528e-07,5.24755e-07,1.9073486e-06,7.054689020756376e-18
2.0,8.041158658395678e-06,-7.2058065e-05,-7.162175e-05,-2.6910672e-07,-2.6910672e-07,-2.691067e-07,-2.691067e-07,5.2466856e-07,1.66893e-06,7.500421851861504e-18
2.0,8.555205879695111e-06,-7.207375e-05,-7.1618655e-05,-2.6888037e-07,-2.6888037e-07,-2.6888037e-07,-2.6888037e-07,5.2457636e-07,1.66893e-06,7.955935192781367e-18
2.0,9.081759650162698e-06,-7.211058e-05,-7.1621886e-05,-2.6870725e-07,-2.6870725e-07,-2.6870725e-07,-2.6870725e-07,5.244751e-07,1.66893e-06,8.434598834804925e-18
2.0,9.648903846717436e-06,-7.219757e-05,-7.163906e-05,-2.6862335e-07,-2.6862335e-07,-2.6862332e-07,-2.6862335e-07,5.243516e-07,1.66893e-06,8.996343127452886e-18
2.0,1.0365590872543312e-05,-7.2453324e-05,-7.170191e-05,-2.6881065e-07,-2.6881065e-07,-2.688106e-07,-2.6881062e-07,5.24149e-07,1.66893e-06,9.702984278581663e-18
2.0,1.1264511929601704e-05,-7.3289266e-05,-7.192516e-05,-2.7008102e-07,-2.7008102e-07,-2.7008093e-07,-2.7008102e-07,5.2371837e-07,1.66893e-06,1.0527520220614352e-17
2.0,1.2252294354800738e-05,-7.561284e-05,-7.2563955e-05,-2.7443951e-07,-2.7443951e-07,-2.7443932e-07,-2.7443954e-07,5.2270224e-07,1.66893e-06,1.138808263689338e-17
2.0,1.323747921115495e-05,-8.0278514e-05,-7.386095e-05,-2.8437628e-07,-2.8437628e-07,-2.8437594e-07,-2.843763e-07,5.205365e-07,1.66893e-06,1.225430324372568e-17
2.0,1.4246496541704311e-05,-8.7467895e-05,-7.58743e-05,-3.017661e-07,-3.017661e-07,-3.0176562e-07,-3.0176614e-07,5.1641723e-07,1.66893e-06,1.3086408865111765e-17
2.0,1.5168422823824497e-05,-9.5233896e-05,-7.806459e-05,-3.225734e-07,-3.225734e-07,-3.2257287e-07,-3.2257338e-07,5.105728e-07,1.66893e-06,1.3837471541577897e-17
2.0,1.6009326209713063e-05,-0.00010251597,-8.013169e-05,-3.4305552e-07,-3.4305552e-07,-3.4305492e-07,-3.4305543e-07,5.034136e-07,1.66893e-06,1.4506513273993274e-17
2.0,1.676107190801794e-05,-0.00010880517,-8.192565e-05,-3.608256e-07,-3.608256e-07,-3.60825e-07,-3.6082545e-07,4.955836e-07,1.66893e-06,1.5099511437323046e-17
2.0,1.7443257309660004e-05,-0.000114178154,-8.3461564e-05,-3.7567273e-07,-3.7567273e-07,-3.7567207e-07,-3.756725e-07,4.873867e-07,1.4305115e-06,1.555699458147133e-17
2.0,1.8073392815954272e-05,-0.00011880865,-8.478132e-05,-3.8796534e-07,-3.8796534e-07,-3.8796472e-07,-3.879651e-07,4.7896634e-07,1.4305115e-06,1.5995829572095144e-17
2.0,1.8724215296159704e-05,-0.00012324979,-8.602925e-05,-3.990704e-07,-3.990704e-07,-3.9906976e-07,-3.990701e-07,4.6949324e-07,1.4305115e-06,1.641354707231338e-17
2.0,1.9317311422537282e-05,-0.00012703246,-8.7044216e-05,-4.0768631e-07,-4.0768631e-07,-4.076857e-07,-4.0768597e-07,4.6024792e-07,1.4305115e-06,1.6799859321482142e-17
2.0,1.9897721295337192e-05,-0.00013056006,-8.789671e-05,-4.145952e-07,-4.145952e-07,-4.145946e-07,-4.1459484e-07,4.5071945e-07,1.4305115e-06,1.717016940400733e-17
2.0,2.046598828550401e-05,-0.00013397759,-8.854403e-05,-4.1965313e-07,-4.1965313e-07,-4.1965262e-07,-4.1965274e-07,4.4103348e-07,1.4305115e-06,1.7533277458208337e-17
2.0,2.104879463023469e-05,-0.0001375537,-8.8982364e-05,-4.227709e-07,-4.227709e-07,-4.2277043e-07,-4.2277048e-07,4.3086501e-07,1.4305115e-06,1.7913546040314516e-17
2.0,2.1699910755704428e-05,-0.00014162318,-8.9238885e-05,-4.2372903e-07,-4.2372903e-07,-4.237286e-07,-4.2372858e-07,4.1937506e-07,1.4305115e-06,1.836235413974805e-17
2.0,2.254501905725462e-05,-0.00014659882,-8.946623e-05,-4.2235877e-07,-4.2235877e-07,-4.223583e-07,-4.2235834e-07,4.0436103e-07,1.1920929e-06,1.8896602410643187e-17
2.0,2.3916543432996112e-05,-0.00015328238,-8.996564e-05,-4.190588e-07,-4.190588e-07,-4.1905835e-07,-4.1905838e-07,3.796072e-07,1.1920929e-06,1.9531321684112892e-17
2.0,2.535024047766423e-05,-0.00015845886,-9.0681475e-05,-4.17153e-07,-4.17153e-07,-4.1715253e-07,-4.1715262e-07,3.5293237e-07,1.1920929e-06,2.0175599771670848e-17
2.0,2.6979224390694736e-05,-0.00016308858,-9.1326074e-05,-4.1511842e-07,-4.1511842e-07,-4.1511805e-07,-4.1511808e-07,3.216486e-07,1.1920929e-06,2.0851532892674705e-17
2.0,2.8875912903080547e-05,-0.00016683002,-9.203087e-05,-4.1159367e-07,-4.1159367e-07,-4.1159325e-07,-4.1159333e-07,2.8410258e-07,9.536743e-07,2.1456349670132647e-17
2.0,3.144378328357364e-05,-0.0001703544,-9.259206e-05,-4.0463735e-07,-4.0463735e-07,-4.0463706e-07,-4.04637e-07,2.3191348e-07,7.1525574e-07,2.2027025492871638e-17
2.0,3.575660518162069e-05,-0.00017305516,-9.315896e-05,-3.8946433e-07,-3.8946433e-07,-3.89464e-07,-3.8946405e-07,1.4232465e-07,4.7683716e-07,2.2397511048911105e-17
2.0,4.236198355284981e-05,-0.00017342863,-9.313047e-05,-3.6348462e-07,-3.6348462e-07,-3.634845e-07,-3.634844e-07,4.166884e-09,0.0,2.2397511048911105e-17
2.0,5.236198355284981e-05,-0.00016943924,-9.234395e-05,-3.2673384e-07,-3.2673384e-07,-3.2673367e-07,-3.2673373e-07,-1.9980996e-07,-7.1525574e-07,2.382666325564514e-17
2.0,6.236198355284981e-05,-0.00016173263,-9.064484e-05,-2.9450902e-07,-2.9450902e-07,-2.945091e-07,-2.94509e-07,-3.9010592e-07,-1.1920929e-06,2.847708826600032e-17
2.0,7.236198355284981e-05,-0.000147744,-8.777254e-05,-2.6138488e-07,-2.6138488e-07,-2.613849e-07,-2.613849e-07,-5.5499163e-07,-1.66893e-06,3.50676085352224e-17
2.0,7.659264715913578e-05,-0.044629306,0.00012447464,4.664599e-06,4.664599e-06,4.650258e-06,4.6616374e-06,0.00029399898,0.0009701252,8.684531879243189e-13
2.0,7.845153473373023e-05,-0.29707432,-0.000120344994,4.043628e-06,4.043628e-06,3.8857975e-06,4.0232762e-06,0.001326364,0.0043768883,9.572073265410622e-12
2.0,7.959113118363438e-05,-0.54994404,0.00012472761,3.891852e-06,3.891852e-06,3.7509067e-06,3.854783e-06,0.0028566949,0.009427071,3.245491414972713e-11
2.0,8.015094928079206e-05,-0.6804888,-0.000114124494,3.6936278e-06,3.6936278e-06,3.4990944e-06,3.6481617e-06,0.003933406,0.012980223,4.941854698146789e-11
2.0,8.025563570284167e-05,-0.713957,0.00011104418,3.566736e-06,3.566736e-06,3.323575e-06,3.519143e-06,0.0041631977,0.013738632,5.4293967743405224e-11
2.0,8.032142854898016e-05,-0.727558,-9.058439e-05,3.917109e-06,3.917109e-06,3.8377707e-06,3.868617e-06,0.0043101343,0.014223576,5.878558674494855e-11
2.0,8.040216798054815e-05,-0.75042814,9.443089e-05,3.3704919e-06,3.3704919e-06,3.04708e-06,3.3206172e-06,0.0044966037,0.0148386955,6.470874904038192e-11
2.0,8.049897144269719e-05,-0.7751325,-8.220861e-05,3.940872e-06,3.940872e-06,3.885223e-06,3.889356e-06,0.0047263987,0.015597105,7.303272214567603e-11
2.0,8.062800040432844e-05,-0.81033665,9.032583e-05,3.2949972e-06,3.2949972e-06,2.9525427e-06,3.2413643e-06,0.005044841,0.016648054,8.488746312805311e-11
2.0,8.078127158822183e-05,-0.851494,-7.921024e-05,3.891634e-06,3.891634e-06,3.8332437e-06,3.835323e-06,0.0054406044,0.017954111,1.0224135051937755e-10
2.0,8.098331718338589e-05,-0.9076057,8.910151e-05,3.2123844e-06,3.2123844e-06,2.8565887e-06,3.152701e-06,0.0059922147,0.019774199,1.3072970478614892e-10
2.0,8.126212324111796e-05,-0.9856831,-7.743513e-05,3.7927762e-06,3.7927762e-06,3.7223367e-06,3.7281702e-06,0.0068098158,0.022472382,1.8515560650027555e-10
2.0,8.16946145229297e-05,-1.1106579,8.945151e-05,3.0624738e-06,3.0624738e-06,2.6865894e-06,2.990407e-06,0.008210685,0.027095318,3.294808367048639e-10
2.0,8.255959708655317e-05,-1.368759,-7.515873e-05,3.5310316e-06,3.5310316e-06,3.428364e-06,3.4436016e-06,0.011510764,0.037985563,8.511793726170466e-10
2.0,8.408092470939179e-05,-1.841977,9.290323e-05,2.6039966e-06,2.6039966e-06,2.1760802e-06,2.4902488e-06,0.018981036,0.06263757,2.694660449192904e-09
2.0,8.56606835802766e-05,-2.3410854,-7.0295326e-05,2.9757211e-06,2.9757211e-06,2.8197367e-06,2.8362003e-06,0.029025467,0.09578395,8.606052195423717e-09
2.0,8.833345850606357e-05,-3.1676629,9.9222656e-05,1.9158792e-06,1.9158792e-06,1.4388962e-06,1.7396869e-06,0.05125026,0.1691258,3.281348423207735e-08
2.0,9.124632166477044e-05,-3.998178,-6.233632e-05,2.1711858e-06,2.1711858e-06,1.9833885e-06,1.9665683e-06,0.082525454,0.2723341,9.529682487961957e-08
2.0,9.38938360556349e-05,-4.6682625,0.000106277395,1.2158923e-06,1.2158923e-06,7.367591e-07,9.966603e-07,0.11668108,0.38504767,1.8975612029500586e-07
2.0,9.545126142008277e-05,-5.021078,-5.7456655e-05,1.6999919e-06,1.6999919e-06,1.5254915e-06,1.4764964e-06,0.13904071,0.4588344,2.666677395094901e-07
2.0,9.630498476001723e-05,-5.202053,0.00010867928,9.69293e-07,9.69293e-07,5.0274525e-07,7.449172e-07,0.15193826,0.5013964,3.197929653918923e-07
2.0,9.684596657458243e-05,-5.311731,-5.5929544e-05,1.5655628e-06,1.5655628e-06,1.4000109e-06,1.3408553e-06,0.16033038,0.52909017,3.582726277712147e-07
2.0,9.721221121373626e-05,-5.3841286,0.000109289336,8.856429e-07,8.856429e-07,4.2580098e-07,6.6111903e-07,0.16610435,0.54814434,3.897027963183522e-07
2.0,9.753636656408423e-05,-5.446225,-5.5017077e-05,1.5046015e-06,1.5046015e-06,1.3450348e-06,1.2801278e-06,0.17127493,0.56520724,4.215990028775565e-07
2.0,9.787118403548595e-05,-5.508656,0.00010957717,8.323373e-07,8.323373e-07,3.8010504e-07,6.083619e-07,0.17667274,0.58302,4.551082933697322e-07
2.0,9.818700877166055e-05,-5.5646186,-5.4216558e-05,1.4575596e-06,1.4575596e-06,1.3079714e-06,1.2339813e-06,0.18181518,0.5999899,4.901618263243271e-07
2.0,9.851385360143915e-05,-5.618688,0.0001097866,7.989709e-07,7.989709e-07,3.625222e-07,5.764221e-07,0.18718503,0.6177106,5.288084871656029e-07
2.0,9.885548473933243e-05,-5.6680655,-5.3582808e-05,1.4391119e-06,1.4391119e-06,1.3136614e-06,1.2178328e-06,0.1928436,0.636384,5.732493140234909e-07
2.0,9.9238102170615e-05,-5.7120056,0.00010986933,8.0310804e-07,8.0310804e-07,4.043017e-07,5.844302e-07,0.19922459,0.65744114,6.305533815207338e-07
