time	V(out_pos,out_neg)
0.000000000000000e+00	1.668930e-06
9.142856630514224e-10	1.576482e-06
1.828571326102845e-09	1.503497e-06
2.742856989154267e-09	1.449974e-06
3.657142652205690e-09	1.415914e-06
4.571428315257112e-09	1.401317e-06
5.485713978308534e-09	1.406183e-06
6.399999641359955e-09	1.430511e-06
1.279999928271991e-08	1.668930e-06
2.559999856543982e-08	1.907349e-06
4.458359429220679e-08	2.384186e-06
8.255078574574075e-08	3.337860e-06
9.999999999999989e-08	3.814697e-06
1.274311176078974e-07	4.291534e-06
1.528686531605203e-07	1.430511e-06
1.796546681632003e-07	-4.291534e-06
1.999999999999999e-07	-9.298325e-06
2.365414997572012e-07	-1.645088e-05
2.868450934863107e-07	-2.217293e-05
3.726715588944587e-07	-2.384186e-05
3.834319903818814e-07	-2.360344e-05
4.049528533567269e-07	-2.360344e-05
4.479945793064178e-07	-2.336502e-05
5.340780312057997e-07	-2.264977e-05
6.739426094395178e-07	-2.193451e-05
9.536717659069541e-07	-1.955032e-05
1.360775445295011e-06	-1.358986e-05
1.828285931581230e-06	-7.629395e-06
2.253662112076508e-06	1.263618e-05
2.582337370526135e-06	8.583069e-06
2.822300574986276e-06	4.386902e-05
3.046371825865097e-06	6.771088e-05
3.288803443846609e-06	6.484985e-05
3.529945863354692e-06	6.413460e-05
4.012230702370859e-06	6.031990e-05
4.397173778496005e-06	2.121925e-05
4.863285108156700e-06	-5.006790e-06
5.248804500164658e-06	7.390976e-06
5.740345608099002e-06	7.867813e-06
6.723427823967691e-06	7.867813e-06
8.689592255705068e-06	7.629395e-06
1.262192111917982e-05	7.629395e-06
1.964444847770594e-05	6.198883e-06
2.880658294353196e-05	4.529953e-06
3.880658294353196e-05	3.099442e-06
4.880658294353196e-05	1.430511e-06
5.880658294353196e-05	4.768372e-07
6.880658294353195e-05	-7.152557e-07
7.373745273123464e-05	4.816055e-05
7.600175056963866e-05	6.411791e-03
7.723579866660190e-05	3.055310e-02
7.847678053710389e-05	6.980920e-02
7.977485840360525e-05	1.229718e-01
8.180915307020124e-05	2.245083e-01
8.516768799965195e-05	3.978314e-01
8.967158004435508e-05	5.743251e-01
9.422606233120171e-05	7.616910e-01
9.942815115414572e-05	9.859507e-01
1.024037127498764e-04	1.120609e+00
1.053121903960185e-04	1.257943e+00
1.090009226546084e-04	1.438336e+00
1.126713615971719e-04	1.622476e+00
1.148141612061508e-04	1.722258e+00
1.180302978774160e-04	1.832960e+00
1.201523606223465e-04	1.897775e+00
1.227375360071511e-04	1.972068e+00
1.252661716539820e-04	2.041758e+00
1.277902654567428e-04	2.109794e+00
1.298973153770140e-04	2.165074e+00
1.312345535920222e-04	2.199039e+00
1.325427814447193e-04	2.231284e+00
1.342086189249009e-04	2.270889e+00
1.366735002368412e-04	2.326512e+00
1.405742504203723e-04	2.407563e+00
1.477863191539273e-04	2.537016e+00
1.577863191539273e-04	2.679321e+00
1.677863191539273e-04	2.786474e+00
1.777863191539273e-04	2.866268e+00
1.877863191539273e-04	2.925214e+00
1.977863191539273e-04	2.968484e+00
2.077863191539273e-04	3.000096e+00
2.177863191539273e-04	3.023109e+00
2.277863191539273e-04	3.039820e+00
2.377863191539273e-04	3.051930e+00
2.477863191539273e-04	3.060694e+00
2.577863191539273e-04	3.067030e+00
2.677863191539273e-04	3.071607e+00
2.777863191539273e-04	3.074911e+00
2.877863191539273e-04	3.077296e+00
2.977863191539273e-04	3.079017e+00
3.077863191539273e-04	3.080258e+00
3.177863191539273e-04	3.081153e+00
3.277863191539273e-04	3.081799e+00
3.377863191539273e-04	3.082264e+00
3.477863191539273e-04	3.082600e+00
3.577863191539273e-04	3.082842e+00
3.677863191539273e-04	3.083016e+00
3.777863191539273e-04	3.083142e+00
3.877863191539273e-04	3.083233e+00
3.977863191539273e-04	3.083298e+00
4.077863191539273e-04	3.083345e+00
4.177863191539273e-04	3.083379e+00
4.277863191539273e-04	3.083404e+00
4.377863191539273e-04	3.083422e+00
4.477863191539273e-04	3.083434e+00
4.577863191539273e-04	3.083443e+00
4.677863191539273e-04	3.083450e+00
4.777863191539273e-04	3.083455e+00
4.877863191539273e-04	3.083458e+00
4.977863191539273e-04	3.083461e+00
5.077863191539273e-04	3.083463e+00
5.177863191539273e-04	3.083464e+00
5.277863191539273e-04	3.083465e+00
5.377863191539273e-04	3.083465e+00
5.477863191539273e-04	3.083466e+00
5.577863191539272e-04	3.083466e+00
5.677863191539273e-04	3.083466e+00
5.777863191539273e-04	3.083467e+00
5.877863191539273e-04	3.083467e+00
5.977863191539272e-04	3.083467e+00
6.077863191539273e-04	3.083467e+00
6.177863191539273e-04	3.083467e+00
6.277863191539273e-04	3.083467e+00
6.377863191539272e-04	3.083467e+00
6.477863191539273e-04	3.083467e+00
6.577863191539273e-04	3.083467e+00
6.677863191539273e-04	3.083467e+00
6.777863191539272e-04	3.083467e+00
6.877863191539273e-04	3.083467e+00
6.977863191539273e-04	3.083467e+00
7.077863191539273e-04	3.083467e+00
7.177863191539272e-04	3.083467e+00
7.377863191539273e-04	3.083467e+00
7.677863191539273e-04	3.083467e+00
