Save Time:,2026-02-20 16:25:49,,
,,CH1,CH2
Frequency:,,?,?
Period:,,?,?
SP:,,10000.000 uS,10000.000 uS
PK-PK:,,120.000 mV,1.800 V
,,,
Units:(mV),,,
229,2290000.000us,40,1720
230,2300000.000us,40,1680
231,2310000.000us,40,1720
232,2320000.000us,40,1680
233,2330000.000us,40,1720
234,2340000.000us,40,1760
235,2350000.000us,40,1720
236,2360000.000us,40,1720
237,2370000.000us,80,1760
238,2380000.000us,80,1720
239,2390000.000us,40,1720
240,2400000.000us,80,1680
241,2410000.000us,80,1720
242,2420000.000us,40,1720
243,2430000.000us,40,1680
244,2440000.000us,80,1720
245,2450000.000us,40,1720
246,2460000.000us,80,1720
247,2470000.000us,40,1720
248,2480000.000us,40,1720
249,2490000.000us,40,1720
250,2500000.000us,80,1680
251,2510000.000us,40,1720
252,2520000.000us,40,1720
253,2530000.000us,40,1720
254,2540000.000us,40,1720
255,2550000.000us,40,1720
256,2560000.000us,40,1680
257,2570000.000us,80,1680
258,2580000.000us,40,1680
259,2590000.000us,40,1720
260,2600000.000us,80,1720
261,2610000.000us,40,1720
262,2620000.000us,40,1720
263,2630000.000us,40,1720
264,2640000.000us,80,1720
265,2650000.000us,80,1680
266,2660000.000us,40,1720
267,2670000.000us,80,1720
268,2680000.000us,40,1720
269,2690000.000us,40,1720
270,2700000.000us,40,1760
271,2710000.000us,40,1680
272,2720000.000us,40,1720
273,2730000.000us,40,1720
274,2740000.000us,40,1720
275,2750000.000us,40,1720
276,2760000.000us,40,1720
277,2770000.000us,0,1720
278,2780000.000us,80,1720
279,2790000.000us,40,1720
280,2800000.000us,80,1720
281,2810000.000us,40,1680
282,2820000.000us,80,1720
283,2830000.000us,40,1680
284,2840000.000us,40,1720
285,2850000.000us,40,1720
286,2860000.000us,40,1720
287,2870000.000us,40,1680
288,2880000.000us,80,1720
289,2890000.000us,40,1720
290,2900000.000us,40,1720
291,2910000.000us,80,1720
292,2920000.000us,80,1720
293,2930000.000us,40,1720
294,2940000.000us,40,1680
295,2950000.000us,40,1680
296,2960000.000us,0,1720
297,2970000.000us,40,1680
298,2980000.000us,80,1760
299,2990000.000us,40,1680
300,3000000.000us,40,1720
301,3010000.000us,40,1760
302,3020000.000us,80,1680
303,3030000.000us,40,1760
304,3040000.000us,40,1720
305,3050000.000us,40,1720
306,3060000.000us,40,1720
307,3070000.000us,40,1720
308,3080000.000us,40,1720
309,3090000.000us,80,1720
310,3100000.000us,80,1720
311,3110000.000us,80,1720
312,3120000.000us,80,1720
313,3130000.000us,80,1720
314,3140000.000us,40,1720
315,3150000.000us,80,1720
316,3160000.000us,80,1680
317,3170000.000us,40,1680
318,3180000.000us,80,1680
319,3190000.000us,40,1720
320,3200000.000us,80,1680
321,3210000.000us,40,1680
322,3220000.000us,0,1720
323,3230000.000us,40,1680
324,3240000.000us,80,1720
325,3250000.000us,40,1720
326,3260000.000us,0,1720
327,3270000.000us,40,1760
328,3280000.000us,0,1720
329,3290000.000us,40,1720
330,3300000.000us,40,1680
331,3310000.000us,80,1720
332,3320000.000us,40,1680
333,3330000.000us,40,1720
334,3340000.000us,40,1720
335,3350000.000us,40,1720
336,3360000.000us,80,1680
337,3370000.000us,40,1720
338,3380000.000us,40,1720
339,3390000.000us,40,1720
340,3400000.000us,40,1720
341,3410000.000us,40,1680
342,3420000.000us,40,1680
343,3430000.000us,80,1720
344,3440000.000us,40,1680
345,3450000.000us,0,1680
346,3460000.000us,40,1680
347,3470000.000us,40,1680
348,3480000.000us,40,1720
349,3490000.000us,80,1720
350,3500000.000us,40,1680
351,3510000.000us,80,1720
352,3520000.000us,40,1760
353,3530000.000us,40,1760
354,3540000.000us,40,1720
355,3550000.000us,0,1760
356,3560000.000us,40,1720
357,3570000.000us,40,1680
358,3580000.000us,40,1760
359,3590000.000us,40,1720
360,3600000.000us,40,1680
361,3610000.000us,40,1720
