config,I_RL_max_mA,I_RL_mean_mA,V_out_max_V,V_out_mean_V,E_out_total_mJ
MAS_filas_1,16.499526977539062,8.154631614685059,16.521211624145508,8.154568672180176,3.6631052000071427
MAS_filas_2,16.499526977539062,8.196975708007812,16.521194458007812,8.196946144104004,3.6769185243127582
MAS_filas_3,16.499526977539062,8.226393699645996,16.52128791809082,8.226336479187012,3.6800634360919977
MAS_filas_4,16.499526977539062,8.21939468383789,16.521347045898438,8.219317436218262,3.678984274770981
MAS_filas_5,16.499526977539062,8.226408004760742,16.521381378173828,8.22631549835205,3.675440012978977
MAS_filas_1-2,16.499526977539062,8.251564025878906,16.5186710357666,8.251489639282227,2.835223097543467
MAS_filas_1-3,16.499526977539062,8.259140968322754,16.5189208984375,8.259090423583984,2.8376225251671774
MAS_filas_1-4,16.499526977539062,8.254205703735352,16.519086837768555,8.254096984863281,2.8365948110679655
MAS_filas_1-5,16.499526977539062,8.286153793334961,16.519197463989258,8.28602123260498,2.830278484523098
MAS_filas_2-3,16.499526977539062,8.268718719482422,16.51909637451172,8.268649101257324,2.834551700420501
MAS_filas_2-4,16.499526977539062,8.28048324584961,16.51923942565918,8.28040599822998,2.8377555055255406
MAS_filas_2-5,16.499526977539062,8.296589851379395,16.51933479309082,8.296523094177246,2.8377801623090613
MAS_filas_3-4,16.499526977539062,8.29141616821289,16.519454956054688,8.29139518737793,2.8414419197810425
MAS_filas_3-5,16.499526977539062,8.310609817504883,16.519540786743164,8.310534477233887,2.8413858337808744
MAS_filas_4-5,16.49952507019043,8.30803394317627,16.519689559936523,8.307962417602539,2.8398267629730714
MAS_filas_1-2-3,16.499526977539062,8.34274959564209,16.514963150024414,8.342674255371094,2.8430795411393883
MAS_filas_1-2-4,16.499526977539062,8.344718933105469,16.51531219482422,8.344623565673828,2.8469549755380963
MAS_filas_1-2-5,16.499526977539062,8.36397933959961,16.515554428100586,8.3638916015625,2.848821697147679
MAS_filas_1-3-4,16.499526977539062,8.361430168151855,16.51578140258789,8.3613862991333,2.849665133712783
MAS_filas_1-3-5,16.499526977539062,8.36112117767334,16.516002655029297,8.361052513122559,2.8513871471809757
MAS_filas_1-4-5,16.499526977539062,8.363426208496094,16.516300201416016,8.36333179473877,2.8494008251946186
MAS_filas_2-3-4,16.499526977539062,8.322043418884277,16.51630210876465,8.321958541870117,2.8487895918247133
MAS_filas_2-3-5,16.49952507019043,8.315112113952637,16.51935386657715,8.314994812011719,2.852512319320708
MAS_filas_2-4-5,16.49952507019043,8.324567794799805,16.518831253051758,8.324540138244629,2.8554325947063264
MAS_filas_3-4-5,16.49952507019043,8.3257474899292,16.518205642700195,8.3257417678833,2.8593726458818187
MAS_filas_1-2-3-4,16.499526977539062,8.419760704040527,16.509565353393555,8.419682502746582,3.709074155915124
MAS_filas_1-2-3-5,16.499526977539062,8.409082412719727,16.510040283203125,8.409014701843262,3.7128690267958055
MAS_filas_1-2-4-5,16.49952507019043,8.423273086547852,16.51388168334961,8.423166275024414,3.7167594887451907
MAS_filas_1-3-4-5,16.49952507019043,8.40015697479248,16.513385772705078,8.400153160095215,3.719548586853497
MAS_filas_2-3-4-5,16.49952507019043,8.347792625427246,16.513500213623047,8.347771644592285,3.7178394574155793
