time	V(out_pos,out_neg)	I(V2)	I(Vcell12)
0.000000000000000e+00	5.238056e-04	-1.449087e-11	-2.619927e-07
9.999999439624929e-11	5.238056e-04	1.907993e-09	-2.604095e-07
1.999999887924986e-10	5.238056e-04	3.716138e-09	-2.589225e-07
1.599999910339989e-09	5.240440e-04	2.893667e-08	-2.382811e-07
3.199999820679977e-09	5.240440e-04	5.749625e-08	-2.149236e-07
6.399999641359955e-09	5.240440e-04	1.137809e-07	-1.689145e-07
1.279999928271991e-08	5.240440e-04	2.230795e-07	-7.965986e-08
2.559999856543982e-08	5.238056e-04	4.291314e-07	8.825563e-08
4.832285170554944e-08	5.238056e-04	7.564448e-07	3.539033e-07
7.265631873063471e-08	5.240440e-04	9.819506e-07	5.350753e-07
8.544740584342698e-08	5.240440e-04	8.245743e-07	4.044815e-07
9.470621663751873e-08	5.240440e-04	4.320971e-07	8.246362e-08
1.053539326168968e-07	5.240440e-04	-1.832129e-07	-4.210764e-07
1.177784757794150e-07	5.238056e-04	-9.209911e-07	-1.023428e-06
1.350440140077941e-07	5.240440e-04	-1.896004e-06	-1.816984e-06
1.685099074621234e-07	5.240440e-04	-3.593779e-06	-3.191033e-06
2.001068371898670e-07	5.238056e-04	-4.919612e-06	-4.254600e-06
2.436300053346944e-07	5.238056e-04	-6.087497e-06	-5.174069e-06
2.837362081335793e-07	5.240440e-04	-6.467168e-06	-5.448853e-06
3.273559012516950e-07	5.240440e-04	-6.513877e-06	-5.449440e-06
3.872790196971592e-07	5.240440e-04	-6.527735e-06	-5.413433e-06
4.976484108171414e-07	5.240440e-04	-6.528357e-06	-5.338946e-06
7.183871930571058e-07	5.240440e-04	-6.510135e-06	-5.212178e-06
9.513663455437132e-07	5.240440e-04	-6.486007e-06	-5.115611e-06
1.236668836948448e-06	5.240440e-04	-6.455267e-06	-5.033171e-06
1.539811969443963e-06	5.240440e-04	-6.423029e-06	-4.973407e-06
1.937725692115426e-06	5.238056e-04	-6.381415e-06	-4.918976e-06
2.402576348217264e-06	5.238056e-04	-6.334292e-06	-4.873801e-06
3.037209215863853e-06	5.238056e-04	-6.271897e-06	-4.825823e-06
3.861409758818634e-06	5.238056e-04	-6.194220e-06	-4.773029e-06
5.139815877469546e-06	5.240440e-04	-6.079670e-06	-4.698702e-06
6.997580717564893e-06	5.238056e-04	-5.924891e-06	-4.604932e-06
8.703723577459429e-06	5.238056e-04	-5.794848e-06	-4.582347e-06
1.067005577270007e-05	5.238056e-04	-5.673874e-06	-5.146087e-06
1.179205412889050e-05	5.238056e-04	-5.631096e-06	-6.179936e-06
1.282737666970181e-05	5.238056e-04	-5.613350e-06	-7.662954e-06
1.416609217566468e-05	5.238056e-04	-5.609327e-06	-9.813049e-06
1.578447401349808e-05	5.238056e-04	-5.620575e-06	-1.237025e-05
1.734684857788591e-05	5.238056e-04	-5.639286e-06	-1.459660e-05
1.894865554126116e-05	5.238056e-04	-5.661072e-06	-1.651605e-05
2.098419000825459e-05	5.238056e-04	-5.686793e-06	-1.834631e-05
2.356736977041237e-05	5.238056e-04	-5.710988e-06	-1.993295e-05
2.533027557149775e-05	5.238056e-04	-5.716121e-06	-2.027471e-05
2.782686379437330e-05	5.238056e-04	-5.712398e-06	-1.989674e-05
3.016656540813403e-05	5.238056e-04	-5.705744e-06	-1.933576e-05
3.505744251680717e-05	5.235672e-04	-5.684055e-06	-1.819102e-05
3.926024322746681e-05	5.235672e-04	-5.664265e-06	-1.728007e-05
4.503496402780342e-05	5.235672e-04	-5.638403e-06	-1.613187e-05
4.760377740178276e-05	5.235672e-04	-5.627702e-06	-1.565750e-05
4.857687856528500e-05	5.240440e-04	-5.876350e-06	-9.680878e-05
4.895294020576980e-05	5.247593e-04	-5.876095e-06	-1.054411e-03
4.917649930297755e-05	5.259514e-04	-5.847560e-06	-2.077031e-03
4.930884482086856e-05	5.271435e-04	-5.843079e-06	-2.891350e-03
4.942623526808427e-05	5.288124e-04	-5.831148e-06	-3.683729e-03
4.953410915590867e-05	5.304813e-04	-5.826504e-06	-4.526330e-03
4.964391444313377e-05	5.326271e-04	-5.817887e-06	-5.446665e-03
4.976265044249749e-05	5.357265e-04	-5.812217e-06	-6.556116e-03
4.989886515331740e-05	5.397797e-04	-5.803719e-06	-7.935551e-03
5.006533262823845e-05	5.457401e-04	-5.796009e-06	-9.810837e-03
5.027736974271049e-05	5.555153e-04	-5.785461e-06	-1.246479e-02
5.056067958297657e-05	5.729198e-04	-5.774195e-06	-1.650236e-02
5.095405716074980e-05	6.062984e-04	-5.759637e-06	-2.299325e-02
5.152062425851749e-05	6.778240e-04	-5.743451e-06	-3.414253e-02
5.237636774920752e-05	8.394718e-04	-5.724490e-06	-5.484252e-02
5.325942192969360e-05	1.082897e-03	-5.711302e-06	-8.088374e-02
5.411514889548815e-05	1.417637e-03	-5.701947e-06	-1.104090e-01
5.510415181033569e-05	1.942158e-03	-5.694737e-06	-1.495242e-01
5.611284997768077e-05	2.656698e-03	-5.689436e-06	-1.945866e-01
5.741041595456674e-05	3.867865e-03	-5.685228e-06	-2.597109e-01
5.878266812381258e-05	5.560875e-03	-5.682304e-06	-3.366114e-01
6.063141291116658e-05	8.571625e-03	-5.680419e-06	-4.519294e-01
6.265597900071290e-05	1.299095e-02	-5.679676e-06	-5.916581e-01
