I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3330908,-3.3330908,-3.3330908,-3.3330908,-3.3330908,-3.3215554,-3.3215554,-3.3215554,-3.3215554,-3.3215554,-3.308617,-3.308617,-3.308617,-3.308617,-3.308617,-3.3079364,-3.3079364,-3.3079364,-3.3079364,-3.3079364,-3.304544,-3.3045442,-3.3045442,-3.3045442,-3.3045442,16.499523,16.492455,2.1066745039577295e-07
-3.3416057,-3.3416057,-3.3416057,-3.3416057,-3.3416057,-3.3273096,-3.3273096,-3.3273096,-3.3273096,-3.3273096,-3.3104131,-3.3104131,-3.3104131,-3.3104131,-3.3104131,-3.31001,-3.31001,-3.31001,-3.31001,-3.31001,-3.3057563,-3.3057563,-3.3057563,-3.3057563,-3.3057563,16.499523,16.4979,2.5779264448634873e-07
-3.3541274,-3.3541274,-3.3541274,-3.3541274,-3.3541274,-3.3372154,-3.3372154,-3.3372154,-3.3372154,-3.3372154,-3.3147256,-3.3147256,-3.3147256,-3.3147256,-3.3147256,-3.3140485,-3.3140485,-3.3140485,-3.3140485,-3.3140485,-3.308001,-3.308001,-3.308001,-3.308001,-3.308001,16.499523,16.49928,3.320667897750484e-07
-3.3563247,-3.3563247,-3.3563247,-3.3563247,-3.3563247,-3.3390934,-3.3390934,-3.3390934,-3.3390934,-3.3390934,-3.3156989,-3.3156989,-3.3156989,-3.3156989,-3.3156989,-3.3148885,-3.3148885,-3.3148885,-3.3148885,-3.3148885,-3.3084567,-3.3084567,-3.3084567,-3.3084567,-3.3084567,16.499523,16.49887,3.4544544199695343e-07
-3.3603141,-3.3603141,-3.3603141,-3.3603141,-3.3603141,-3.3427076,-3.3427076,-3.3427076,-3.3427076,-3.3427076,-3.3177195,-3.3177195,-3.3177195,-3.3177195,-3.3177195,-3.3166022,-3.3166022,-3.3166022,-3.3166022,-3.3166022,-3.3093803,-3.3093803,-3.3093803,-3.3093803,-3.3093803,16.499521,16.496387,3.7220274644076357e-07
-3.3663554,-3.3663554,-3.3663554,-3.3663554,-3.3663554,-3.348528,-3.348528,-3.348528,-3.348528,-3.348528,-3.3214526,-3.3214526,-3.3214526,-3.3214526,-3.3214526,-3.3197796,-3.3197796,-3.3197796,-3.3197796,-3.3197796,-3.3110955,-3.3110955,-3.3110955,-3.3110955,-3.3110955,16.499521,16.48924,4.2571735532838373e-07
-3.3721,-3.3721,-3.3721,-3.3721,-3.3721,-3.3539033,-3.3539033,-3.3539033,-3.3539033,-3.3539033,-3.3260558,-3.3260558,-3.3260558,-3.3260558,-3.3260558,-3.3236442,-3.323644,-3.323644,-3.323644,-3.323644,-3.3134377,-3.3134377,-3.3134377,-3.3134377,-3.3134377,16.499521,16.497179,5.327465731036242e-07
-3.372478,-3.372478,-3.372478,-3.372478,-3.372478,-3.3542597,-3.3542597,-3.3542597,-3.3542597,-3.3542597,-3.326402,-3.326402,-3.326402,-3.326402,-3.326402,-3.32386,-3.3238597,-3.3238597,-3.3238597,-3.3238597,-3.3135855,-3.3135855,-3.3135855,-3.3135855,-3.3135855,16.499521,16.499187,5.502158424616327e-07
-3.373031,-3.373031,-3.373031,-3.373031,-3.373031,-3.3547661,-3.3547661,-3.3547661,-3.3547661,-3.3547661,-3.3268507,-3.3268507,-3.3268507,-3.3268507,-3.3268507,-3.3240998,-3.3240998,-3.3240998,-3.3240998,-3.3240998,-3.313702,-3.313702,-3.313702,-3.313702,-3.313702,16.499521,16.49863,5.851543811776498e-07
-3.3735926,-3.3735926,-3.3735926,-3.3735926,-3.3735926,-3.3552752,-3.3552752,-3.3552752,-3.3552752,-3.3552752,-3.327269,-3.327269,-3.327269,-3.327269,-3.327269,-3.3241644,-3.3241644,-3.3241644,-3.3241644,-3.3241644,-3.3135629,-3.3135629,-3.3135629,-3.3135629,-3.3135629,16.499521,16.498632,6.550314586096842e-07
-3.374143,-3.374143,-3.374143,-3.374143,-3.374143,-3.3558264,-3.3558264,-3.3558264,-3.3558264,-3.3558264,-3.327757,-3.327757,-3.327757,-3.327757,-3.327757,-3.324105,-3.324105,-3.324105,-3.324105,-3.324105,-3.3132212,-3.3132212,-3.3132212,-3.3132212,-3.3132212,16.49952,16.498636,7.869768527607728e-07
-3.3747435,-3.3747435,-3.3747435,-3.3747435,-3.3747435,-3.3564985,-3.3564985,-3.3564985,-3.3564985,-3.3564985,-3.3283806,-3.3283806,-3.3283806,-3.3283806,-3.3283806,-3.323925,-3.323925,-3.323925,-3.323925,-3.323925,-3.3126423,-3.3126423,-3.3126423,-3.3126423,-3.3126423,16.49952,16.498642,1.0479882676539936e-06
-3.3753436,-3.3753436,-3.3753436,-3.3753436,-3.3753436,-3.3571985,-3.3571985,-3.3571985,-3.3571985,-3.3571985,-3.329055,-3.329055,-3.329055,-3.329055,-3.329055,-3.3237216,-3.3237216,-3.3237216,-3.3237216,-3.3237216,-3.3120127,-3.3120127,-3.3120127,-3.3120127,-3.3120127,16.499517,16.498772,1.4650401909022932e-06
-3.3758075,-3.3758075,-3.3758075,-3.3758075,-3.3758075,-3.357724,-3.357724,-3.357724,-3.357724,-3.357724,-3.3295496,-3.3295496,-3.3295496,-3.3295496,-3.3295496,-3.3235865,-3.3235865,-3.3235865,-3.3235865,-3.3235865,-3.311584,-3.311584,-3.311584,-3.311584,-3.311584,16.499516,16.49891,1.9389307764300408e-06
-3.376216,-3.376216,-3.376216,-3.376216,-3.376216,-3.358164,-3.358164,-3.358164,-3.358164,-3.358164,-3.3299582,-3.3299582,-3.3299582,-3.3299582,-3.3299582,-3.3235052,-3.3235052,-3.3235052,-3.3235052,-3.3235052,-3.3119128,-3.3119128,-3.311913,-3.311913,-3.311913,16.499514,16.49894,2.5400009839097325e-06
