I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3154182,-3.3154182,-3.3154182,-3.3154182,-3.3154182,-3.3151197,-3.3151197,-3.3151197,-3.3151197,-3.3151197,-3.3123896,-3.3123896,-3.3123896,-3.3123896,-3.3123896,-3.3089259,-3.3089259,-3.3089259,-3.3089259,-3.3089259,-3.3048995,-3.3048995,-3.3048995,-3.3048995,-3.3048995,16.499525,16.495972,2.1073089781290703e-07
-3.32073,-3.32073,-3.32073,-3.32073,-3.32073,-3.320564,-3.320564,-3.320564,-3.320564,-3.320564,-3.316928,-3.316928,-3.316928,-3.316928,-3.316928,-3.312205,-3.312205,-3.312205,-3.312205,-3.312205,-3.3066714,-3.3066714,-3.3066714,-3.3066714,-3.3066714,16.499525,16.492603,2.5775591076485253e-07
-3.3275347,-3.3275347,-3.3275347,-3.3275347,-3.3275347,-3.327749,-3.327749,-3.327749,-3.327749,-3.327749,-3.3232756,-3.3232756,-3.3232756,-3.3232756,-3.3232756,-3.316868,-3.3168678,-3.3168678,-3.3168678,-3.3168678,-3.3091557,-3.3091557,-3.3091557,-3.3091557,-3.3091557,16.499523,16.498465,3.319986167589281e-07
-3.328571,-3.328571,-3.328571,-3.328571,-3.328571,-3.328826,-3.328826,-3.328826,-3.328826,-3.328826,-3.3242981,-3.3242981,-3.3242981,-3.3242981,-3.3242981,-3.3176367,-3.3176367,-3.3176367,-3.3176367,-3.3176367,-3.3095639,-3.3095639,-3.3095639,-3.3095639,-3.3095639,16.499523,16.499245,3.453831632576595e-07
-3.3304567,-3.3304567,-3.3304567,-3.3304567,-3.3304567,-3.330783,-3.330783,-3.330783,-3.330783,-3.330783,-3.3262422,-3.3262422,-3.3262422,-3.3262422,-3.3262422,-3.3191254,-3.3191254,-3.3191254,-3.3191254,-3.3191254,-3.310357,-3.310357,-3.310357,-3.310357,-3.310357,16.499523,16.498621,3.721522562551223e-07
-3.3336706,-3.3336706,-3.3336706,-3.3336706,-3.3336706,-3.3340244,-3.3340244,-3.3340244,-3.3340244,-3.3340244,-3.3295186,-3.3295186,-3.3295186,-3.3295186,-3.3295186,-3.3218236,-3.3218236,-3.3218236,-3.3218236,-3.3218236,-3.3118138,-3.3118138,-3.3118138,-3.3118138,-3.3118138,16.499523,16.495459,4.2569044225004795e-07
-3.3376133,-3.3376133,-3.3376133,-3.3376133,-3.3376133,-3.3377,-3.3377,-3.3377,-3.3377,-3.3377,-3.3330271,-3.3330271,-3.3330271,-3.3330271,-3.3330271,-3.325072,-3.325072,-3.325072,-3.325072,-3.325072,-3.3138537,-3.3138537,-3.3138537,-3.3138537,-3.3138537,16.499523,16.498184,5.327668142398992e-07
-3.3379314,-3.3379314,-3.3379314,-3.3379314,-3.3379314,-3.337961,-3.337961,-3.337961,-3.337961,-3.337961,-3.3332467,-3.3332467,-3.3332467,-3.3332467,-3.3332467,-3.325252,-3.325252,-3.325252,-3.325252,-3.325252,-3.313986,-3.313986,-3.313986,-3.313986,-3.313986,16.499523,16.499237,5.501128221626647e-07
-3.3383946,-3.3383946,-3.3383946,-3.3383946,-3.3383946,-3.3383074,-3.3383074,-3.3383074,-3.3383074,-3.3383074,-3.333509,-3.333509,-3.333509,-3.333509,-3.333509,-3.325432,-3.325432,-3.325432,-3.325432,-3.325432,-3.3140798,-3.3140798,-3.3140798,-3.3140798,-3.3140798,16.499523,16.49881,5.848048380081956e-07
-3.338882,-3.338882,-3.338882,-3.338882,-3.338882,-3.3385868,-3.3385868,-3.3385868,-3.3385868,-3.3385868,-3.3336384,-3.3336384,-3.3336384,-3.3336384,-3.3336384,-3.325414,-3.325414,-3.325414,-3.325414,-3.325414,-3.313913,-3.313913,-3.313913,-3.313913,-3.313913,16.499523,16.49891,6.541888696992577e-07
-3.3394372,-3.3394372,-3.3394372,-3.3394372,-3.3394372,-3.3388479,-3.3388479,-3.3388479,-3.3388479,-3.3388479,-3.3336904,-3.3336904,-3.3336904,-3.3336904,-3.3336904,-3.3252575,-3.3252575,-3.3252575,-3.3252575,-3.3252575,-3.3135478,-3.3135478,-3.3135478,-3.3135478,-3.3135478,16.499521,16.498882,7.848781465446504e-07
-3.3401425,-3.3401425,-3.3401425,-3.3401425,-3.3401425,-3.3391294,-3.3391294,-3.3391294,-3.3391294,-3.3391294,-3.3336756,-3.3336756,-3.3336756,-3.3336756,-3.3336756,-3.324947,-3.324947,-3.324947,-3.324947,-3.324947,-3.3129447,-3.3129447,-3.3129447,-3.3129447,-3.3129447,16.499521,16.498835,1.0435813309969426e-06
-3.3408983,-3.3408983,-3.3408983,-3.3408983,-3.3408983,-3.3394208,-3.3394208,-3.3394208,-3.3394208,-3.3394208,-3.333643,-3.333643,-3.333643,-3.333643,-3.333643,-3.3245962,-3.3245962,-3.3245962,-3.3245962,-3.3245962,-3.3122869,-3.3122869,-3.3122869,-3.3122869,-3.3122869,16.499521,16.498896,1.459955415745562e-06
-3.3414698,-3.3414698,-3.3414698,-3.3414698,-3.3414698,-3.339646,-3.339646,-3.339646,-3.339646,-3.339646,-3.3336236,-3.3336236,-3.3336236,-3.3336236,-3.3336236,-3.3243449,-3.3243449,-3.3243449,-3.3243449,-3.3243449,-3.3118405,-3.3118405,-3.3118405,-3.3118405,-3.3118405,16.499521,16.499008,1.9327571268100744e-06
-3.3419445,-3.3419445,-3.3419445,-3.3419445,-3.3419445,-3.3398302,-3.3398302,-3.3398302,-3.3398302,-3.3398302,-3.3335967,-3.3335967,-3.3335967,-3.3335967,-3.3335967,-3.324177,-3.324177,-3.324177,-3.324177,-3.324177,-3.3122516,-3.3122516,-3.3122516,-3.3122516,-3.3122516,16.499521,16.499062,2.5321633479461153e-06
-3.3423805,-3.3423805,-3.3423805,-3.3423805,-3.3423805,-3.339998,-3.339998,-3.339998,-3.339998,-3.339998,-3.3336272,-3.3336272,-3.3336272,-3.3336272,-3.3336272,-3.3253334,-3.3253334,-3.3253334,-3.3253334,-3.3253334,-3.3149087,-3.3149087,-3.3149087,-3.3149087,-3.3149087,16.49952,16.498951,3.3709976916387782e-06
-3.3427958,-3.3427958,-3.3427958,-3.3427958,-3.3427958,-3.3401437,-3.3401437,-3.3401437,-3.3401437,-3.3401437,-3.3353736,-3.3353736,-3.3353736,-3.3353736,-3.3353736,-3.3273792,-3.3273792,-3.3273792,-3.3273792,-3.3273792,-3.315424,-3.315424,-3.315424,-3.315424,-3.315424,16.499517,16.49859,4.8450690931378275e-06
-3.3430748,-3.3430748,-3.3430748,-3.3430748,-3.3430748,-3.3415928,-3.3415928,-3.3415928,-3.3415928,-3.3415928,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3275337,-3.3275337,-3.3275337,-3.3275337,-3.3275337,-3.315404,-3.315404,-3.315404,-3.315404,-3.315404,16.499516,16.498707,7.793211896135925e-06
-3.3431563,-3.3431563,-3.3431563,-3.3431563,-3.3431563,-3.3419647,-3.3419647,-3.3419647,-3.3419647,-3.3419647,-3.3363767,-3.3363767,-3.3363767,-3.3363767,-3.3363767,-3.3275256,-3.3275256,-3.3275256,-3.3275256,-3.3275256,-3.315367,-3.315367,-3.315367,-3.315367,-3.315367,16.499512,16.49921,1.3689497502132122e-05
-3.3431473,-3.3431473,-3.3431473,-3.3431473,-3.3431473,-3.3419163,-3.3419163,-3.3419163,-3.3419163,-3.3419163,-3.3363822,-3.3363822,-3.3363822,-3.3363822,-3.3363822,-3.3275323,-3.3275323,-3.3275323,-3.3275323,-3.3275323,-3.315392,-3.315392,-3.315392,-3.315392,-3.315392,16.499508,16.499462,2.157865597905719e-05
-3.3431292,-3.3431292,-3.3431292,-3.3431292,-3.3431292,-3.3419554,-3.3419554,-3.3419554,-3.3419554,-3.3419554,-3.3363717,-3.3363717,-3.3363717,-3.3363717,-3.3363717,-3.327522,-3.327522,-3.327522,-3.327522,-3.327522,-3.3153722,-3.3153722,-3.3153722,-3.3153722,-3.3153722,16.4995,16.499464,3.157865597905719e-05
-3.343097,-3.343097,-3.343097,-3.343097,-3.343097,-3.34193,-3.34193,-3.34193,-3.34193,-3.34193,-3.3363848,-3.3363848,-3.3363848,-3.3363848,-3.3363848,-3.3275285,-3.3275285,-3.3275285,-3.3275285,-3.3275285,-3.315381,-3.315381,-3.315381,-3.315381,-3.315381,16.49949,16.499498,4.157865597905719e-05
-3.3430705,-3.3430705,-3.3430705,-3.3430705,-3.3430705,-3.3419538,-3.3419538,-3.3419538,-3.3419538,-3.3419538,-3.3363707,-3.3363707,-3.3363707,-3.3363707,-3.3363707,-3.3275182,-3.3275182,-3.3275182,-3.3275182,-3.3275182,-3.3153687,-3.3153687,-3.3153687,-3.3153687,-3.3153687,16.49948,16.49948,5.1578655979057186e-05
-3.3430407,-3.3430407,-3.3430407,-3.3430407,-3.3430407,-3.341938,-3.341938,-3.341938,-3.341938,-3.341938,-3.3363848,-3.3363848,-3.3363848,-3.3363848,-3.3363848,-3.327524,-3.327524,-3.327524,-3.327524,-3.327524,-3.3153706,-3.3153706,-3.3153706,-3.3153706,-3.3153706,16.499468,16.499481,6.157865597905718e-05
-3.3430154,-3.3430154,-3.3430154,-3.3430154,-3.3430154,-3.3419516,-3.3419516,-3.3419516,-3.3419516,-3.3419516,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3275135,-3.3275135,-3.3275135,-3.3275135,-3.3275135,-3.3153605,-3.3153605,-3.3153605,-3.3153605,-3.3153605,16.499453,16.499449,7.157865597905718e-05
-3.3429883,-3.3429883,-3.3429883,-3.3429883,-3.3429883,-3.3419397,-3.3419397,-3.3419397,-3.3419397,-3.3419397,-3.3363836,-3.3363836,-3.3363836,-3.3363836,-3.3363836,-3.327518,-3.327518,-3.327518,-3.327518,-3.327518,-3.3153594,-3.3153594,-3.3153594,-3.3153594,-3.3153594,16.499432,16.499441,8.157865597905718e-05
-3.3429618,-3.3429618,-3.3429618,-3.3429618,-3.3429618,-3.3419507,-3.3419507,-3.3419507,-3.3419507,-3.3419507,-3.336365,-3.336365,-3.336365,-3.336365,-3.336365,-3.3275058,-3.3275058,-3.3275058,-3.3275058,-3.3275058,-3.315351,-3.315351,-3.315351,-3.315351,-3.315351,16.499407,16.499409,9.157865597905718e-05
-3.3429394,-3.3429394,-3.3429394,-3.3429394,-3.3429394,-3.3419387,-3.3419387,-3.3419387,-3.3419387,-3.3419387,-3.336378,-3.336378,-3.336378,-3.336378,-3.336378,-3.3275094,-3.3275094,-3.3275094,-3.3275094,-3.3275094,-3.3153462,-3.3153462,-3.3153462,-3.3153462,-3.3153462,16.499384,16.499384,0.00010000000099999939
-3.3429453,-3.3429453,-3.3429453,-3.3429453,-3.3429453,-3.341939,-3.341939,-3.341939,-3.341939,-3.341939,-3.336378,-3.336378,-3.336378,-3.336378,-3.336378,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153481,-3.3153481,-3.3153481,-3.3153481,-3.3153481,16.499384,16.499384,0.0001000000019999994
-3.3429382,-3.3429382,-3.3429382,-3.3429382,-3.3429382,-3.341939,-3.341939,-3.341939,-3.341939,-3.341939,-3.336378,-3.336378,-3.336378,-3.336378,-3.336378,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153481,-3.3153481,-3.3153481,-3.3153481,-3.3153481,16.499384,16.499384,0.00010000001799999939
-3.342944,-3.342944,-3.342944,-3.342944,-3.342944,-3.341939,-3.341939,-3.341939,-3.341939,-3.341939,-3.3363779,-3.3363779,-3.3363779,-3.3363779,-3.3363779,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153481,-3.3153481,-3.3153481,-3.3153481,-3.3153481,16.499384,16.499384,0.0001000000499999994
-3.342937,-3.342937,-3.342937,-3.342937,-3.342937,-3.3419392,-3.3419392,-3.3419392,-3.3419392,-3.3419392,-3.3363779,-3.3363779,-3.3363779,-3.3363779,-3.3363779,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153484,-3.3153484,-3.3153484,-3.3153484,-3.3153484,16.499384,16.499384,0.0001000001139999994
-3.342943,-3.342943,-3.342943,-3.342943,-3.342943,-3.3419392,-3.3419392,-3.3419392,-3.3419392,-3.3419392,-3.3363776,-3.3363776,-3.3363776,-3.3363776,-3.3363776,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153486,-3.3153486,-3.3153486,-3.3153486,-3.3153486,16.499384,16.499382,0.00010000024199999939
-3.3429365,-3.3429365,-3.3429365,-3.3429365,-3.3429365,-3.3419394,-3.3419394,-3.3419394,-3.3419394,-3.3419394,-3.3363774,-3.3363774,-3.3363774,-3.3363774,-3.3363774,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.315349,-3.315349,-3.315349,-3.315349,-3.315349,16.499384,16.499382,0.0001000004979999994
-3.3429427,-3.3429427,-3.3429427,-3.3429427,-3.3429427,-3.3419397,-3.3419397,-3.3419397,-3.3419397,-3.3419397,-3.3363767,-3.3363767,-3.3363767,-3.3363767,-3.3363767,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.31535,-3.31535,-3.31535,-3.31535,-3.31535,16.499384,16.499384,0.0001000010099999994
-3.3429363,-3.3429363,-3.3429363,-3.3429363,-3.3429363,-3.3419402,-3.3419402,-3.3419402,-3.3419402,-3.3419402,-3.3363757,-3.3363757,-3.3363757,-3.3363757,-3.3363757,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.315351,-3.315351,-3.315351,-3.315351,-3.315351,16.499384,16.499384,0.0001000020339999994
-3.3429422,-3.3429422,-3.3429422,-3.3429422,-3.3429422,-3.3419406,-3.3419406,-3.3419406,-3.3419406,-3.3419406,-3.3363748,-3.3363748,-3.3363748,-3.3363748,-3.3363748,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3275096,-3.3153522,-3.3153522,-3.3153522,-3.3153522,-3.3153522,16.499384,16.499384,0.0001000040819999994
-3.3429358,-3.3429358,-3.3429358,-3.3429358,-3.3429358,-3.3419409,-3.3419409,-3.3419409,-3.3419409,-3.3419409,-3.3363738,-3.3363738,-3.3363738,-3.3363738,-3.3363738,-3.327509,-3.327509,-3.327509,-3.327509,-3.327509,-3.3153522,-3.3153522,-3.3153522,-3.3153522,-3.3153522,16.499384,16.499384,0.0001000081779999994
-3.342942,-3.342942,-3.342942,-3.342942,-3.342942,-3.341941,-3.341941,-3.341941,-3.341941,-3.341941,-3.3363726,-3.3363726,-3.3363726,-3.3363726,-3.3363726,-3.327508,-3.327508,-3.327508,-3.327508,-3.327508,-3.315351,-3.315351,-3.315351,-3.315351,-3.315351,16.499384,16.499384,0.00010001636999999942
-3.3429356,-3.3429356,-3.3429356,-3.3429356,-3.3429356,-3.3419416,-3.3419416,-3.3419416,-3.3419416,-3.3419416,-3.3363714,-3.3363714,-3.3363714,-3.3363714,-3.3363714,-3.3275065,-3.3275065,-3.3275065,-3.3275065,-3.3275065,-3.315349,-3.315349,-3.315349,-3.315349,-3.315349,16.499384,16.499384,0.00010003275399999943
-3.3429415,-3.3429415,-3.3429415,-3.3429415,-3.3429415,-3.3419423,-3.3419423,-3.3419423,-3.3419423,-3.3419423,-3.33637,-3.33637,-3.33637,-3.33637,-3.33637,-3.3275054,-3.3275054,-3.3275054,-3.3275054,-3.3275054,-3.3153477,-3.3153477,-3.3153477,-3.3153477,-3.3153477,16.499384,16.499384,0.00010006552199999947
-3.3429353,-3.3429353,-3.3429353,-3.3429353,-3.3429353,-3.3419428,-3.3419428,-3.3419428,-3.3419428,-3.3419428,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.3153472,-3.3153472,-3.3153472,-3.3153472,-3.3153472,16.499384,16.499384,0.00010013105799999955
-3.3429413,-3.3429413,-3.3429413,-3.3429413,-3.3429413,-3.341943,-3.341943,-3.341943,-3.341943,-3.341943,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.315347,-3.315347,-3.315347,-3.315347,-3.315347,16.499382,16.499382,0.0001002621299999997
-3.3429344,-3.3429344,-3.3429344,-3.3429344,-3.3429344,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3363695,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.3275049,-3.3153462,-3.3153462,-3.3153462,-3.3153462,-3.3153462,16.499382,16.499382,0.00010052427399999999
-3.3429396,-3.3429396,-3.3429396,-3.3429396,-3.3429396,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3363693,-3.3275046,-3.3275046,-3.3275046,-3.3275046,-3.3275046,-3.3153453,-3.3153453,-3.3153453,-3.3153453,-3.3153453,16.49938,16.49938,0.00010104856200000059
-3.3429306,-3.3429306,-3.3429306,-3.3429306,-3.3429306,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.3419433,-3.336369,-3.336369,-3.336369,-3.336369,-3.336369,-3.327504,-3.327504,-3.327504,-3.327504,-3.327504,-3.3153443,-3.3153443,-3.3153443,-3.3153443,-3.3153443,16.499376,16.499376,0.00010209713800000177
-3.342931,-3.342931,-3.342931,-3.342931,-3.342931,-3.3419425,-3.3419425,-3.3419425,-3.3419425,-3.3419425,-3.3363678,-3.3363678,-3.3363678,-3.3363678,-3.3363678,-3.3275027,-3.3275027,-3.3275027,-3.3275027,-3.3275027,-3.3153424,-3.3153424,-3.3153424,-3.3153424,-3.3153424,16.499367,16.499367,0.00010419429000000415
-3.3429124,-3.3429124,-3.3429124,-3.3429124,-3.3429124,-3.3419406,-3.3419406,-3.3419406,-3.3419406,-3.3419406,-3.3363652,-3.3363652,-3.3363652,-3.3363652,-3.3363652,-3.3274992,-3.3274992,-3.3274992,-3.3274992,-3.3274992,-3.3153386,-3.3153386,-3.3153386,-3.3153386,-3.3153386,16.499346,16.49935,0.00010838859400000891
-3.3428931,-3.3428931,-3.3428931,-3.3428931,-3.3428931,-3.341935,-3.341935,-3.341935,-3.341935,-3.341935,-3.3363578,-3.3363578,-3.3363578,-3.3363578,-3.3363578,-3.3274908,-3.3274908,-3.3274908,-3.3274908,-3.3274908,-3.315329,-3.315329,-3.315329,-3.315329,-3.315329,16.499294,16.499298,0.00011677720200001842
-3.3428512,-3.3428512,-3.3428512,-3.3428512,-3.3428512,-3.3419223,-3.3419223,-3.3419223,-3.3419223,-3.3419223,-3.3363435,-3.3363435,-3.3363435,-3.3363435,-3.3363435,-3.3274746,-3.3274746,-3.3274746,-3.3274746,-3.3274746,-3.315312,-3.315312,-3.315312,-3.315312,-3.315312,16.499199,16.499203,0.00012677720200001842
-3.3428087,-3.3428087,-3.3428087,-3.3428087,-3.3428087,-3.3418963,-3.3418963,-3.3418963,-3.3418963,-3.3418963,-3.3363156,-3.3363156,-3.3363156,-3.3363156,-3.3363156,-3.3274455,-3.3274455,-3.3274455,-3.3274455,-3.3274455,-3.3152816,-3.3152816,-3.3152816,-3.3152816,-3.3152816,16.499014,16.49902,0.00013677720200001842
-3.3427134,-3.3427134,-3.3427134,-3.3427134,-3.3427134,-3.3418317,-3.3418317,-3.3418317,-3.3418317,-3.3418317,-3.3362496,-3.3362496,-3.3362496,-3.3362496,-3.3362496,-3.327378,-3.327378,-3.327378,-3.327378,-3.327378,-3.315213,-3.315213,-3.315213,-3.315213,-3.315213,16.498415,16.498423,0.00014677720200001842
-3.3423731,-3.3423731,-3.3423731,-3.3423731,-3.3423731,-3.3415287,-3.3415287,-3.3415287,-3.3415287,-3.3415287,-3.3359451,-3.3359451,-3.3359451,-3.3359451,-3.3359451,-3.3270721,-3.3270721,-3.3270721,-3.3270721,-3.3270721,-3.314906,-3.314906,-3.314906,-3.314906,-3.314906,16.496956,16.496958,0.00015677720200001842
-3.3422034,-3.3422034,-3.3422034,-3.3422034,-3.3422034,-3.3413935,-3.3413935,-3.3413935,-3.3413935,-3.3413935,-3.3358097,-3.3358097,-3.3358097,-3.3358097,-3.3358097,-3.326937,-3.326937,-3.326937,-3.326937,-3.326937,-3.3147702,-3.3147702,-3.3147702,-3.3147702,-3.3147702,16.496038,16.496044,0.00015802720200001842
-3.3410873,-3.3410873,-3.3410873,-3.3410873,-3.3410873,-3.3405464,-3.3405464,-3.3405464,-3.3405464,-3.3405464,-3.3349624,-3.3349624,-3.3349624,-3.3349624,-3.3349624,-3.326089,-3.326089,-3.326089,-3.326089,-3.326089,-3.3139224,-3.3139224,-3.3139224,-3.3139224,-3.3139224,16.490982,16.491,0.00016052720200001843
-3.3397393,-3.3397393,-3.3397393,-3.3397393,-3.3397393,-3.3396764,-3.3396764,-3.3396764,-3.3396764,-3.3396764,-3.3340924,-3.3340924,-3.3340924,-3.3340924,-3.3340924,-3.3252192,-3.3252192,-3.3252192,-3.3252192,-3.3252192,-3.3130527,-3.3130527,-3.3130527,-3.3130527,-3.3130527,16.487505,16.48751,0.00016115220200001843
