I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3374171,-3.3374171,-3.3374171,-3.3374171,-3.3374171,-3.3403323,-3.3403323,-3.3403323,-3.3403323,-3.3403323,-3.327816,-3.327816,-3.327816,-3.327816,-3.327816,-3.3149645,-3.3149645,-3.3149645,-3.3149645,-3.3149645,-3.3003924,-3.3003924,-3.3003924,-3.3003924,-3.3003924,16.499523,16.503122,2.1085321798961624e-07
-3.3503823,-3.3503823,-3.3503823,-3.3503823,-3.3503823,-3.3547683,-3.3547683,-3.3547683,-3.3547683,-3.3547683,-3.337926,-3.337926,-3.337926,-3.337926,-3.337926,-3.3204162,-3.3204162,-3.3204162,-3.3204162,-3.3204162,-3.3004344,-3.3004344,-3.3004344,-3.3004344,-3.3004344,16.499521,16.501102,2.583803439273003e-07
-3.3739114,-3.3739114,-3.3739114,-3.3739114,-3.3739114,-3.378879,-3.378879,-3.378879,-3.378879,-3.378879,-3.3555923,-3.3555923,-3.3555923,-3.3555923,-3.3555923,-3.3304632,-3.3304632,-3.3304632,-3.3304632,-3.3304632,-3.301607,-3.301607,-3.301607,-3.301607,-3.301607,16.49952,16.497993,3.33757217032913e-07
-3.3777611,-3.3777611,-3.3777611,-3.3777611,-3.3777611,-3.3827422,-3.3827422,-3.3827422,-3.3827422,-3.3827422,-3.3585474,-3.3585474,-3.3585474,-3.3585474,-3.3585474,-3.3321812,-3.3321812,-3.3321812,-3.3321812,-3.3321812,-3.3018353,-3.3018353,-3.3018353,-3.3018353,-3.3018353,16.49952,16.498865,3.470720393802247e-07
-3.3850446,-3.3850446,-3.3850446,-3.3850446,-3.3850446,-3.3899965,-3.3899965,-3.3899965,-3.3899965,-3.3899965,-3.3642762,-3.3642762,-3.3642762,-3.3642762,-3.3642762,-3.3355663,-3.3355663,-3.3355663,-3.3355663,-3.3355663,-3.3023267,-3.3023267,-3.3023267,-3.3023267,-3.3023267,16.499517,16.495764,3.7370168407484805e-07
-3.3972948,-3.3972948,-3.3972948,-3.3972948,-3.3972948,-3.4020183,-3.4020183,-3.4020183,-3.4020183,-3.4020183,-3.3744986,-3.3744986,-3.3744986,-3.3744986,-3.3744986,-3.341853,-3.341853,-3.341853,-3.341853,-3.341853,-3.3033113,-3.3033113,-3.3033113,-3.3033113,-3.3033113,16.499517,16.483284,4.269609734640947e-07
-3.411801,-3.411801,-3.411801,-3.411801,-3.411801,-3.4155304,-3.4155304,-3.4155304,-3.4155304,-3.4155304,-3.3873096,-3.3873096,-3.3873096,-3.3873096,-3.3873096,-3.351054,-3.351054,-3.351054,-3.351054,-3.351054,-3.3049786,-3.3049786,-3.3049786,-3.3049786,-3.3049786,16.499516,16.494198,5.33479552242588e-07
-3.4128864,-3.4128864,-3.4128864,-3.4128864,-3.4128864,-3.416457,-3.416457,-3.416457,-3.416457,-3.416457,-3.388206,-3.388206,-3.388206,-3.388206,-3.388206,-3.3518322,-3.3518322,-3.3518322,-3.3518322,-3.3518322,-3.305127,-3.305127,-3.305127,-3.305127,-3.305127,16.499514,16.49858,5.507856892467988e-07
-3.414483,-3.414483,-3.414483,-3.414483,-3.414483,-3.4177253,-3.4177253,-3.4177253,-3.4177253,-3.4177253,-3.3893585,-3.3893585,-3.3893585,-3.3893585,-3.3893585,-3.352801,-3.352801,-3.352801,-3.352801,-3.352801,-3.3053296,-3.3053296,-3.3053296,-3.3053296,-3.3053296,16.499514,16.49664,5.853979632552203e-07
-3.4159017,-3.4159017,-3.4159017,-3.4159017,-3.4159017,-3.4186382,-3.4186382,-3.4186382,-3.4186382,-3.4186382,-3.3901293,-3.3901293,-3.3901293,-3.3901293,-3.3901293,-3.3533554,-3.3533554,-3.3533554,-3.3533554,-3.3533554,-3.3055718,-3.3055718,-3.3055718,-3.3055718,-3.3055718,16.499514,16.496788,6.546225112720635e-07
-3.4169402,-3.4169402,-3.4169402,-3.4169402,-3.4169402,-3.4191234,-3.4191234,-3.4191234,-3.4191234,-3.4191234,-3.390629,-3.390629,-3.390629,-3.390629,-3.390629,-3.3537066,-3.3537066,-3.3537066,-3.3537066,-3.3537066,-3.305776,-3.305776,-3.305776,-3.305776,-3.305776,16.499512,16.49775,7.837762219638611e-07
-3.417921,-3.417921,-3.417921,-3.417921,-3.417921,-3.4193637,-3.4193637,-3.4193637,-3.4193637,-3.4193637,-3.3910182,-3.3910182,-3.3910182,-3.3910182,-3.3910182,-3.3540032,-3.3540032,-3.3540032,-3.3540032,-3.3540032,-3.3059702,-3.3059702,-3.3059702,-3.3059704,-3.3059704,16.49951,16.498425,1.0420836433474563e-06
-3.418879,-3.418879,-3.418879,-3.418879,-3.418879,-3.4195044,-3.4195044,-3.4195044,-3.4195044,-3.4195044,-3.3913603,-3.3913603,-3.3913603,-3.3913603,-3.3913603,-3.3542635,-3.3542635,-3.3542635,-3.3542635,-3.3542635,-3.3061604,-3.3061604,-3.3061604,-3.3061604,-3.3061604,16.499508,16.498838,1.454699800184844e-06
-3.4196496,-3.4196496,-3.4196496,-3.4196496,-3.4196496,-3.4196422,-3.4196422,-3.4196422,-3.4196422,-3.4196422,-3.3916192,-3.3916192,-3.3916192,-3.3916192,-3.3916192,-3.3544595,-3.3544595,-3.3544595,-3.3544595,-3.3544595,-3.3062854,-3.3062854,-3.3062854,-3.3062854,-3.3062854,16.499504,16.498997,1.925522206131888e-06
-3.4203644,-3.4203644,-3.4203644,-3.4203644,-3.4203644,-3.4198086,-3.4198086,-3.4198086,-3.4198086,-3.4198086,-3.3918655,-3.3918655,-3.3918655,-3.3918655,-3.3918655,-3.3546267,-3.3546267,-3.3546267,-3.3546267,-3.3546267,-3.306387,-3.306387,-3.306387,-3.306387,-3.306387,16.499498,16.498924,2.521956922862695e-06
