I(Vcell11),I(Vcell12),I(Vcell13),I(Vcell14),I(Vcell15),I(Vcell21),I(Vcell22),I(Vcell23),I(Vcell24),I(Vcell25),I(Vcell31),I(Vcell32),I(Vcell33),I(Vcell34),I(Vcell35),I(Vcell41),I(Vcell42),I(Vcell43),I(Vcell44),I(Vcell45),I(Vcell51),I(Vcell52),I(Vcell53),I(Vcell54),I(Vcell55),I_RL_mA,V_out_diff,t
-3.3296356,-3.3296356,-3.3296356,-3.3296356,-3.3296356,-3.3198693,-3.3198693,-3.3198693,-3.3198693,-3.3198693,-3.307337,-3.307337,-3.307337,-3.307337,-3.307337,-3.307162,-3.3071618,-3.3071618,-3.3071618,-3.3071618,-3.3042219,-3.3042219,-3.3042219,-3.3042219,-3.3042219,16.499525,16.493687,2.1202036693595345e-07
-3.3372233,-3.3372233,-3.3372233,-3.3372233,-3.3372233,-3.3252432,-3.3252432,-3.3252432,-3.3252432,-3.3252432,-3.3088899,-3.3088899,-3.3088899,-3.3088899,-3.3088899,-3.309097,-3.309097,-3.309097,-3.309097,-3.309097,-3.305375,-3.305375,-3.305375,-3.305375,-3.305375,16.499523,16.49953,2.5943706761083103e-07
-3.351188,-3.351188,-3.351188,-3.351188,-3.351188,-3.3362417,-3.3362417,-3.3362417,-3.3362417,-3.3362417,-3.3139946,-3.3139946,-3.3139946,-3.3139946,-3.3139946,-3.3136442,-3.3136442,-3.3136442,-3.3136442,-3.3136442,-3.3078804,-3.3078804,-3.3078804,-3.3078804,-3.3078804,16.499523,16.498413,3.33922594684453e-07
-3.3535013,-3.3535013,-3.3535013,-3.3535013,-3.3535013,-3.3382025,-3.3382025,-3.3382025,-3.3382025,-3.3382025,-3.3150356,-3.3150356,-3.3150356,-3.3150356,-3.3150356,-3.3145297,-3.3145297,-3.3145297,-3.3145297,-3.3145297,-3.308359,-3.308359,-3.308359,-3.308359,-3.308359,16.499523,16.498777,3.473579018541239e-07
-3.357651,-3.357651,-3.357651,-3.357651,-3.357651,-3.341941,-3.341941,-3.341941,-3.341941,-3.341941,-3.317167,-3.317167,-3.317167,-3.317167,-3.317167,-3.3163168,-3.3163168,-3.3163168,-3.3163168,-3.3163168,-3.3093195,-3.3093195,-3.3093195,-3.3093195,-3.3093195,16.499523,16.496094,3.742285161934656e-07
-3.363834,-3.363834,-3.363834,-3.363834,-3.363834,-3.3478305,-3.3478305,-3.3478305,-3.3478305,-3.3478305,-3.320987,-3.320987,-3.320987,-3.320987,-3.320987,-3.3195508,-3.3195508,-3.3195508,-3.3195508,-3.3195508,-3.3110619,-3.3110619,-3.3110619,-3.3110619,-3.3110619,16.499521,16.48888,4.2796974487214907e-07
-3.3696587,-3.3696587,-3.3696587,-3.3696587,-3.3696587,-3.3531704,-3.3531704,-3.3531704,-3.3531704,-3.3531704,-3.3255877,-3.3255877,-3.3255877,-3.3255877,-3.3255877,-3.323383,-3.323383,-3.323383,-3.323383,-3.323383,-3.313385,-3.313385,-3.313385,-3.313385,-3.313385,16.499521,16.497192,5.35452202229516e-07
-3.3700428,-3.3700428,-3.3700428,-3.3700428,-3.3700428,-3.3535228,-3.3535228,-3.3535228,-3.3535228,-3.3535228,-3.325927,-3.325927,-3.325927,-3.325927,-3.325927,-3.3235912,-3.3235912,-3.3235912,-3.3235912,-3.3235912,-3.3135238,-3.3135238,-3.3135238,-3.3135238,-3.3135238,16.499521,16.499193,5.528304903109205e-07
-3.3706124,-3.3706124,-3.3706124,-3.3706124,-3.3706124,-3.3540204,-3.3540204,-3.3540204,-3.3540204,-3.3540204,-3.3263652,-3.3263652,-3.3263652,-3.3263652,-3.3263652,-3.3238175,-3.3238175,-3.3238175,-3.3238175,-3.3238175,-3.3136225,-3.3136225,-3.3136225,-3.3136225,-3.3136225,16.499521,16.498686,5.875870664737292e-07
-3.3712373,-3.3712373,-3.3712373,-3.3712373,-3.3712373,-3.3545432,-3.3545432,-3.3545432,-3.3545432,-3.3545432,-3.326797,-3.326797,-3.326797,-3.326797,-3.326797,-3.323889,-3.323889,-3.323889,-3.323889,-3.323889,-3.3134828,-3.3134828,-3.3134828,-3.3134828,-3.3134828,16.49952,16.498636,6.571002187993469e-07
