config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,4.3317339163598486e-06,-3.4455795,-3.4455795,-3.2518487,-3.2518487,6.5996037,6.5996165,0.00019930974558956833
3.0,4.819931120678665e-06,-3.3864725,-3.3864725,-3.1942008,-3.1942008,6.599502,6.599519,0.00021770216809495198
3.0,5.176323039905297e-06,-3.2851176,-3.2851176,-3.0939507,-3.0939507,6.5993705,6.5993915,0.0002312960343226255
3.0,5.444192678901489e-06,-3.1172533,-3.1172533,-2.9268484,-2.9268484,6.599197,6.599224,0.00024167833167886585
3.0,5.653126613267403e-06,-2.837483,-2.8374832,-2.6476948,-2.6476948,6.598966,6.599001,0.00024971121639171846
3.0,5.813125626865585e-06,-2.4003804,-2.4003804,-2.2109728,-2.2109728,6.5986834,6.598714,0.0002553748515180372
3.0,5.913267528204193e-06,-1.9094985,-1.9094985,-1.72033,-1.72033,6.598415,6.5984416,0.0002593197815697164
3.0,5.99433818890815e-06,-1.282868,-1.282868,-1.0938016,-1.0938016,6.598086,6.59813,0.0002634486632637601
3.0,6.102948415679316e-06,-0.09443231,-0.09443231,0.09449307,0.09449307,6.5975018,6.59751,0.00026632480590400577
3.0,6.126492357482874e-06,-0.09344645,-0.09344645,0.095319,0.095319,6.597352,6.597352,0.00026739201608657834
3.0,6.151987305179891e-06,-0.09434883,-0.09434883,0.09441949,0.09441949,6.597178,6.597178,0.0002684587724391687
3.0,6.17551298196675e-06,-0.0933864,-0.0933864,0.09522806,0.09522806,6.5970173,6.5970173,0.0002699945510935371
3.0,6.222564335540468e-06,-0.09423644,-0.09423644,0.09430629,0.09430629,6.596696,6.596696,0.0002723244184860365
3.0,6.282592957682749e-06,-0.09323417,-0.09323417,0.095042065,0.095042065,6.596286,6.596286,0.00027575059052594396
3.0,6.380049705074195e-06,-0.09400108,-0.09400108,0.0940404,0.0940404,6.5956206,6.5956206,0.00028198326492618535
3.0,6.569138132063425e-06,-0.09281479,-0.09281479,0.09455178,0.09455178,6.59433,6.59433,0.0002942673682214078
3.0,6.945028503452184e-06,-0.09317042,-0.09317042,0.09307971,0.09307971,6.591766,6.591765,0.0003187667949597122
