Save Time:,7/14/2026 12:59,,,
,,CH1,CH2,
Frequency:,,?,0.693 Hz,
Period:,,?,1.444 S,
SP:,,1000.000 uS,1000.000 uS,
PK-PK:,,6.400 V,3.920 V,
,,,,
Units:(mV),tiempo,buspos,busneg,out
90,90000.000us,5920,2800,3120
91,91000.000us,5760,2720,3040
92,92000.000us,5840,2800,3040
93,93000.000us,5840,2800,3040
94,94000.000us,5920,2880,3040
95,95000.000us,5840,2720,3120
96,96000.000us,5840,2720,3120
97,97000.000us,5840,2720,3120
98,98000.000us,5920,2800,3120
99,99000.000us,5760,2720,3040
100,100000.000us,5920,2800,3120
101,101000.000us,5920,2720,3200
102,102000.000us,5920,2800,3120
103,103000.000us,5840,2720,3120
104,104000.000us,5840,2800,3040
105,105000.000us,5840,2800,3040
106,106000.000us,5920,2800,3120
107,107000.000us,5760,2720,3040
108,108000.000us,5760,2720,3040
109,109000.000us,5840,2800,3040
110,110000.000us,5920,2800,3120
111,111000.000us,5760,2720,3040
112,112000.000us,5840,2720,3120
113,113000.000us,5760,2720,3040
114,114000.000us,5920,2800,3120
115,115000.000us,5760,2720,3040
116,116000.000us,5840,2720,3120
117,117000.000us,5920,2800,3120
118,118000.000us,5920,2800,3120
119,119000.000us,5760,2720,3040
120,120000.000us,5760,2720,3040
121,121000.000us,5840,2800,3040
122,122000.000us,5920,2800,3120
123,123000.000us,5840,2720,3120
124,124000.000us,5840,2800,3040
125,125000.000us,5840,2800,3040
126,126000.000us,5920,2880,3040
127,127000.000us,5760,2720,3040
128,128000.000us,5840,2800,3040
129,129000.000us,5840,2800,3040
130,130000.000us,5920,2800,3120
131,131000.000us,5760,2720,3040
132,132000.000us,5840,2800,3040
133,133000.000us,5840,2800,3040
134,134000.000us,5920,2800,3120
135,135000.000us,5760,2720,3040
136,136000.000us,5760,2800,2960
137,137000.000us,5920,2800,3120
138,138000.000us,5920,2800,3120
139,139000.000us,5840,2720,3120
140,140000.000us,5840,2800,3040
141,141000.000us,5920,2800,3120
142,142000.000us,5920,2880,3040
143,143000.000us,5840,2720,3120
144,144000.000us,5840,2800,3040
145,145000.000us,5840,2800,3040
146,146000.000us,5920,2880,3040
147,147000.000us,5840,2720,3120
148,148000.000us,5840,2800,3040
149,149000.000us,5920,2800,3120
150,150000.000us,5920,2800,3120
151,151000.000us,5840,2720,3120
152,152000.000us,5840,2800,3040
153,153000.000us,5840,2800,3040
154,154000.000us,5920,2800,3120
155,155000.000us,5840,2720,3120
156,156000.000us,5840,2800,3040
157,157000.000us,5840,2800,3040
158,158000.000us,5920,2800,3120
159,159000.000us,5760,2720,3040
160,160000.000us,5840,2720,3120
161,161000.000us,5920,2800,3120
162,162000.000us,5920,2800,3120
163,163000.000us,5760,2720,3040
164,164000.000us,5920,2800,3120
165,165000.000us,5840,2800,3040
166,166000.000us,5920,2800,3120
167,167000.000us,5760,2720,3040
168,168000.000us,5840,2720,3120
169,169000.000us,5840,2720,3120
170,170000.000us,5920,2800,3120
171,171000.000us,5760,2720,3040
172,172000.000us,5920,2800,3120
173,173000.000us,5840,2800,3040
174,174000.000us,5920,2800,3120
175,175000.000us,5840,2720,3120
176,176000.000us,5920,2720,3200
177,177000.000us,5840,2720,3120
178,178000.000us,5920,2800,3120
179,179000.000us,5760,2720,3040
180,180000.000us,5840,2720,3120
181,181000.000us,5920,2800,3120
182,182000.000us,5920,2800,3120
183,183000.000us,5840,2720,3120
184,184000.000us,5840,2720,3120
185,185000.000us,5840,2800,3040
186,186000.000us,5920,2800,3120
187,187000.000us,5840,2720,3120
188,188000.000us,5840,2800,3040
189,189000.000us,5840,2720,3120
190,190000.000us,5920,2880,3040
191,191000.000us,5760,2720,3040
192,192000.000us,5840,2800,3040
193,193000.000us,5840,2800,3040
194,194000.000us,5920,2800,3120
195,195000.000us,5840,2720,3120
196,196000.000us,5840,2720,3120
197,197000.000us,5920,2720,3200
198,198000.000us,5920,2880,3040
199,199000.000us,5760,2720,3040
200,200000.000us,5920,2720,3200
201,201000.000us,5920,2800,3120
202,202000.000us,5920,2800,3120
203,203000.000us,5840,2720,3120
204,204000.000us,5920,2720,3200
205,205000.000us,5920,2800,3120
206,206000.000us,5920,2800,3120
207,207000.000us,5840,2720,3120
208,208000.000us,5840,2800,3040
209,209000.000us,5760,2720,3040
210,210000.000us,5920,2800,3120
211,211000.000us,5760,2720,3040
212,212000.000us,5920,2800,3120
213,213000.000us,5760,2800,2960
214,214000.000us,5920,2800,3120
215,215000.000us,5760,2720,3040
216,216000.000us,5840,2720,3120
217,217000.000us,5840,2800,3040
218,218000.000us,5920,2800,3120
219,219000.000us,5760,2720,3040
220,220000.000us,5920,2800,3120
221,221000.000us,5840,2720,3120
222,222000.000us,5920,2800,3120
223,223000.000us,5840,2720,3120
224,224000.000us,5840,2720,3120
225,225000.000us,5920,2800,3120
226,226000.000us,5920,2800,3120
227,227000.000us,5760,2720,3040
228,228000.000us,5920,2800,3120
229,229000.000us,5840,2800,3040
230,230000.000us,5920,2800,3120
231,231000.000us,5840,2720,3120
232,232000.000us,5840,2800,3040
233,233000.000us,5920,2720,3200
234,234000.000us,5920,2800,3120
235,235000.000us,5760,2720,3040
236,236000.000us,5840,2720,3120
237,237000.000us,5840,2800,3040
238,238000.000us,5920,2800,3120
239,239000.000us,5840,2720,3120
240,240000.000us,5840,2720,3120
241,241000.000us,5920,2800,3120
242,242000.000us,5920,2800,3120
243,243000.000us,5760,2720,3040
244,244000.000us,5840,2720,3120
245,245000.000us,5840,2800,3040
246,246000.000us,5920,2800,3120
247,247000.000us,5760,2720,3040
248,248000.000us,5840,2720,3120
249,249000.000us,5920,2800,3120
250,250000.000us,5920,2800,3120
251,251000.000us,5760,2720,3040
252,252000.000us,5840,2720,3120
253,253000.000us,5920,2800,3120
254,254000.000us,5920,2800,3120
255,255000.000us,5840,2800,3040
256,256000.000us,5920,2800,3120
257,257000.000us,5760,2800,2960
258,258000.000us,5920,2800,3120
259,259000.000us,5760,2720,3040
260,260000.000us,5840,2720,3120
261,261000.000us,5840,2800,3040
262,262000.000us,5920,2800,3120
263,263000.000us,5840,2720,3120
264,264000.000us,5840,2720,3120
265,265000.000us,5840,2800,3040
266,266000.000us,5920,2800,3120
267,267000.000us,5760,2720,3040
268,268000.000us,5840,2800,3040
269,269000.000us,5840,2800,3040
270,270000.000us,5920,2800,3120
271,271000.000us,5840,2720,3120
272,272000.000us,5840,2800,3040
273,273000.000us,5840,2800,3040
274,274000.000us,5920,2800,3120
275,275000.000us,5840,2720,3120
276,276000.000us,5840,2800,3040
277,277000.000us,5840,2800,3040
278,278000.000us,5920,2800,3120
279,279000.000us,5840,2720,3120
280,280000.000us,5920,2800,3120
281,281000.000us,5840,2800,3040
282,282000.000us,5920,2800,3120
283,283000.000us,5760,2720,3040
284,284000.000us,5920,2720,3200
285,285000.000us,5840,2800,3040
286,286000.000us,5920,2800,3120
287,287000.000us,5760,2720,3040
288,288000.000us,5840,2800,3040
289,289000.000us,5920,2800,3120
290,290000.000us,5920,2800,3120
291,291000.000us,5840,2720,3120
292,292000.000us,5840,2720,3120
293,293000.000us,5840,2800,3040
294,294000.000us,5920,2880,3040
295,295000.000us,5840,2720,3120
296,296000.000us,5840,2880,2960
297,297000.000us,5920,2800,3120
298,298000.000us,5920,2800,3120
299,299000.000us,5840,2720,3120
300,300000.000us,5840,2720,3120
301,301000.000us,5920,2800,3120
302,302000.000us,5920,2800,3120
303,303000.000us,5760,2720,3040
304,304000.000us,5840,2800,3040
305,305000.000us,5840,2800,3040
306,306000.000us,5920,2800,3120
307,307000.000us,5760,2720,3040
308,308000.000us,5840,2720,3120
309,309000.000us,5840,2800,3040
310,310000.000us,5920,2800,3120
311,311000.000us,5840,2720,3120
312,312000.000us,5920,2800,3120
313,313000.000us,5840,2720,3120
314,314000.000us,5920,2800,3120
315,315000.000us,5840,2720,3120
316,316000.000us,5920,2720,3200
317,317000.000us,5760,2720,3040
318,318000.000us,5920,2800,3120
319,319000.000us,5760,2720,3040
320,320000.000us,5840,2800,3040
321,321000.000us,5840,2800,3040
322,322000.000us,5920,2800,3120
323,323000.000us,5840,2720,3120
324,324000.000us,5840,2720,3120
325,325000.000us,5840,2720,3120
326,326000.000us,5920,2800,3120
327,327000.000us,5760,2720,3040
328,328000.000us,5920,2800,3120
329,329000.000us,5840,2800,3040
330,330000.000us,5920,2800,3120
331,331000.000us,5760,2720,3040
332,332000.000us,5840,2800,3040
333,333000.000us,5920,2800,3120
334,334000.000us,5920,2800,3120
335,335000.000us,5840,2720,3120
336,336000.000us,5920,2800,3120
337,337000.000us,5840,2720,3120
338,338000.000us,5920,2800,3120
339,339000.000us,5760,2720,3040
340,340000.000us,5840,2800,3040
341,341000.000us,5760,2720,3040
342,342000.000us,5920,2880,3040
343,343000.000us,5760,2720,3040
344,344000.000us,5920,2800,3120
345,345000.000us,5840,2800,3040
346,346000.000us,5920,2800,3120
347,347000.000us,5760,2720,3040
348,348000.000us,5920,2720,3200
349,349000.000us,5840,2800,3040
350,350000.000us,5920,2880,3040
351,351000.000us,5840,2720,3120
352,352000.000us,5840,2720,3120
353,353000.000us,5840,2720,3120
