config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,7.154189595007708e-06,-3.3334937,-3.3334937,-3.311088,-3.311088,6.5997977,6.5997977,0.00037389634696699677
2.0,1.0013694336977727e-05,-3.3331487,-3.3331487,-3.3108985,-3.3108985,6.5997925,6.5997925,0.0005124583199000212
2.0,1.3516480168059604e-05,-3.3333473,-3.3333473,-3.310627,-3.310627,6.5997844,6.599785,0.0006475871119880482
2.0,1.62183598788934e-05,-3.3333538,-3.3333538,-3.3104067,-3.3104067,6.5997777,6.599778,0.0007734482282500304
2.0,1.929561617039246e-05,-3.3329914,-3.3329914,-3.3100965,-3.3100965,6.599769,6.5997696,0.0009040325253388142
2.0,2.2214384989151166e-05,-3.3325632,-3.3325632,-3.3097656,-3.3097656,6.599759,6.5997596,0.0010401262116353195
2.0,2.554463401780511e-05,-3.3319988,-3.3319988,-3.3093004,-3.3093004,6.5997458,6.5997467,0.00118794701682912
2.0,2.9001904588582377e-05,-3.3312669,-3.3312669,-3.308702,-3.308702,6.5997276,6.59973,0.0014138265014084642
2.0,3.5916445730136915e-05,-3.3292115,-3.3292115,-3.3070037,-3.3070037,6.5996737,6.599682,0.0016930603008525936
2.0,4.182380929503441e-05,-3.3253038,-3.3253038,-3.3039186,-3.3039186,6.5995975,6.5996103,0.0019208519592886395
2.0,4.637645502827696e-05,-3.3185334,-3.3185334,-3.2989488,-3.2989488,6.599492,6.5995097,0.002091260404097627
2.0,4.964907198458618e-05,-3.306393,-3.306393,-3.2899094,-3.2899094,6.5993547,6.5993767,0.002214603633667896
2.0,5.204068557573181e-05,-3.2856731,-3.2856731,-3.2734714,-3.2734714,6.5991735,6.5992026,0.002305517617284478
2.0,5.3824294838260806e-05,-3.2494211,-3.2494211,-3.2423885,-3.2423885,6.5989337,6.5989714,0.00237376761739372
2.0,5.517528934347749e-05,-3.186754,-3.186754,-3.1852994,-3.1852994,6.5986133,6.5986633,0.0024257466033565708
2.0,5.6211826562388515e-05,-3.078491,-3.078491,-3.0826771,-3.0826771,6.598184,6.598251,0.002465801399219017
2.0,5.701534633670606e-05,-2.8939235,-2.8939235,-2.9034648,-2.9034648,6.5976076,6.597696,0.002497063369381132
2.0,5.764820069069322e-05,-2.5830903,-2.5830903,-2.5975952,-2.5975952,6.5968447,6.596946,0.0025206755156325397
2.0,5.8100487599778096e-05,-2.139532,-2.139532,-2.1579852,-2.1579852,6.5959644,6.596069,0.002537959174399645
2.0,5.844271581274263e-05,-1.53796,-1.53796,-1.5596565,-1.5596564,6.594874,6.5950465,0.002555143618775146
2.0,5.889069503986507e-05,-0.38153872,-0.38153872,-0.40777835,-0.40777835,6.5928555,6.592918,0.0025675076458350665
2.0,5.9011619466914276e-05,-0.18961841,-0.18961841,-0.21721561,-0.21721561,6.592172,6.5921826,0.0025731461278912103
2.0,5.9150193278861104e-05,-0.04403907,-0.04403907,-0.07320174,-0.07320173,6.591283,6.5912914,0.00258138228714109
2.0,5.93907722720858e-05,0.035400413,0.035400413,0.0033084878,0.0033084878,6.58969,6.589693,0.0025890337027175835
2.0,5.95025979016902e-05,0.036720198,0.036720198,0.0032405395,0.0032405395,6.588941,6.588941,0.0025947702953959683
2.0,5.965504524509129e-05,0.038775224,0.038775224,0.0032930654,0.0032930654,6.587915,6.5879154,0.002601559039242601
