Save Time: 2026-02-13 12:59:23,,,,,,
Units:(mV),,,,,,
,,CH2,,,CH1,
Frequency:,,?,,,1.000 Hz,
Period:,,?,,,1000.000 mS,
SP:,,2000.000 uS,,,2000.000 uS,
PK-PK:,,3.400 V,,,3.520 V,
,,CH1,ch2,,,math
200,,80,3320,,398000,3240
201,,80,3320,,400000,3240
202,,80,3320,,402000,3240
203,,80,3320,,404000,3240
204,,80,3280,,406000,3200
205,,80,3360,,408000,3280
206,,240,3320,,410000,3080
207,,80,3320,,412000,3240
208,,160,3320,,414000,3160
209,,80,3320,,416000,3240
210,,80,3320,,418000,3240
211,,80,3320,,420000,3240
212,,80,3320,,422000,3240
213,,80,3320,,424000,3240
214,,80,3280,,426000,3200
215,,160,3320,,428000,3160
216,,80,3320,,430000,3240
217,,80,3320,,432000,3240
218,,160,3320,,434000,3160
219,,80,3320,,436000,3240
220,,80,3320,,438000,3240
221,,80,3320,,440000,3240
222,,80,3320,,442000,3240
223,,160,3320,,444000,3160
224,,80,3320,,446000,3240
225,,80,3280,,448000,3200
226,,80,3320,,450000,3240
227,,160,3320,,452000,3160
228,,0,3280,,454000,3280
229,,80,3320,,456000,3240
230,,80,3320,,458000,3240
231,,80,3320,,460000,3240
232,,80,3360,,462000,3280
233,,80,3320,,464000,3240
234,,80,3280,,466000,3200
235,,80,3280,,468000,3200
236,,160,3320,,470000,3160
237,,80,3360,,472000,3280
238,,80,3320,,474000,3240
239,,0,3360,,476000,3360
240,,80,3280,,478000,3200
241,,80,3280,,480000,3200
242,,160,3360,,482000,3200
243,,80,3320,,484000,3240
244,,80,3280,,486000,3200
245,,80,3320,,488000,3240
246,,80,3360,,490000,3280
247,,80,3320,,492000,3240
248,,80,3320,,494000,3240
249,,80,3320,,496000,3240
250,,80,3280,,498000,3200
251,,160,3320,,500000,3160
252,,80,3320,,502000,3240
253,,80,3320,,504000,3240
254,,80,3280,,506000,3200
255,,80,3320,,508000,3240
256,,80,3280,,510000,3200
257,,80,3280,,512000,3200
258,,80,3320,,514000,3240
259,,80,3320,,516000,3240
260,,80,3320,,518000,3240
261,,0,3360,,520000,3360
262,,80,3320,,522000,3240
263,,80,3280,,524000,3200
264,,80,3320,,526000,3240
265,,80,3280,,528000,3200
266,,80,3320,,530000,3240
267,,80,3320,,532000,3240
268,,80,3360,,534000,3280
269,,80,3320,,536000,3240
270,,80,3280,,538000,3200
271,,80,3320,,540000,3240
272,,80,3320,,542000,3240
273,,80,3320,,544000,3240
274,,80,3280,,546000,3200
275,,80,3320,,548000,3240
276,,80,3320,,550000,3240
277,,80,3320,,552000,3240
278,,80,3320,,554000,3240
279,,0,3320,,556000,3320
280,,80,3320,,558000,3240
281,,80,3320,,560000,3240
282,,160,3320,,562000,3160
283,,160,3320,,564000,3160
284,,80,3280,,566000,3200
285,,80,3320,,568000,3240
286,,80,3320,,570000,3240
287,,80,3320,,572000,3240
288,,80,3320,,574000,3240
289,,80,3280,,576000,3200
290,,80,3320,,578000,3240
291,,80,3320,,580000,3240
292,,80,3320,,582000,3240
293,,80,3320,,584000,3240
294,,80,3320,,586000,3240
295,,80,3320,,588000,3240
296,,80,3320,,590000,3240
297,,80,3320,,592000,3240
