Save Time: 2026-07-14 15:22:35,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.420 Hz,
Period:,351.500 mS,704.000 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.360 V,
,,,
326,325000,160,960
327,326000,0,800
328,327000,80,880
329,328000,80,880
330,329000,160,960
331,330000,80,880
332,331000,160,880
333,332000,80,880
334,333000,80,960
335,334000,80,880
336,335000,80,880
337,336000,80,800
338,337000,80,960
339,338000,0,800
340,339000,80,880
341,340000,80,880
342,341000,160,960
343,342000,0,800
344,343000,0,880
345,344000,80,880
346,345000,160,960
347,346000,80,800
348,347000,80,880
349,348000,80,960
350,349000,160,960
351,350000,0,880
352,351000,80,880
353,352000,160,880
354,353000,160,960
355,354000,80,800
356,355000,80,880
357,356000,80,880
358,357000,160,880
359,358000,0,880
360,359000,80,880
361,360000,80,880
362,361000,160,880
363,362000,80,880
364,363000,160,880
365,364000,160,880
366,365000,160,880
367,366000,0,800
368,367000,80,880
369,368000,80,880
370,369000,160,2720
371,370000,80,800
372,371000,80,2720
373,372000,160,2720
374,373000,3520,2800
375,374000,0,2720
376,375000,3440,2800
377,376000,3440,2640
378,377000,3520,2800
379,378000,3360,2640
380,379000,3440,2720
381,380000,3440,2720
382,381000,3520,2800
383,382000,3440,2720
384,383000,3440,2800
385,384000,3440,2720
386,385000,3520,2720
387,386000,3440,2640
388,387000,3520,2720
389,388000,3360,2720
390,389000,3520,2800
391,390000,3360,2720
392,391000,3520,2800
393,392000,3520,2720
394,393000,3520,2800
395,394000,3440,2640
396,395000,3440,2640
397,396000,3440,2720
398,397000,3520,2800
399,398000,3440,2640
400,399000,3440,2640
401,400000,3440,2800
402,401000,3520,2800
403,402000,3440,2720
404,403000,3520,2720
405,404000,3440,2720
406,405000,3520,2800
407,406000,3440,2640
408,407000,3440,2720
409,408000,3440,2720
410,409000,3520,2800
411,410000,3440,2640
412,411000,3440,2720
413,412000,3520,2720
414,413000,3520,2800
415,414000,3440,2720
416,415000,3440,2720
417,416000,80,2800
418,417000,160,2800
419,418000,0,2720
420,419000,80,2800
421,420000,80,2720
422,421000,160,2800
423,422000,80,2720
424,423000,80,2800
425,424000,80,3280
426,425000,80,3280
