time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
8.092451855856055e-05	8.527601e-01	-8.948004e-02
8.126124893593653e-05	8.663726e-01	-9.069799e-02
8.160125264148081e-05	8.800225e-01	-9.187848e-02
8.194830215733101e-05	8.937557e-01	-9.303430e-02
8.230896046311742e-05	9.076555e-01	-9.417580e-02
8.269456567632580e-05	9.218631e-01	-9.532977e-02
8.312868562682367e-05	9.367344e-01	-9.653582e-02
8.366457759972688e-05	9.530756e-01	-9.789139e-02
8.448385373390305e-05	9.743447e-01	-9.970269e-02
8.556204475891036e-05	9.977615e-01	-1.017467e-01
8.673515111946326e-05	1.019380e+00	-1.037014e-01
8.808631987810371e-05	1.041275e+00	-1.057561e-01
8.971054065352981e-05	1.065318e+00	-1.080565e-01
9.139311233019305e-05	1.088659e+00	-1.103222e-01
9.332961250482153e-05	1.114259e+00	-1.128302e-01
9.548497137605764e-05	1.141749e+00	-1.155409e-01
9.798598846617870e-05	1.172738e+00	-1.186082e-01
1.010864620586274e-04	1.210239e+00	-1.223340e-01
1.051225360652593e-04	1.258031e+00	-1.270904e-01
1.107202472241655e-04	1.323051e+00	-1.335735e-01
1.186937872219841e-04	1.414094e+00	-1.426512e-01
1.286937872219841e-04	1.526650e+00	-1.538685e-01
1.386937872219841e-04	1.637910e+00	-1.649521e-01
1.486937872219841e-04	1.748148e+00	-1.759384e-01
1.586937872219841e-04	1.857576e+00	-1.868417e-01
1.686937872219841e-04	1.966323e+00	-1.976778e-01
1.786937872219841e-04	2.074471e+00	-2.084506e-01
1.886937872219841e-04	2.182081e+00	-2.191697e-01
1.986937872219841e-04	2.289195e+00	-2.298352e-01
2.086937872219841e-04	2.395846e+00	-2.404545e-01
2.186937872219841e-04	2.502059e+00	-2.510261e-01
2.286937872219841e-04	2.607856e+00	-2.615561e-01
2.386937872219841e-04	2.713253e+00	-2.720422e-01
2.486937872219841e-04	2.818264e+00	-2.824901e-01
2.586937872219841e-04	2.922903e+00	-2.928969e-01
2.686937872219841e-04	3.027211e+00	-3.032678e-01
2.752529967134248e-04	3.093997e+00	-3.100412e-01
2.778886774120845e-04	3.116655e+00	-3.121693e-01
2.803219105144834e-04	3.131625e+00	-3.134161e-01
2.815574838771613e-04	3.137105e+00	-3.138970e-01
2.828661609806158e-04	3.141697e+00	-3.143257e-01
2.842204876301057e-04	3.145715e+00	-3.147054e-01
2.856986109454509e-04	3.149395e+00	-3.150571e-01
2.878043761910844e-04	3.153734e+00	-3.154772e-01
2.902952503359369e-04	3.157904e+00	-3.158769e-01
2.932828475645898e-04	3.161888e+00	-3.162611e-01
2.966162286105642e-04	3.165383e+00	-3.165983e-01
3.008330822212008e-04	3.168802e+00	-3.169335e-01
3.060845024736478e-04	3.172026e+00	-3.172488e-01
3.130362982418474e-04	3.175161e+00	-3.175582e-01
