time	V(out_pos,out_neg)	I(R1)	I(Vcell12)
Step Information: Rtierra=1K  (Step: 1/3)
7.352229036145128e-05	3.619733e-01	1.125151e-05	-1.812350e-02
7.383784216257156e-05	3.753915e-01	1.124644e-05	-1.879318e-02
7.414360661031357e-05	3.883996e-01	1.124153e-05	-1.944507e-02
7.446032082631655e-05	4.018638e-01	1.123646e-05	-2.011721e-02
7.477306305583440e-05	4.151232e-01	1.123147e-05	-2.078198e-02
7.509422650617609e-05	4.286602e-01	1.122638e-05	-2.145822e-02
7.541668586841013e-05	4.421017e-01	1.122133e-05	-2.213297e-02
7.575357974906930e-05	4.558759e-01	1.121616e-05	-2.282240e-02
7.610394067965533e-05	4.697425e-01	1.121096e-05	-2.352053e-02
7.649148480030172e-05	4.842963e-01	1.120551e-05	-2.425239e-02
7.693977971894746e-05	4.997935e-01	1.119968e-05	-2.503886e-02
7.754638113229793e-05	5.181735e-01	1.119268e-05	-2.598153e-02
7.863433595998176e-05	5.462377e-01	1.118164e-05	-2.739388e-02
7.975717132670252e-05	5.710571e-01	1.117128e-05	-2.861017e-02
8.099757568673832e-05	5.950606e-01	1.116040e-05	-2.980654e-02
8.281057850094326e-05	6.268921e-01	1.114448e-05	-3.140064e-02
8.559811819019036e-05	6.725202e-01	1.111932e-05	-3.367854e-02
8.867757665809192e-05	7.205114e-01	1.109054e-05	-3.606555e-02
9.196420920814709e-05	7.700399e-01	1.105889e-05	-3.853764e-02
9.547028181408543e-05	8.217087e-01	1.102451e-05	-4.111699e-02
9.956533658827807e-05	8.810781e-01	1.098402e-05	-4.408645e-02
1.043756830601018e-04	9.499075e-01	1.093647e-05	-4.752655e-02
1.102835956515935e-04	1.033478e+00	1.087844e-05	-5.170802e-02
1.176246593954581e-04	1.136213e+00	1.080714e-05	-5.684623e-02
1.273421489163709e-04	1.270836e+00	1.071409e-05	-6.358064e-02
1.373421489163709e-04	1.408065e+00	1.061975e-05	-7.043841e-02
1.473421489163709e-04	1.544072e+00	1.052678e-05	-7.723887e-02
1.573421489163709e-04	1.678968e+00	1.043502e-05	-8.398093e-02
1.673421489163709e-04	1.812830e+00	1.034436e-05	-9.067494e-02
1.773421489163709e-04	1.945715e+00	1.025471e-05	-9.731679e-02
1.873421489163709e-04	2.077662e+00	1.016601e-05	-1.039152e-01
1.973421489163709e-04	2.208704e+00	1.007820e-05	-1.104651e-01
2.073421489163709e-04	2.338870e+00	9.991260e-06	-1.169747e-01
2.173421489163709e-04	2.468188e+00	9.905166e-06	-1.234385e-01
2.273421489163709e-04	2.596679e+00	9.819904e-06	-1.298643e-01
2.373421489163709e-04	2.724284e+00	9.735089e-06	-1.362465e-01
2.473421489163708e-04	2.850447e+00	9.648043e-06	-1.425771e-01
2.573421489163709e-04	2.972671e+00	9.557852e-06	-1.487660e-01
2.611319662619012e-04	3.012434e+00	9.527275e-06	-1.507989e-01
2.632182291999749e-04	3.027520e+00	9.514726e-06	-1.514270e-01
2.647587534200039e-04	3.034949e+00	9.506144e-06	-1.517780e-01
2.658795547674471e-04	3.039344e+00	9.498796e-06	-1.519911e-01
2.670985092650331e-04	3.043464e+00	9.489896e-06	-1.521995e-01
2.687087760408092e-04	3.048173e+00	9.477060e-06	-1.524373e-01
2.714743536579167e-04	3.055096e+00	9.453330e-06	-1.527880e-01
2.744380725836495e-04	3.061383e+00	9.426341e-06	-1.530993e-01
2.783770127464330e-04	3.068431e+00	9.388832e-06	-1.534529e-01
2.825960320732950e-04	3.074819e+00	9.347350e-06	-1.537715e-01
2.889640579006197e-04	3.082947e+00	9.283136e-06	-1.541820e-01
2.959864032731150e-04	3.090469e+00	9.210896e-06	-1.545571e-01
3.057716841680767e-04	3.099172e+00	9.108681e-06	-1.549941e-01
3.157716841680766e-04	3.106591e+00	9.003295e-06	-1.553578e-01
3.257716841680767e-04	3.112792e+00	8.897594e-06	-1.556658e-01
3.357716841680766e-04	3.118050e+00	8.792174e-06	-1.559237e-01
3.457716841680767e-04	3.122559e+00	8.687486e-06	-1.561487e-01
3.557716841680766e-04	3.126460e+00	8.583872e-06	-1.563399e-01
3.657716841680767e-04	3.129862e+00	8.481601e-06	-1.565105e-01
3.757716841680766e-04	3.132852e+00	8.380886e-06	-1.566569e-01
3.857716841680767e-04	3.135496e+00	8.281881e-06	-1.567900e-01
3.957716841680766e-04	3.137847e+00	8.184699e-06	-1.569048e-01
4.057716841680767e-04	3.139950e+00	8.089422e-06	-1.570112e-01
4.157716841680766e-04	3.141840e+00	7.996108e-06	-1.571030e-01
4.257716841680767e-04	3.143545e+00	7.904792e-06	-1.571897e-01
4.357716841680766e-04	3.145089e+00	7.815497e-06	-1.572645e-01
4.457716841680767e-04	3.146494e+00	7.728231e-06	-1.573362e-01
4.557716841680766e-04	3.147777e+00	7.642991e-06	-1.573980e-01
4.657716841680767e-04	3.148951e+00	7.559769e-06	-1.574583e-01
4.757716841680766e-04	3.150033e+00	7.478454e-06	-1.575099e-01
4.857716841680767e-04	3.151087e+00	7.397626e-06	-1.575620e-01
4.957716841680767e-04	3.152204e+00	7.314818e-06	-1.576165e-01
5.057716841680766e-04	3.153389e+00	7.229341e-06	-1.576784e-01
5.157716841680766e-04	3.154580e+00	7.142370e-06	-1.577364e-01
5.257716841680766e-04	3.155728e+00	7.055140e-06	-1.577959e-01
5.357716841680767e-04	3.156808e+00	6.968545e-06	-1.578479e-01
5.457716841680766e-04	3.157808e+00	6.883219e-06	-1.578997e-01
5.557716841680766e-04	3.158727e+00	6.799609e-06	-1.579436e-01
5.657716841680766e-04	3.159567e+00	6.718029e-06	-1.579873e-01
5.757716841680767e-04	3.160331e+00	6.638696e-06	-1.580234e-01
5.857716841680766e-04	3.161026e+00	6.561754e-06	-1.580599e-01
5.957716841680766e-04	3.161657e+00	6.487290e-06	-1.580894e-01
6.057716841680766e-04	3.162231e+00	6.415351e-06	-1.581198e-01
6.157716841680767e-04	3.162752e+00	6.345947e-06	-1.581438e-01
6.257716841680766e-04	3.163226e+00	6.279065e-06	-1.581693e-01
6.357716841680766e-04	3.163658e+00	6.214674e-06	-1.581888e-01
6.457716841680766e-04	3.164052e+00	6.152727e-06	-1.582103e-01
6.557716841680767e-04	3.164410e+00	6.093165e-06	-1.582262e-01
6.657716841680766e-04	3.164738e+00	6.035925e-06	-1.582444e-01
6.757716841680766e-04	3.165038e+00	5.980935e-06	-1.582573e-01
6.857716841680766e-04	3.165312e+00	5.928121e-06	-1.582729e-01
6.957716841680767e-04	3.165563e+00	5.877408e-06	-1.582834e-01
7.057716841680766e-04	3.165793e+00	5.828716e-06	-1.582968e-01
7.157716841680766e-04	3.166005e+00	5.781970e-06	-1.583053e-01
