time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
2.473421489163708e-04	-1.506197e-01	3.974040e-06
2.573421489163709e-04	-1.370978e-01	2.823607e-06
2.611319662619012e-04	-1.324046e-01	3.757595e-06
2.632182291999749e-04	-1.298449e-01	2.867033e-06
2.647587534200039e-04	-1.279287e-01	3.738650e-06
2.658795547674471e-04	-1.265442e-01	2.842650e-06
2.670985092650331e-04	-1.250570e-01	3.709087e-06
2.687087760408092e-04	-1.231308e-01	2.806711e-06
2.714743536579167e-04	-1.199150e-01	3.646523e-06
2.744380725836495e-04	-1.166065e-01	2.722504e-06
2.783770127464330e-04	-1.124358e-01	3.542634e-06
2.825960320732950e-04	-1.082656e-01	2.601726e-06
2.889640579006197e-04	-1.024907e-01	3.390066e-06
2.959864032731150e-04	-9.677577e-02	2.419543e-06
3.057716841680767e-04	-8.978724e-02	3.174339e-06
3.157716841680766e-04	-8.358979e-02	2.185245e-06
3.257716841680767e-04	-7.825637e-02	2.956247e-06
3.357716841680766e-04	-7.364345e-02	1.983888e-06
3.457716841680767e-04	-6.962943e-02	2.768642e-06
3.557716841680766e-04	-6.611896e-02	1.807341e-06
3.657716841680767e-04	-6.303072e-02	2.603464e-06
3.757716841680766e-04	-6.029797e-02	1.651281e-06
3.857716841680767e-04	-5.786657e-02	2.454915e-06
3.957716841680766e-04	-5.569363e-02	1.509806e-06
4.057716841680767e-04	-5.374146e-02	2.319351e-06
4.157716841680766e-04	-5.198073e-02	1.379981e-06
4.257716841680767e-04	-5.038619e-02	2.194363e-06
4.357716841680766e-04	-4.893661e-02	1.259825e-06
4.457716841680767e-04	-4.761386e-02	2.078303e-06
4.557716841680766e-04	-4.640341e-02	1.147956e-06
4.657716841680767e-04	-4.529214e-02	1.969999e-06
4.757716841680766e-04	-4.426479e-02	1.043372e-06
4.857716841680767e-04	-4.325795e-02	1.870411e-06
4.957716841680767e-04	-4.218292e-02	9.690004e-07
