time	V(out_pos,out_neg)
0.000000000000000e+00	2.620220e-04
9.999999439624929e-11	2.620220e-04
1.999999887924986e-10	2.620220e-04
1.599999910339989e-09	2.620220e-04
3.199999820679977e-09	2.620220e-04
6.399999641359955e-09	2.620220e-04
1.279999928271991e-08	2.620220e-04
2.559999856543982e-08	2.620220e-04
4.832762248055117e-08	2.620220e-04
7.266233476010906e-08	2.620220e-04
8.545364133411044e-08	2.617836e-04
9.471314450455050e-08	2.617836e-04
1.053633344944031e-07	2.617836e-04
1.177885194445864e-07	2.617836e-04
1.350593063517968e-07	2.617836e-04
1.685472973986284e-07	2.617836e-04
2.001577569938030e-07	2.620220e-04
2.437039874538279e-07	2.622604e-04
2.872580127097989e-07	2.629757e-04
3.416129060107935e-07	2.641678e-04
4.110387802748076e-07	2.663136e-04
5.310920901559100e-07	2.708435e-04
7.711987099181145e-07	2.818108e-04
1.000884393053851e-06	2.930164e-04
1.304539394485799e-06	3.073215e-04
1.610378459708635e-06	3.199577e-04
2.037550221251969e-06	3.335476e-04
2.515340814455212e-06	3.442764e-04
3.205669592397171e-06	3.533363e-04
4.077778942200160e-06	3.578663e-04
5.523588444146936e-06	3.583431e-04
7.274467476110601e-06	3.514290e-04
9.397924472506016e-06	3.268719e-04
1.045518903784630e-05	2.927780e-04
1.120565040988593e-05	2.384186e-04
1.194192253058082e-05	1.456738e-04
1.280746540607965e-05	-1.287460e-05
1.374117680249439e-05	-2.281666e-04
1.471412999933136e-05	-4.816055e-04
1.583182056574315e-05	-7.827282e-04
1.731762742510445e-05	-1.165390e-03
1.916673260202381e-05	-1.581192e-03
2.143976378434191e-05	-1.975060e-03
2.431303540923535e-05	-2.305031e-03
2.632408235851935e-05	-2.403498e-03
2.866972900530070e-05	-2.388239e-03
3.036746684432743e-05	-2.333403e-03
3.591709643491568e-05	-2.117872e-03
4.098989933310222e-05	-1.934528e-03
4.731636904027140e-05	1.347160e-02
4.909568860187774e-05	5.080056e-02
5.011176691693626e-05	1.028817e-01
5.086218517494508e-05	1.522481e-01
5.142839352688116e-05	1.895862e-01
5.206290275184801e-05	2.313800e-01
5.251080989561218e-05	2.609303e-01
5.285345221736423e-05	2.835724e-01
5.318565773515045e-05	3.054872e-01
5.356384890063261e-05	3.303442e-01
5.397770141428529e-05	3.574994e-01
5.480540644159066e-05	4.116299e-01
5.559556114491591e-05	4.631255e-01
5.671765693336324e-05	5.359042e-01
5.800633430145273e-05	6.189692e-01
5.983439825049958e-05	7.358561e-01
6.182139673859749e-05	8.619235e-01
6.257937260215665e-05	9.096909e-01
6.298616029433261e-05	9.351983e-01
6.322206268628097e-05	9.499495e-01
6.344704769648476e-05	9.639816e-01
6.368472872139240e-05	9.787605e-01
6.390307403631761e-05	9.922802e-01
6.413600282047463e-05	1.006612e+00
6.436079081379353e-05	1.020308e+00
6.459837233369604e-05	1.034557e+00
6.483688620293432e-05	1.048506e+00
6.509553176552101e-05	1.063033e+00
6.537365912019423e-05	1.077684e+00
6.571065039117540e-05	1.093742e+00
6.616256809696439e-05	1.112200e+00
6.692386629126158e-05	1.137960e+00
6.772094051418275e-05	1.160414e+00
6.862932477145510e-05	1.182183e+00
6.997176886606787e-05	1.210623e+00
7.200350900375662e-05	1.249957e+00
7.404449283101535e-05	1.286995e+00
7.657739400592273e-05	1.330935e+00
7.913064593937993e-05	1.373882e+00
8.299339415983369e-05	1.437298e+00
8.799603975373904e-05	1.517810e+00
9.652055473131164e-05	1.652735e+00
1.065205547313116e-04	1.809104e+00
1.165205547313116e-04	1.964100e+00
1.265205547313116e-04	2.118183e+00
1.465205547313116e-04	2.424613e+00
1.765205547313116e-04	2.881605e+00
2.013516474943778e-04	3.258313e+00
2.035338183971294e-04	3.288667e+00
2.042704498176790e-04	3.294760e+00
2.049894382000813e-04	3.296752e+00
2.053559488283856e-04	3.297251e+00
2.057005210705602e-04	3.297551e+00
2.063896655549095e-04	3.297981e+00
2.071475929284588e-04	3.298303e+00
2.086634476755576e-04	3.298704e+00
2.103739254955065e-04	3.298988e+00
2.121662192509415e-04	3.299173e+00
2.141840774079816e-04	3.299308e+00
2.167526797658281e-04	3.299422e+00
2.201965447830765e-04	3.299522e+00
2.250480901909293e-04	3.299611e+00
2.324014575385292e-04	3.299691e+00
2.424014575385292e-04	3.299755e+00
2.524014575385292e-04	3.299793e+00
2.624014575385292e-04	3.299817e+00
2.724014575385292e-04	3.299835e+00
2.824014575385292e-04	3.299847e+00
2.924014575385292e-04	3.299857e+00
3.024014575385292e-04	3.299864e+00
3.124014575385292e-04	3.299870e+00
3.224014575385292e-04	3.299875e+00
3.324014575385292e-04	3.299879e+00
3.424014575385292e-04	3.299882e+00
3.524014575385292e-04	3.299885e+00
3.624014575385292e-04	3.299888e+00
3.724014575385292e-04	3.299890e+00
3.824014575385292e-04	3.299892e+00
3.924014575385292e-04	3.299893e+00
4.024014575385292e-04	3.299894e+00
4.124014575385292e-04	3.299896e+00
4.224014575385292e-04	3.299897e+00
4.324014575385292e-04	3.299898e+00
4.424014575385292e-04	3.299898e+00
4.524014575385292e-04	3.299899e+00
4.624014575385292e-04	3.299900e+00
4.724014575385292e-04	3.299900e+00
4.824014575385292e-04	3.299901e+00
4.924014575385291e-04	3.299901e+00
5.024014575385292e-04	3.299901e+00
5.124014575385292e-04	3.299902e+00
5.224014575385292e-04	3.299902e+00
5.324014575385291e-04	3.299902e+00
5.424014575385292e-04	3.299903e+00
5.624014575385292e-04	3.299903e+00
5.824014575385292e-04	3.299903e+00
6.024014575385292e-04	3.299904e+00
6.224014575385292e-04	3.299904e+00
6.424014575385292e-04	3.299904e+00
6.724014575385292e-04	3.299904e+00
7.024014575385292e-04	3.299904e+00
7.238300289671006e-04	3.299904e+00
7.452586003956720e-04	3.299904e+00
7.666871718242435e-04	3.299905e+00
7.881157432528149e-04	3.299905e+00
8.095443146813863e-04	3.299905e+00
8.309728861099577e-04	3.299905e+00
8.524014575385291e-04	3.299905e+00
8.995443146813863e-04	3.299905e+00
9.466871718242435e-04	3.299905e+00
9.938300289671007e-04	3.299905e+00
1.040972886109958e-03	3.299905e+00
1.088115743252815e-03	3.299905e+00
1.135258600395672e-03	3.299905e+00
1.182401457538529e-03	3.299905e+00
1.353830028967101e-03	3.299905e+00
1.525258600395672e-03	3.299905e+00
1.696687171824244e-03	3.299905e+00
1.868115743252815e-03	3.299905e+00
2.039544314681387e-03	3.299905e+00
2.210972886109958e-03	3.299905e+00
2.382401457538529e-03	3.299905e+00
2.693830028967100e-03	3.299905e+00
3.005258600395672e-03	3.299905e+00
3.316687171824244e-03	3.299905e+00
3.628115743252815e-03	3.299905e+00
3.939544314681387e-03	3.299905e+00
4.250972886109958e-03	3.299905e+00
4.562401457538529e-03	3.299905e+00
9.272401457538529e-03	3.299905e+00
9.992401457538528e-03	3.299905e+00
1.000000000000000e-02	3.299905e+00
1.000000000100000e-02	3.299905e+00
1.000000000200000e-02	3.299905e+00
1.000000000347517e-02	3.299905e+00
1.000000000560198e-02	3.299905e+00
1.000000000985561e-02	3.299905e+00
1.000000003537736e-02	3.299905e+00
1.000000006940637e-02	3.299905e+00
1.000000013746440e-02	3.299905e+00
1.000000027358044e-02	3.299905e+00
1.000000054581253e-02	3.299905e+00
1.000000109027671e-02	3.299905e+00
1.000000217920506e-02	3.299905e+00
1.000000435706178e-02	3.299905e+00
1.000000871277520e-02	3.299905e+00
1.000001493772448e-02	3.299905e+00
1.000002566750753e-02	3.299905e+00
1.000004712707362e-02	3.299905e+00
1.000007002806088e-02	3.299905e+00
1.000008616603948e-02	3.299905e+00
1.000010788702696e-02	3.299905e+00
1.000012571946637e-02	3.299905e+00
1.000014522529124e-02	3.299905e+00
1.000016720689174e-02	3.299905e+00
1.000020362258235e-02	3.299905e+00
1.000026047468927e-02	3.299905e+00
1.000033044861116e-02	3.299905e+00
1.000040239007214e-02	3.299905e+00
1.000053931123349e-02	3.299905e+00
1.000073246471062e-02	3.299904e+00
1.000093991489280e-02	3.299904e+00
1.000113528772032e-02	3.299904e+00
1.000132082092568e-02	3.299904e+00
1.000147534439347e-02	3.299904e+00
1.000165194373237e-02	3.299904e+00
1.000182561735814e-02	3.299904e+00
1.000211574048583e-02	3.299903e+00
1.000240579865672e-02	3.299903e+00
1.000267193555899e-02	3.299903e+00
1.000297153467962e-02	3.299903e+00
1.000326191036390e-02	3.299903e+00
1.000361319490264e-02	3.299902e+00
1.000398079520368e-02	3.299902e+00
1.000444376200051e-02	3.299902e+00
1.000497190167841e-02	3.299901e+00
1.000569043096106e-02	3.299901e+00
1.000662298776132e-02	3.299900e+00
1.000812279417810e-02	3.299899e+00
1.001104778961199e-02	3.299897e+00
1.001499666941458e-02	3.299893e+00
1.001877490965676e-02	3.299890e+00
1.002165623057672e-02	3.299888e+00
1.002433835713492e-02	3.299885e+00
1.002723584860280e-02	3.299883e+00
1.003038841723918e-02	3.299880e+00
1.003334200331663e-02	3.299877e+00
1.003627594883192e-02	3.299874e+00
1.003911794312572e-02	3.299871e+00
1.004201587795294e-02	3.299868e+00
1.004487183214576e-02	3.299864e+00
1.004776654837848e-02	3.299861e+00
1.005063596629120e-02	3.299857e+00
1.005405405178910e-02	3.299852e+00
1.005783723410132e-02	3.299846e+00
1.006760915669084e-02	3.299827e+00
1.008218218544179e-02	3.299787e+00
1.009218218544179e-02	3.299745e+00
1.010218218544179e-02	3.299678e+00
1.011218218544179e-02	3.299553e+00
1.012218218544179e-02	3.299209e+00
1.013218218544179e-02	3.298087e+00
1.013619903428666e-02	3.296206e+00
1.013790257182940e-02	3.293020e+00
1.013870568460145e-02	3.288633e+00
1.013954257998794e-02	3.281123e+00
1.014080936024027e-02	3.268409e+00
1.014213770212866e-02	3.254991e+00
1.014471991649516e-02	3.228724e+00
1.014892514280606e-02	3.185560e+00
1.015380297931244e-02	3.134951e+00
1.016110936596681e-02	3.058320e+00
1.016890437764090e-02	2.975751e+00
1.017890437764090e-02	2.868912e+00
1.018890437764090e-02	2.761362e+00
1.019890437764090e-02	2.653247e+00
1.020890437764090e-02	2.544700e+00
1.021890437764090e-02	2.435797e+00
1.022890437764090e-02	2.326579e+00
1.023890437764090e-02	2.217058e+00
1.025890437764090e-02	1.997032e+00
1.027890437764090e-02	1.775244e+00
1.028890437764090e-02	1.663290e+00
1.029890437764090e-02	1.550111e+00
1.030890437764090e-02	1.434654e+00
1.031890437764090e-02	1.312673e+00
1.032890437764090e-02	1.173177e+00
1.033229670574595e-02	1.107810e+00
1.033348493610323e-02	1.073325e+00
1.033413079498133e-02	1.049221e+00
1.033439435854325e-02	1.038423e+00
1.033462134469537e-02	1.028798e+00
1.033510934803070e-02	1.007686e+00
1.033553747788793e-02	9.888254e-01
1.033596560774516e-02	9.699006e-01
1.033639373760239e-02	9.509122e-01
1.033682186745961e-02	9.318601e-01
1.033724999731684e-02	9.127442e-01
1.033767812717407e-02	8.935647e-01
1.033810625703130e-02	8.743215e-01
1.034003775346239e-02	7.873030e-01
1.034200919699039e-02	6.977768e-01
1.034530436021990e-02	5.469165e-01
1.034944044053106e-02	3.560023e-01
1.035281948234599e-02	1.995378e-01
1.035502464798239e-02	9.895778e-02
1.035621284910075e-02	4.833555e-02
1.035674900917251e-02	2.979875e-02
1.035715101086288e-02	2.033663e-02
1.035754628049865e-02	1.434374e-02
1.035797333892285e-02	1.000786e-02
1.035838055020652e-02	7.250786e-03
1.035881191077065e-02	5.326033e-03
1.035923929618903e-02	4.072666e-03
1.035969983465006e-02	3.200054e-03
1.036017282061394e-02	2.630234e-03
1.036069516027834e-02	2.243042e-03
1.036125641341669e-02	1.995802e-03
1.036190353507640e-02	1.835585e-03
1.036263977809700e-02	1.739740e-03
1.036354166329689e-02	1.683712e-03
1.036464681478592e-02	1.653433e-03
1.036613091437616e-02	1.636267e-03
1.036780512915579e-02	1.625776e-03
1.036986060813778e-02	1.616240e-03
1.037235903105133e-02	1.605034e-03
1.037584356611635e-02	1.590014e-03
1.038080586433304e-02	1.569033e-03
1.038923372266352e-02	1.534224e-03
1.039855853999922e-02	1.496553e-03
1.040855853999922e-02	1.457453e-03
1.041855853999922e-02	1.419783e-03
1.042855853999922e-02	1.383066e-03
1.043855853999922e-02	1.347780e-03
1.044855853999922e-02	1.313925e-03
1.045855853999922e-02	1.281023e-03
1.046855853999922e-02	1.249552e-03
1.047855853999922e-02	1.219034e-03
1.048855853999922e-02	1.189709e-03
1.049855853999922e-02	1.161575e-03
1.050855853999922e-02	1.134634e-03
1.051855853999922e-02	1.108646e-03
1.052855853999922e-02	1.083612e-03
1.053855853999922e-02	1.059532e-03
1.054855853999922e-02	1.036167e-03
1.055855853999922e-02	1.013994e-03
1.056855853999922e-02	9.922981e-04
1.057855853999922e-02	9.715557e-04
1.058855853999922e-02	9.512901e-04
1.059855853999922e-02	9.319782e-04
1.060855853999922e-02	9.129047e-04
1.061855853999922e-02	8.947849e-04
1.062855853999922e-02	8.771420e-04
1.063855853999922e-02	8.599758e-04
1.064855853999922e-02	8.432865e-04
1.065855853999922e-02	8.270741e-04
1.066855853999922e-02	8.115768e-04
1.067855853999922e-02	7.963181e-04
1.068855853999922e-02	7.817745e-04
1.069855853999922e-02	7.674694e-04
1.070855853999922e-02	7.536411e-04
1.071855853999922e-02	7.400513e-04
1.072855853999922e-02	7.269382e-04
1.073855853999922e-02	7.143021e-04
1.074855853999922e-02	7.019043e-04
1.075855853999922e-02	6.899834e-04
1.076855853999922e-02	6.783009e-04
1.077855853999922e-02	6.668568e-04
1.078855853999922e-02	6.558895e-04
1.079855853999922e-02	6.453991e-04
1.080855853999922e-02	6.349087e-04
1.081855853999922e-02	6.248951e-04
1.082855853999922e-02	6.151199e-04
1.083855853999922e-02	6.055832e-04
1.084855853999922e-02	5.962849e-04
1.085855853999922e-02	5.874634e-04
1.086855853999922e-02	5.786419e-04
1.087855853999922e-02	5.700588e-04
1.088855853999922e-02	5.619526e-04
1.089855853999922e-02	5.538464e-04
1.090855853999922e-02	5.462170e-04
1.091855853999922e-02	5.385876e-04
1.092855853999922e-02	5.314350e-04
1.093855853999922e-02	5.242825e-04
1.094855853999922e-02	5.171299e-04
1.095855853999922e-02	5.104542e-04
1.096855853999922e-02	5.040169e-04
1.097855853999922e-02	4.975796e-04
1.098855853999922e-02	4.913807e-04
1.099855853999922e-02	4.854202e-04
1.100855853999922e-02	4.796982e-04
1.101855853999922e-02	4.739761e-04
1.102855853999922e-02	4.684925e-04
1.103855853999922e-02	4.630089e-04
1.104855853999922e-02	4.577637e-04
1.105855853999922e-02	4.527569e-04
1.106855853999922e-02	4.479885e-04
1.107855853999922e-02	4.432201e-04
1.108855853999922e-02	4.384518e-04
1.109855853999922e-02	4.339218e-04
1.110855853999922e-02	4.296303e-04
1.111855853999922e-02	4.253387e-04
1.112855853999922e-02	4.212856e-04
1.113855853999922e-02	4.172325e-04
1.114855853999922e-02	4.131794e-04
1.115855853999922e-02	4.096031e-04
1.116855853999922e-02	4.057884e-04
1.117855853999922e-02	4.022121e-04
1.118855853999922e-02	3.986359e-04
1.119855853999922e-02	3.952980e-04
1.120855853999922e-02	3.919601e-04
1.121855853999922e-02	3.888607e-04
1.122855853999922e-02	3.855228e-04
1.123855853999922e-02	3.826618e-04
1.124855853999922e-02	3.795624e-04
1.125855853999922e-02	3.767014e-04
1.126855853999922e-02	3.738403e-04
1.127855853999922e-02	3.712177e-04
1.128855853999922e-02	3.685951e-04
1.129855853999922e-02	3.659725e-04
1.130855853999922e-02	3.633499e-04
1.131855853999922e-02	3.609657e-04
1.132855853999922e-02	3.585815e-04
1.133855853999922e-02	3.564358e-04
1.134855853999922e-02	3.540516e-04
1.135855853999922e-02	3.519058e-04
1.136855853999922e-02	3.497601e-04
1.137855853999922e-02	3.478527e-04
1.138855853999922e-02	3.457069e-04
1.139855853999922e-02	3.437996e-04
1.140855853999922e-02	3.418922e-04
1.141855853999922e-02	3.399849e-04
1.142855853999922e-02	3.380775e-04
1.143855853999922e-02	3.364086e-04
1.144855853999922e-02	3.347397e-04
1.145855853999922e-02	3.330708e-04
1.146855853999922e-02	3.314018e-04
1.147855853999922e-02	3.299713e-04
1.148855853999922e-02	3.283024e-04
1.149855853999922e-02	3.268719e-04
1.150855853999922e-02	3.254414e-04
1.151855853999922e-02	3.240108e-04
1.152855853999922e-02	3.225803e-04
1.153855853999922e-02	3.211498e-04
1.154855853999922e-02	3.199577e-04
1.155855853999922e-02	3.187656e-04
1.156855853999922e-02	3.173351e-04
1.157855853999922e-02	3.161430e-04
1.158855853999922e-02	3.149509e-04
1.159855853999922e-02	3.139973e-04
1.160855853999922e-02	3.128052e-04
1.161855853999922e-02	3.116131e-04
1.162855853999922e-02	3.106594e-04
1.163855853999922e-02	3.097057e-04
1.164855853999922e-02	3.085136e-04
1.165855853999922e-02	3.075600e-04
1.166855853999922e-02	3.066063e-04
1.167855853999922e-02	3.056526e-04
1.168855853999922e-02	3.046989e-04
1.169855853999922e-02	3.039837e-04
1.170855853999922e-02	3.030300e-04
1.171855853999922e-02	3.023148e-04
1.172855853999922e-02	3.013611e-04
1.173855853999922e-02	3.006458e-04
1.174855853999922e-02	2.996922e-04
1.175855853999922e-02	2.989769e-04
1.176855853999922e-02	2.982616e-04
1.177855853999922e-02	2.975464e-04
1.178855853999922e-02	2.968311e-04
1.179855853999922e-02	2.961159e-04
1.180855853999922e-02	2.954006e-04
1.181855853999922e-02	2.949238e-04
1.182855853999922e-02	2.942085e-04
1.183855853999922e-02	2.937317e-04
1.184855853999922e-02	2.930164e-04
1.185855853999922e-02	2.923012e-04
1.186855853999922e-02	2.918243e-04
1.187855853999922e-02	2.913475e-04
1.188855853999922e-02	2.906322e-04
1.189855853999922e-02	2.901554e-04
1.190855853999922e-02	2.896786e-04
1.191855853999922e-02	2.892017e-04
1.192855853999922e-02	2.887249e-04
1.193855853999922e-02	2.882481e-04
1.194855853999922e-02	2.877712e-04
1.195855853999922e-02	2.872944e-04
1.196855853999922e-02	2.868176e-04
1.197855853999922e-02	2.863407e-04
1.198855853999922e-02	2.858639e-04
1.199855853999922e-02	2.853870e-04
1.200855853999922e-02	2.849102e-04
1.201855853999922e-02	2.846718e-04
1.202855853999922e-02	2.841949e-04
1.203855853999922e-02	2.839565e-04
1.204855853999922e-02	2.834797e-04
1.205855853999922e-02	2.830029e-04
1.206855853999922e-02	2.827644e-04
1.207855853999922e-02	2.822876e-04
1.208855853999922e-02	2.820492e-04
1.209855853999922e-02	2.818108e-04
1.210855853999922e-02	2.813339e-04
1.211855853999922e-02	2.810955e-04
1.212855853999922e-02	2.806187e-04
1.213855853999922e-02	2.803802e-04
1.214855853999922e-02	2.801418e-04
1.215855853999922e-02	2.799034e-04
1.216855853999922e-02	2.794266e-04
1.217855853999922e-02	2.791882e-04
1.218855853999922e-02	2.789497e-04
1.219855853999922e-02	2.787113e-04
1.220855853999922e-02	2.784729e-04
1.221855853999922e-02	2.782345e-04
1.222855853999922e-02	2.779961e-04
1.223855853999922e-02	2.777576e-04
1.224855853999922e-02	2.775192e-04
1.225855853999922e-02	2.772808e-04
1.226855853999922e-02	2.770424e-04
1.227855853999922e-02	2.768040e-04
1.228855853999922e-02	2.765656e-04
1.229855853999922e-02	2.763271e-04
1.230855853999922e-02	2.760887e-04
1.231855853999922e-02	2.758503e-04
1.232855853999922e-02	2.756119e-04
1.233855853999922e-02	2.753735e-04
1.234855853999922e-02	2.751350e-04
1.235855853999922e-02	2.751350e-04
1.236855853999922e-02	2.748966e-04
1.237855853999922e-02	2.746582e-04
1.238855853999922e-02	2.744198e-04
1.239855853999922e-02	2.744198e-04
1.240855853999922e-02	2.741814e-04
1.241855853999922e-02	2.739429e-04
1.242855853999922e-02	2.737045e-04
1.243855853999922e-02	2.737045e-04
1.244855853999922e-02	2.734661e-04
1.245855853999922e-02	2.732277e-04
1.246855853999922e-02	2.732277e-04
1.247855853999922e-02	2.729893e-04
1.248855853999922e-02	2.727509e-04
1.249855853999922e-02	2.727509e-04
1.250855853999922e-02	2.725124e-04
1.251855853999922e-02	2.725124e-04
1.252855853999922e-02	2.722740e-04
1.253855853999922e-02	2.720356e-04
1.254855853999922e-02	2.720356e-04
1.255855853999922e-02	2.717972e-04
1.256855853999922e-02	2.717972e-04
1.257855853999922e-02	2.715588e-04
1.258855853999922e-02	2.715588e-04
1.259855853999922e-02	2.713203e-04
1.260855853999922e-02	2.713203e-04
1.261855853999922e-02	2.710819e-04
1.262855853999922e-02	2.710819e-04
1.263855853999922e-02	2.708435e-04
1.264855853999922e-02	2.708435e-04
1.265855853999922e-02	2.706051e-04
1.266855853999922e-02	2.706051e-04
1.267855853999922e-02	2.703667e-04
1.268855853999922e-02	2.703667e-04
1.269855853999922e-02	2.703667e-04
1.270855853999922e-02	2.701283e-04
1.271855853999922e-02	2.701283e-04
1.272855853999922e-02	2.698898e-04
1.273855853999922e-02	2.698898e-04
1.274855853999922e-02	2.696514e-04
1.275855853999922e-02	2.696514e-04
1.276855853999922e-02	2.694130e-04
1.277855853999922e-02	2.694130e-04
1.278855853999922e-02	2.694130e-04
1.279855853999922e-02	2.694130e-04
1.280855853999922e-02	2.691746e-04
1.281855853999922e-02	2.691746e-04
1.282855853999922e-02	2.689362e-04
1.283855853999922e-02	2.689362e-04
1.284855853999922e-02	2.689362e-04
1.285855853999922e-02	2.686977e-04
1.286855853999922e-02	2.686977e-04
1.287855853999922e-02	2.686977e-04
1.288855853999922e-02	2.684593e-04
1.289855853999922e-02	2.684593e-04
1.290855853999922e-02	2.684593e-04
1.291855853999922e-02	2.682209e-04
1.292855853999922e-02	2.682209e-04
1.293855853999922e-02	2.682209e-04
1.294855853999922e-02	2.679825e-04
1.295855853999922e-02	2.679825e-04
1.296855853999922e-02	2.679825e-04
1.297855853999922e-02	2.679825e-04
1.298855853999922e-02	2.677441e-04
1.299855853999922e-02	2.677441e-04
1.300855853999922e-02	2.677441e-04
1.301855853999922e-02	2.677441e-04
1.302855853999922e-02	2.675056e-04
1.303855853999922e-02	2.675056e-04
1.304855853999922e-02	2.675056e-04
1.305855853999922e-02	2.675056e-04
1.306855853999922e-02	2.672672e-04
1.307855853999922e-02	2.672672e-04
1.308855853999922e-02	2.672672e-04
1.309855853999922e-02	2.672672e-04
1.310855853999922e-02	2.670288e-04
1.311855853999922e-02	2.670288e-04
1.312855853999922e-02	2.670288e-04
1.313855853999922e-02	2.670288e-04
1.314855853999922e-02	2.667904e-04
1.315855853999922e-02	2.667904e-04
1.316855853999922e-02	2.667904e-04
1.317855853999922e-02	2.667904e-04
1.318855853999922e-02	2.665520e-04
1.319855853999922e-02	2.665520e-04
1.320855853999922e-02	2.665520e-04
1.321855853999922e-02	2.665520e-04
1.322855853999922e-02	2.665520e-04
1.323855853999922e-02	2.665520e-04
1.324855853999922e-02	2.663136e-04
1.325855853999922e-02	2.663136e-04
1.326855853999922e-02	2.663136e-04
1.327855853999922e-02	2.663136e-04
1.328855853999922e-02	2.660751e-04
1.329855853999922e-02	2.660751e-04
1.330855853999922e-02	2.660751e-04
1.331855853999922e-02	2.660751e-04
1.332855853999922e-02	2.660751e-04
1.333855853999922e-02	2.660751e-04
1.334855853999922e-02	2.658367e-04
1.335855853999922e-02	2.658367e-04
1.336855853999922e-02	2.658367e-04
1.337855853999922e-02	2.658367e-04
1.338855853999922e-02	2.658367e-04
1.339855853999922e-02	2.658367e-04
1.340855853999922e-02	2.655983e-04
1.341855853999922e-02	2.655983e-04
1.342855853999922e-02	2.655983e-04
1.343855853999922e-02	2.655983e-04
1.344855853999922e-02	2.655983e-04
1.345855853999922e-02	2.655983e-04
1.346855853999922e-02	2.653599e-04
1.347855853999922e-02	2.653599e-04
1.348855853999922e-02	2.653599e-04
1.349855853999922e-02	2.653599e-04
1.350855853999922e-02	2.653599e-04
