,tiempo,vgate,vcell_neg
313,624000,1760,-40
314,626000,1760,-80
315,628000,1680,-80
316,630000,1760,-80
317,632000,1760,-80
318,634000,1760,-40
319,636000,1720,-80
320,638000,1720,-40
321,640000,1760,-120
322,642000,1800,0
323,644000,1760,-40
324,646000,1760,-40
325,648000,1720,-80
326,650000,1760,-40
327,652000,1760,-40
328,654000,1800,-40
329,656000,1760,-40
330,658000,1760,-80
331,660000,1760,-80
332,662000,1720,-120
333,664000,1800,-40
334,666000,1760,0
335,668000,1760,-40
336,670000,1800,-80
337,672000,1720,-40
338,674000,1720,-80
339,676000,1720,-80
340,678000,1760,-40
341,680000,1720,-80
342,682000,1720,-80
343,684000,1760,-40
344,686000,1720,-80
345,688000,1720,-40
346,690000,1760,-40
347,692000,1760,-80
348,694000,1760,-40
349,696000,1760,-80
350,698000,1760,-80
351,700000,1760,-80
352,702000,1760,0
353,704000,1760,-80
354,706000,1760,-40
355,708000,1760,-80
356,710000,1760,-80
357,712000,1720,-40
358,714000,1720,-80
359,716000,1760,-40
360,718000,1760,-40
361,720000,1720,-40
362,722000,1720,-120
363,724000,1720,-80
364,726000,1760,-40
365,728000,1720,-80
366,730000,1760,-80
367,732000,1760,-80
368,734000,1760,-80
369,736000,1760,-120
370,738000,1720,-40
371,740000,1760,-80
372,742000,1760,-80
373,744000,1760,-40
374,746000,1760,-80
375,748000,1760,-80
376,750000,1760,-40
377,752000,1720,-80
378,754000,1720,-80
379,756000,1800,-80
380,758000,1760,-40
381,760000,1760,-40
382,762000,1760,-80
383,764000,1760,-120
384,766000,1680,-120
385,768000,1760,-120
386,770000,1720,-40
387,772000,1800,-40
388,774000,1720,-40
389,776000,1800,-40
390,778000,1760,-80
391,780000,1760,-80
392,782000,1720,-120
393,784000,1760,-80
394,786000,1760,0
395,788000,1760,-40
396,790000,1760,-40
397,792000,1720,-40
398,794000,1720,-80
399,796000,1760,-120
400,798000,1760,-80
401,800000,1760,-40
402,802000,1760,-40
403,804000,1760,-40
404,806000,1760,-40
405,808000,1760,-80
406,810000,1720,-80
407,812000,1720,-80
408,814000,1720,-80
409,816000,1800,0
410,818000,1720,-40
411,820000,1760,-80
412,822000,1720,-80
413,824000,1760,-40
414,826000,1760,-40
415,828000,1760,-40
416,830000,1760,-40
417,832000,1760,-80
418,834000,1720,-80
419,836000,1800,-40
420,838000,1760,-120
421,840000,1760,-40
422,842000,1760,-40
423,844000,1760,-80
424,846000,1800,0
425,848000,1760,-40
426,850000,1760,-80
427,852000,1760,-80
428,854000,1760,-80
429,856000,1760,-40
430,858000,1760,-80
431,860000,1760,-120
432,862000,1760,-40
433,864000,1720,-120
434,866000,1720,-80
435,868000,1760,-80
436,870000,1720,-80
437,872000,1720,-80
438,874000,1760,-80
439,876000,1720,-120
440,878000,1720,-80
441,880000,1720,-80
442,882000,1760,-80
443,884000,1760,-80
444,886000,1720,-120
445,888000,1760,-40
446,890000,1760,-40
447,892000,1760,-40
448,894000,1800,-80
449,896000,1760,-80
450,898000,1800,-80
451,900000,1760,-80
452,902000,1760,-80
453,904000,1720,-80
454,906000,1760,-80
455,908000,1720,-80
456,910000,1760,-40
457,912000,1760,-40
458,914000,1760,-80
459,916000,1760,-40
460,918000,1760,-120
461,920000,1760,-40
462,922000,1800,-40
463,924000,1720,-80
464,926000,1840,40
465,928000,1760,-40
466,930000,1760,-80
