Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
773,386000.000us,2960,960,-2000
774,386500.000us,3000,960,-2040
775,387000.000us,3000,960,-2040
776,387500.000us,2960,920,-2040
777,388000.000us,3000,920,-2080
778,388500.000us,3000,920,-2080
779,389000.000us,3000,960,-2040
780,389500.000us,2960,920,-2040
781,390000.000us,2960,920,-2040
782,390500.000us,2960,960,-2000
783,391000.000us,3000,960,-2040
784,391500.000us,2960,920,-2040
785,392000.000us,3000,960,-2040
786,392500.000us,2960,920,-2040
787,393000.000us,3040,960,-2080
788,393500.000us,2960,920,-2040
789,394000.000us,3040,920,-2120
790,394500.000us,3040,920,-2120
791,395000.000us,3040,960,-2080
792,395500.000us,3000,920,-2080
793,396000.000us,3040,960,-2080
794,396500.000us,3040,960,-2080
795,397000.000us,3080,960,-2120
796,397500.000us,3000,920,-2080
797,398000.000us,3080,960,-2120
798,398500.000us,3080,960,-2120
799,399000.000us,3320,1040,-2280
800,399500.000us,3040,960,-2080
801,400000.000us,3320,1040,-2280
802,400500.000us,3360,1040,-2320
803,401000.000us,3520,1120,-2400
804,401500.000us,3360,1040,-2320
805,402000.000us,3480,1080,-2400
806,402500.000us,3520,1120,-2400
807,403000.000us,3520,1120,-2400
808,403500.000us,3320,1040,-2280
809,404000.000us,3320,1040,-2280
810,404500.000us,3320,1000,-2320
811,405000.000us,3320,1040,-2280
812,405500.000us,2960,920,-2040
813,406000.000us,3000,920,-2080
814,406500.000us,2960,960,-2000
815,407000.000us,3000,960,-2040
816,407500.000us,2960,920,-2040
817,408000.000us,2960,960,-2000
818,408500.000us,3000,960,-2040
819,409000.000us,3000,960,-2040
820,409500.000us,2960,920,-2040
821,410000.000us,3000,920,-2080
822,410500.000us,2920,960,-1960
823,411000.000us,3040,960,-2080
824,411500.000us,2920,920,-2000
825,412000.000us,3000,960,-2040
826,412500.000us,3000,920,-2080
827,413000.000us,3040,960,-2080
828,413500.000us,2960,920,-2040
829,414000.000us,2960,960,-2000
830,414500.000us,2960,920,-2040
831,415000.000us,3040,1000,-2040
832,415500.000us,2960,920,-2040
833,416000.000us,3040,960,-2080
834,416500.000us,3040,960,-2080
835,417000.000us,3080,960,-2120
836,417500.000us,3040,920,-2120
837,418000.000us,3040,960,-2080
838,418500.000us,3080,960,-2120
839,419000.000us,3320,1080,-2240
840,419500.000us,3040,920,-2120
841,420000.000us,3320,1080,-2240
842,420500.000us,3320,1040,-2280
843,421000.000us,3520,1120,-2400
844,421500.000us,3320,1040,-2280
845,422000.000us,3480,1040,-2440
846,422500.000us,3520,1080,-2440
847,423000.000us,3520,1120,-2400
848,423500.000us,3360,1000,-2360
849,424000.000us,3360,1040,-2320
850,424500.000us,3280,1000,-2280
851,425000.000us,3280,1000,-2280
852,425500.000us,3000,920,-2080
853,426000.000us,3000,960,-2040
854,426500.000us,3000,920,-2080
855,427000.000us,3000,960,-2040
856,427500.000us,2960,920,-2040
857,428000.000us,3000,960,-2040
858,428500.000us,3000,920,-2080
859,429000.000us,3000,960,-2040
860,429500.000us,2960,920,-2040
861,430000.000us,2960,960,-2000
862,430500.000us,2960,920,-2040
863,431000.000us,3040,960,-2080
864,431500.000us,2920,920,-2000
865,432000.000us,3040,920,-2120
866,432500.000us,3000,960,-2040
867,433000.000us,3040,960,-2080
868,433500.000us,2960,920,-2040
869,434000.000us,3000,960,-2040
870,434500.000us,2960,920,-2040
871,435000.000us,3040,960,-2080
872,435500.000us,2960,920,-2040
873,436000.000us,3040,920,-2120
874,436500.000us,3040,960,-2080
875,437000.000us,3080,1000,-2080
876,437500.000us,3040,920,-2120
877,438000.000us,3080,960,-2120
878,438500.000us,3040,960,-2080
879,439000.000us,3320,1040,-2280
880,439500.000us,3040,960,-2080
881,440000.000us,3320,1040,-2280
882,440500.000us,3360,1000,-2360
883,441000.000us,3520,1120,-2400
884,441500.000us,3360,1000,-2360
885,442000.000us,3520,1080,-2440
886,442500.000us,3520,1120,-2400
887,443000.000us,3560,1120,-2440
888,443500.000us,3320,1040,-2280
889,444000.000us,3320,1040,-2280
890,444500.000us,3280,1000,-2280
891,445000.000us,3280,1000,-2280
892,445500.000us,3000,920,-2080
893,446000.000us,3000,920,-2080
894,446500.000us,3040,920,-2120
895,447000.000us,3040,960,-2080
896,447500.000us,2960,920,-2040
897,448000.000us,3000,960,-2040
898,448500.000us,2960,960,-2000
899,449000.000us,3000,960,-2040
900,449500.000us,2960,920,-2040
901,450000.000us,3000,920,-2080
902,450500.000us,2960,920,-2040
903,451000.000us,3040,960,-2080
904,451500.000us,2960,880,-2080
905,452000.000us,3040,960,-2080
906,452500.000us,2960,920,-2040
907,453000.000us,3000,960,-2040
908,453500.000us,2960,920,-2040
909,454000.000us,3000,920,-2080
910,454500.000us,3000,960,-2040
911,455000.000us,3040,960,-2080
912,455500.000us,3000,920,-2080
913,456000.000us,3040,960,-2080
914,456500.000us,3040,960,-2080
915,457000.000us,3080,1000,-2080
916,457500.000us,3000,920,-2080
917,458000.000us,3080,920,-2160
918,458500.000us,3040,1000,-2040
919,459000.000us,3320,1080,-2240
920,459500.000us,3040,960,-2080
921,460000.000us,3320,1080,-2240
922,460500.000us,3360,1080,-2280
923,461000.000us,3520,1120,-2400
924,461500.000us,3360,1040,-2320
925,462000.000us,3520,1080,-2440
926,462500.000us,3480,1080,-2400
927,463000.000us,3520,1080,-2440
928,463500.000us,3360,1040,-2320
929,464000.000us,3360,1040,-2320
930,464500.000us,3320,1000,-2320
931,465000.000us,3320,1000,-2320
932,465500.000us,3000,920,-2080
933,466000.000us,3000,960,-2040
934,466500.000us,3000,960,-2040
935,467000.000us,3000,960,-2040
936,467500.000us,2960,920,-2040
937,468000.000us,3000,960,-2040
938,468500.000us,2960,920,-2040
939,469000.000us,3000,960,-2040
940,469500.000us,2960,920,-2040
941,470000.000us,3000,960,-2040
942,470500.000us,2960,920,-2040
943,471000.000us,3000,960,-2040
944,471500.000us,2960,920,-2040
945,472000.000us,2960,920,-2040
946,472500.000us,3000,920,-2080
947,473000.000us,3000,960,-2040
948,473500.000us,2960,920,-2040
949,474000.000us,3000,920,-2080
950,474500.000us,3000,960,-2040
951,475000.000us,3040,1000,-2040
952,475500.000us,3000,920,-2080
953,476000.000us,3040,1000,-2040
954,476500.000us,3000,920,-2080
955,477000.000us,3080,1000,-2080
956,477500.000us,3000,920,-2080
957,478000.000us,3040,960,-2080
958,478500.000us,3040,920,-2120
959,479000.000us,3280,1080,-2200
960,479500.000us,3040,920,-2120
961,480000.000us,3280,1080,-2200
962,480500.000us,3320,1040,-2280
963,481000.000us,3520,1120,-2400
964,481500.000us,3320,1040,-2280
965,482000.000us,3480,1080,-2400
966,482500.000us,3520,1080,-2440
967,483000.000us,3520,1120,-2400
968,483500.000us,3360,1040,-2320
969,484000.000us,3360,1040,-2320
970,484500.000us,3320,1040,-2280
971,485000.000us,3320,1040,-2280
972,485500.000us,3000,960,-2040
973,486000.000us,3000,960,-2040
974,486500.000us,2960,960,-2000
975,487000.000us,3000,1000,-2000
976,487500.000us,2960,920,-2040
977,488000.000us,3000,1000,-2000
978,488500.000us,2960,920,-2040
979,489000.000us,3000,960,-2040
980,489500.000us,2960,880,-2080
981,490000.000us,2960,880,-2080
982,490500.000us,3000,920,-2080
983,491000.000us,3000,960,-2040
984,491500.000us,2960,920,-2040
985,492000.000us,2960,960,-2000
986,492500.000us,3000,920,-2080
987,493000.000us,3040,960,-2080
988,493500.000us,3000,920,-2080
989,494000.000us,3000,960,-2040
990,494500.000us,3000,920,-2080
991,495000.000us,3080,960,-2120
992,495500.000us,3000,920,-2080
993,496000.000us,3000,920,-2080
994,496500.000us,3040,960,-2080
995,497000.000us,3080,960,-2120
996,497500.000us,3040,920,-2120
997,498000.000us,3080,960,-2120
998,498500.000us,3080,960,-2120
999,499000.000us,3280,1080,-2200
1000,499500.000us,3040,960,-2080
1001,500000.000us,3280,1080,-2200
1002,500500.000us,3360,1040,-2320
1003,501000.000us,3520,1120,-2400
1004,501500.000us,3360,1040,-2320
1005,502000.000us,3520,1120,-2400
1006,502500.000us,3520,1080,-2440
1007,503000.000us,3520,1080,-2440
1008,503500.000us,3360,1040,-2320
1009,504000.000us,3360,1040,-2320
1010,504500.000us,3320,1000,-2320
1011,505000.000us,3320,1040,-2280
1012,505500.000us,3000,920,-2080
1013,506000.000us,3000,920,-2080
1014,506500.000us,3000,920,-2080
1015,507000.000us,3040,960,-2080
1016,507500.000us,2960,920,-2040
1017,508000.000us,3000,960,-2040
1018,508500.000us,2960,960,-2000
1019,509000.000us,3000,960,-2040
1020,509500.000us,2920,920,-2000
1021,510000.000us,2920,920,-2000
1022,510500.000us,2960,920,-2040
1023,511000.000us,3000,960,-2040
1024,511500.000us,2960,920,-2040
1025,512000.000us,3000,960,-2040
1026,512500.000us,3040,1000,-2040
1027,513000.000us,3040,1000,-2040
1028,513500.000us,3000,920,-2080
1029,514000.000us,3000,960,-2040
1030,514500.000us,2960,960,-2000
1031,515000.000us,3040,1000,-2040
1032,515500.000us,2960,920,-2040
1033,516000.000us,3040,920,-2120
1034,516500.000us,3040,920,-2120
1035,517000.000us,3120,1000,-2120
1036,517500.000us,3040,920,-2120
1037,518000.000us,3120,1000,-2120
1038,518500.000us,3080,960,-2120
1039,519000.000us,3320,1040,-2280
1040,519500.000us,3080,920,-2160
1041,520000.000us,3320,1040,-2280
1042,520500.000us,3360,1080,-2280
1043,521000.000us,3520,1120,-2400
1044,521500.000us,3360,1040,-2320
1045,522000.000us,3480,1120,-2360
1046,522500.000us,3520,1080,-2440
1047,523000.000us,3560,1120,-2440
1048,523500.000us,3360,1040,-2320
1049,524000.000us,3360,1040,-2320
1050,524500.000us,3320,1040,-2280
1051,525000.000us,3320,1040,-2280
1052,525500.000us,3000,920,-2080
1053,526000.000us,3000,960,-2040
1054,526500.000us,3000,920,-2080
1055,527000.000us,3000,1000,-2000
1056,527500.000us,2960,920,-2040
1057,528000.000us,3000,1000,-2000
1058,528500.000us,3000,960,-2040
1059,529000.000us,3000,960,-2040
1060,529500.000us,2960,920,-2040
1061,530000.000us,3000,960,-2040
1062,530500.000us,3000,920,-2080
1063,531000.000us,3000,1000,-2000
1064,531500.000us,2960,920,-2040
1065,532000.000us,3000,920,-2080
1066,532500.000us,2960,920,-2040
1067,533000.000us,3000,960,-2040
1068,533500.000us,2960,920,-2040
1069,534000.000us,3000,960,-2040
1070,534500.000us,3040,960,-2080
1071,535000.000us,3080,960,-2120
1072,535500.000us,3000,920,-2080
1073,536000.000us,3080,920,-2160
1074,536500.000us,3040,960,-2080
1075,537000.000us,3080,1000,-2080
1076,537500.000us,3000,920,-2080
1077,538000.000us,3040,960,-2080
1078,538500.000us,3080,960,-2120
1079,539000.000us,3320,1000,-2320
1080,539500.000us,3040,960,-2080
1081,540000.000us,3320,1000,-2320
1082,540500.000us,3360,1000,-2360
1083,541000.000us,3520,1120,-2400
1084,541500.000us,3360,1000,-2360
1085,542000.000us,3520,1080,-2440
1086,542500.000us,3520,1120,-2400
1087,543000.000us,3520,1120,-2400
1088,543500.000us,3320,1000,-2320
1089,544000.000us,3320,1000,-2320
1090,544500.000us,3360,1000,-2360
1091,545000.000us,3360,1000,-2360
1092,545500.000us,2960,920,-2040
1093,546000.000us,2960,960,-2000
1094,546500.000us,3000,960,-2040
1095,547000.000us,3040,960,-2080
1096,547500.000us,2960,920,-2040
1097,548000.000us,2960,960,-2000
1098,548500.000us,3000,960,-2040
1099,549000.000us,3000,960,-2040
1100,549500.000us,2960,920,-2040
1101,550000.000us,2960,960,-2000
1102,550500.000us,2960,960,-2000
1103,551000.000us,3000,960,-2040
1104,551500.000us,2960,920,-2040
1105,552000.000us,2960,920,-2040
1106,552500.000us,3000,920,-2080
1107,553000.000us,3040,960,-2080
1108,553500.000us,2960,920,-2040
1109,554000.000us,3000,960,-2040
1110,554500.000us,3040,960,-2080
1111,555000.000us,3040,1000,-2040
1112,555500.000us,3000,920,-2080
1113,556000.000us,3000,960,-2040
1114,556500.000us,3040,960,-2080
1115,557000.000us,3080,1000,-2080
1116,557500.000us,3040,960,-2080
1117,558000.000us,3080,960,-2120
1118,558500.000us,3040,920,-2120
1119,559000.000us,3280,1080,-2200
1120,559500.000us,3040,920,-2120
1121,560000.000us,3280,1080,-2200
1122,560500.000us,3320,1080,-2240
1123,561000.000us,3520,1120,-2400
1124,561500.000us,3320,1040,-2280
1125,562000.000us,3520,1120,-2400
1126,562500.000us,3520,1080,-2440
1127,563000.000us,3520,1120,-2400
1128,563500.000us,3320,1040,-2280
1129,564000.000us,3320,1040,-2280
1130,564500.000us,3240,1000,-2240
1131,565000.000us,3320,1000,-2320
1132,565500.000us,3000,920,-2080
1133,566000.000us,3000,960,-2040
1134,566500.000us,3040,920,-2120
1135,567000.000us,3040,960,-2080
1136,567500.000us,2960,920,-2040
1137,568000.000us,3040,920,-2120
1138,568500.000us,3000,920,-2080
1139,569000.000us,3000,960,-2040
1140,569500.000us,2960,920,-2040
1141,570000.000us,2960,960,-2000
1142,570500.000us,2920,920,-2000
1143,571000.000us,3040,960,-2080
1144,571500.000us,2920,920,-2000
1145,572000.000us,2960,960,-2000
1146,572500.000us,2960,960,-2000
1147,573000.000us,3040,960,-2080
1148,573500.000us,2960,920,-2040
1149,574000.000us,3000,920,-2080
1150,574500.000us,3000,960,-2040
1151,575000.000us,3040,960,-2080
1152,575500.000us,3000,920,-2080
1153,576000.000us,3040,960,-2080
1154,576500.000us,3000,960,-2040
1155,577000.000us,3080,960,-2120
1156,577500.000us,3000,920,-2080
1157,578000.000us,3040,960,-2080
1158,578500.000us,3080,960,-2120
1159,579000.000us,3320,1080,-2240
1160,579500.000us,3040,960,-2080
1161,580000.000us,3320,1000,-2320
1162,580500.000us,3360,1080,-2280
1163,581000.000us,3520,1120,-2400
1164,581500.000us,3360,1080,-2280
1165,582000.000us,3480,1080,-2400
1166,582500.000us,3520,1120,-2400
1167,583000.000us,3520,1160,-2360
1168,583500.000us,3320,1040,-2280
1169,584000.000us,3320,1080,-2240
1170,584500.000us,3320,960,-2360
1171,585000.000us,3320,1000,-2320
1172,585500.000us,3000,920,-2080
1173,586000.000us,3000,960,-2040
1174,586500.000us,3000,920,-2080
1175,587000.000us,3000,1000,-2000
1176,587500.000us,2960,920,-2040
1177,588000.000us,3000,920,-2080
1178,588500.000us,3000,960,-2040
1179,589000.000us,3000,960,-2040
1180,589500.000us,2960,920,-2040
1181,590000.000us,3000,960,-2040
1182,590500.000us,2960,960,-2000
1183,591000.000us,3000,960,-2040
1184,591500.000us,2960,920,-2040
1185,592000.000us,3000,920,-2080
1186,592500.000us,3000,920,-2080
1187,593000.000us,3000,960,-2040
1188,593500.000us,2960,880,-2080
1189,594000.000us,3000,960,-2040
1190,594500.000us,3040,920,-2120
1191,595000.000us,3040,960,-2080
1192,595500.000us,2960,920,-2040
1193,596000.000us,3040,960,-2080
1194,596500.000us,3040,960,-2080
1195,597000.000us,3080,1000,-2080
1196,597500.000us,3040,960,-2080
1197,598000.000us,3040,960,-2080
1198,598500.000us,3080,960,-2120
1199,599000.000us,3320,1040,-2280
1200,599500.000us,3040,960,-2080
1201,600000.000us,3320,1040,-2280
1202,600500.000us,3320,1080,-2240
1203,601000.000us,3520,1120,-2400
1204,601500.000us,3320,1040,-2280
1205,602000.000us,3480,1080,-2400
1206,602500.000us,3520,1080,-2440
1207,603000.000us,3520,1080,-2440
1208,603500.000us,3320,1000,-2320
1209,604000.000us,3320,1000,-2320
1210,604500.000us,3320,1040,-2280
1211,605000.000us,3320,1040,-2280
1212,605500.000us,3000,920,-2080
1213,606000.000us,3000,960,-2040
1214,606500.000us,3000,920,-2080
1215,607000.000us,3000,1000,-2000
1216,607500.000us,2960,920,-2040
1217,608000.000us,3000,960,-2040
1218,608500.000us,2960,920,-2040
1219,609000.000us,3000,960,-2040
1220,609500.000us,2960,920,-2040
1221,610000.000us,3000,960,-2040
1222,610500.000us,2960,960,-2000
1223,611000.000us,3040,960,-2080
1224,611500.000us,2960,920,-2040
1225,612000.000us,3040,960,-2080
1226,612500.000us,2960,920,-2040
1227,613000.000us,3040,960,-2080
1228,613500.000us,2960,920,-2040
1229,614000.000us,3000,920,-2080
1230,614500.000us,3000,960,-2040
1231,615000.000us,3080,960,-2120
1232,615500.000us,2960,920,-2040
1233,616000.000us,3040,960,-2080
1234,616500.000us,3040,960,-2080
1235,617000.000us,3080,1000,-2080
1236,617500.000us,3000,920,-2080
1237,618000.000us,3040,960,-2080
1238,618500.000us,3080,960,-2120
1239,619000.000us,3320,1040,-2280
1240,619500.000us,3040,960,-2080
1241,620000.000us,3320,1040,-2280
1242,620500.000us,3320,1000,-2320
1243,621000.000us,3520,1120,-2400
1244,621500.000us,3320,1000,-2320
1245,622000.000us,3520,1080,-2440
1246,622500.000us,3520,1080,-2440
1247,623000.000us,3520,1120,-2400
1248,623500.000us,3320,1000,-2320
1249,624000.000us,3320,1000,-2320
1250,624500.000us,3280,1000,-2280
1251,625000.000us,3280,1000,-2280
1252,625500.000us,2960,920,-2040
1253,626000.000us,2960,920,-2040
1254,626500.000us,2960,960,-2000
1255,627000.000us,3040,960,-2080
1256,627500.000us,2960,920,-2040
1257,628000.000us,3040,920,-2120
1258,628500.000us,3000,920,-2080
1259,629000.000us,3000,960,-2040
1260,629500.000us,2960,920,-2040
1261,630000.000us,2960,960,-2000
1262,630500.000us,2960,920,-2040
1263,631000.000us,3000,960,-2040
1264,631500.000us,2960,920,-2040
1265,632000.000us,3000,960,-2040
1266,632500.000us,3000,920,-2080
1267,633000.000us,3000,960,-2040
1268,633500.000us,2960,920,-2040
1269,634000.000us,3000,960,-2040
1270,634500.000us,3000,960,-2040
1271,635000.000us,3040,960,-2080
1272,635500.000us,2960,920,-2040
1273,636000.000us,3000,960,-2040
1274,636500.000us,3040,960,-2080
1275,637000.000us,3080,960,-2120
1276,637500.000us,3000,920,-2080
1277,638000.000us,3040,960,-2080
1278,638500.000us,3080,960,-2120
1279,639000.000us,3320,1040,-2280
1280,639500.000us,3040,960,-2080
1281,640000.000us,3320,1040,-2280
1282,640500.000us,3320,1040,-2280
1283,641000.000us,3520,1120,-2400
1284,641500.000us,3320,1040,-2280
1285,642000.000us,3480,1120,-2360
1286,642500.000us,3480,1080,-2400
1287,643000.000us,3520,1120,-2400
1288,643500.000us,3320,1040,-2280
1289,644000.000us,3360,1040,-2320
1290,644500.000us,3280,1000,-2280
1291,645000.000us,3280,1000,-2280
1292,645500.000us,3000,920,-2080
1293,646000.000us,3000,920,-2080
1294,646500.000us,2960,960,-2000
1295,647000.000us,3000,960,-2040
1296,647500.000us,2960,920,-2040
1297,648000.000us,3000,920,-2080
1298,648500.000us,3000,960,-2040
1299,649000.000us,3000,960,-2040
1300,649500.000us,2960,920,-2040
1301,650000.000us,2960,920,-2040
1302,650500.000us,2960,960,-2000
1303,651000.000us,3040,960,-2080
1304,651500.000us,2960,920,-2040
1305,652000.000us,3000,920,-2080
1306,652500.000us,3000,920,-2080
1307,653000.000us,3040,960,-2080
1308,653500.000us,2960,920,-2040
1309,654000.000us,3000,960,-2040
1310,654500.000us,3040,960,-2080
1311,655000.000us,3040,960,-2080
1312,655500.000us,3000,920,-2080
1313,656000.000us,3040,920,-2120
1314,656500.000us,3000,920,-2080
1315,657000.000us,3080,1000,-2080
1316,657500.000us,3000,920,-2080
1317,658000.000us,3080,960,-2120
1318,658500.000us,3040,960,-2080
1319,659000.000us,3320,1040,-2280
1320,659500.000us,3040,960,-2080
1321,660000.000us,3320,1040,-2280
1322,660500.000us,3360,1040,-2320
1323,661000.000us,3520,1120,-2400
1324,661500.000us,3360,1040,-2320
1325,662000.000us,3520,1120,-2400
1326,662500.000us,3520,1080,-2440
1327,663000.000us,3520,1120,-2400
1328,663500.000us,3360,1000,-2360
1329,664000.000us,3360,1040,-2320
1330,664500.000us,3320,1000,-2320
1331,665000.000us,3320,1000,-2320
1332,665500.000us,3000,920,-2080
1333,666000.000us,3000,920,-2080
1334,666500.000us,2960,920,-2040
1335,667000.000us,3000,960,-2040
1336,667500.000us,2960,920,-2040
1337,668000.000us,3000,920,-2080
1338,668500.000us,3000,920,-2080
1339,669000.000us,3000,960,-2040
1340,669500.000us,2960,920,-2040
1341,670000.000us,2960,920,-2040
1342,670500.000us,3000,920,-2080
1343,671000.000us,3000,960,-2040
1344,671500.000us,2960,920,-2040
1345,672000.000us,3000,920,-2080
1346,672500.000us,2960,920,-2040
1347,673000.000us,3000,960,-2040
1348,673500.000us,2960,880,-2080
1349,674000.000us,3000,920,-2080
1350,674500.000us,3000,960,-2040
1351,675000.000us,3040,960,-2080
1352,675500.000us,2960,920,-2040
1353,676000.000us,3040,960,-2080
1354,676500.000us,3040,960,-2080
1355,677000.000us,3080,1000,-2080
1356,677500.000us,3040,920,-2120
1357,678000.000us,3040,960,-2080
1358,678500.000us,3080,960,-2120
1359,679000.000us,3280,1040,-2240
1360,679500.000us,3040,960,-2080
1361,680000.000us,3280,1040,-2240
1362,680500.000us,3360,1040,-2320
1363,681000.000us,3520,1120,-2400
1364,681500.000us,3360,1040,-2320
1365,682000.000us,3480,1120,-2360
1366,682500.000us,3480,1080,-2400
1367,683000.000us,3520,1120,-2400
1368,683500.000us,3320,1000,-2320
1369,684000.000us,3320,1000,-2320
1370,684500.000us,3320,1000,-2320
1371,685000.000us,3320,1000,-2320
1372,685500.000us,3000,920,-2080
1373,686000.000us,3040,1000,-2040
1374,686500.000us,3040,960,-2080
1375,687000.000us,3040,960,-2080
1376,687500.000us,2960,920,-2040
1377,688000.000us,3000,920,-2080
1378,688500.000us,3000,960,-2040
1379,689000.000us,3040,960,-2080
1380,689500.000us,2920,920,-2000
1381,690000.000us,3040,960,-2080
1382,690500.000us,2960,960,-2000
1383,691000.000us,3000,960,-2040
1384,691500.000us,2960,880,-2080
1385,692000.000us,3000,960,-2040
1386,692500.000us,3000,960,-2040
1387,693000.000us,3040,1000,-2040
1388,693500.000us,2960,920,-2040
1389,694000.000us,3000,920,-2080
1390,694500.000us,3000,960,-2040
1391,695000.000us,3040,1000,-2040
1392,695500.000us,3000,880,-2120
1393,696000.000us,3000,960,-2040
1394,696500.000us,3000,920,-2080
1395,697000.000us,3040,1000,-2040
1396,697500.000us,3000,920,-2080
1397,698000.000us,3040,960,-2080
1398,698500.000us,3080,960,-2120
1399,699000.000us,3320,1040,-2280
1400,699500.000us,3040,960,-2080
1401,700000.000us,3320,1000,-2320
1402,700500.000us,3320,1040,-2280
1403,701000.000us,3520,1120,-2400
1404,701500.000us,3320,1000,-2320
1405,702000.000us,3520,1120,-2400
1406,702500.000us,3480,1080,-2400
1407,703000.000us,3520,1120,-2400
1408,703500.000us,3320,1040,-2280
1409,704000.000us,3320,1080,-2240
1410,704500.000us,3280,1040,-2240
1411,705000.000us,3280,1040,-2240
1412,705500.000us,2960,920,-2040
1413,706000.000us,3040,960,-2080
1414,706500.000us,3000,920,-2080
1415,707000.000us,3040,960,-2080
1416,707500.000us,2960,920,-2040
1417,708000.000us,2960,920,-2040
1418,708500.000us,2960,960,-2000
1419,709000.000us,3040,960,-2080
1420,709500.000us,2960,920,-2040
1421,710000.000us,2960,960,-2000
1422,710500.000us,2960,920,-2040
1423,711000.000us,3000,960,-2040
1424,711500.000us,2960,920,-2040
1425,712000.000us,3000,920,-2080
1426,712500.000us,3000,920,-2080
1427,713000.000us,3040,960,-2080
1428,713500.000us,2960,920,-2040
1429,714000.000us,3000,920,-2080
1430,714500.000us,2960,960,-2000
1431,715000.000us,3040,1000,-2040
1432,715500.000us,2960,960,-2000
1433,716000.000us,3040,1000,-2040
1434,716500.000us,3040,960,-2080
1435,717000.000us,3080,1000,-2080
1436,717500.000us,3040,920,-2120
1437,718000.000us,3040,960,-2080
1438,718500.000us,3040,960,-2080
1439,719000.000us,3280,1000,-2280
1440,719500.000us,3040,920,-2120
1441,720000.000us,3280,1000,-2280
1442,720500.000us,3320,1040,-2280
1443,721000.000us,3520,1120,-2400
1444,721500.000us,3320,1040,-2280
1445,722000.000us,3520,1120,-2400
1446,722500.000us,3520,1080,-2440
1447,723000.000us,3520,1120,-2400
1448,723500.000us,3360,1040,-2320
1449,724000.000us,3360,1040,-2320
1450,724500.000us,3280,1040,-2240
1451,725000.000us,3280,1040,-2240
1452,725500.000us,3000,920,-2080
1453,726000.000us,3000,960,-2040
1454,726500.000us,3000,920,-2080
1455,727000.000us,3000,960,-2040
1456,727500.000us,2960,920,-2040
1457,728000.000us,3000,960,-2040
1458,728500.000us,2960,920,-2040
1459,729000.000us,3000,960,-2040
1460,729500.000us,2960,880,-2080
1461,730000.000us,2960,960,-2000
1462,730500.000us,3000,960,-2040
1463,731000.000us,3000,960,-2040
1464,731500.000us,2960,920,-2040
1465,732000.000us,3000,960,-2040
1466,732500.000us,2960,920,-2040
1467,733000.000us,3040,960,-2080
1468,733500.000us,2960,880,-2080
1469,734000.000us,3000,960,-2040
1470,734500.000us,3000,960,-2040
1471,735000.000us,3080,960,-2120
1472,735500.000us,3000,920,-2080
1473,736000.000us,3080,960,-2120
1474,736500.000us,3040,960,-2080
1475,737000.000us,3080,1000,-2080
1476,737500.000us,3000,920,-2080
1477,738000.000us,3040,960,-2080
1478,738500.000us,3080,920,-2160
1479,739000.000us,3280,1040,-2240
1480,739500.000us,3040,920,-2120
1481,740000.000us,3280,1040,-2240
1482,740500.000us,3360,1040,-2320
1483,741000.000us,3520,1160,-2360
1484,741500.000us,3360,1040,-2320
1485,742000.000us,3520,1080,-2440
1486,742500.000us,3520,1120,-2400
1487,743000.000us,3560,1120,-2440
1488,743500.000us,3360,1000,-2360
1489,744000.000us,3360,1000,-2360
1490,744500.000us,3320,1040,-2280
1491,745000.000us,3320,1040,-2280
1492,745500.000us,3000,920,-2080
1493,746000.000us,3000,960,-2040
1494,746500.000us,3000,920,-2080
1495,747000.000us,3000,960,-2040
1496,747500.000us,2960,920,-2040
1497,748000.000us,3000,960,-2040
1498,748500.000us,3000,920,-2080
1499,749000.000us,3000,960,-2040
1500,749500.000us,2960,920,-2040
1501,750000.000us,2960,920,-2040
1502,750500.000us,3000,960,-2040
1503,751000.000us,3000,960,-2040
1504,751500.000us,2920,880,-2040
1505,752000.000us,3000,960,-2040
1506,752500.000us,2960,920,-2040
1507,753000.000us,3040,960,-2080
1508,753500.000us,2960,920,-2040
1509,754000.000us,3000,920,-2080
1510,754500.000us,3040,960,-2080
1511,755000.000us,3040,1000,-2040
1512,755500.000us,3000,920,-2080
1513,756000.000us,3000,960,-2040
1514,756500.000us,3080,960,-2120
1515,757000.000us,3080,960,-2120
1516,757500.000us,3040,920,-2120
1517,758000.000us,3080,960,-2120
1518,758500.000us,3080,960,-2120
1519,759000.000us,3280,1000,-2280
1520,759500.000us,3040,920,-2120
1521,760000.000us,3280,1000,-2280
1522,760500.000us,3320,1080,-2240
1523,761000.000us,3520,1120,-2400
1524,761500.000us,3320,1080,-2240
1525,762000.000us,3480,1080,-2400
1526,762500.000us,3520,1120,-2400
1527,763000.000us,3520,1120,-2400
1528,763500.000us,3360,1040,-2320
1529,764000.000us,3360,1040,-2320
1530,764500.000us,3320,1000,-2320
1531,765000.000us,3320,1000,-2320
1532,765500.000us,3000,920,-2080
1533,766000.000us,3000,920,-2080
1534,766500.000us,3000,960,-2040
1535,767000.000us,3000,960,-2040
1536,767500.000us,2960,920,-2040
1537,768000.000us,3000,920,-2080
1538,768500.000us,3040,920,-2120
1539,769000.000us,3040,960,-2080
1540,769500.000us,2960,920,-2040
1541,770000.000us,3000,920,-2080
