Save Time:,2026-05-11 12:52:02,,,
,,CH1,CH2,
Frequency:,,?,?,
Period:,,?,?,
SP:,,500.000 uS,500.000 uS,
PK-PK:,,3.720 V,3.960 V,
,,,,
Units:(mV),Tiempo,S,G,VGS
179,89000.000us,3040,960,-2080
180,89500.000us,2960,920,-2040
181,90000.000us,3040,960,-2080
182,90500.000us,2960,960,-2000
183,91000.000us,3040,960,-2080
184,91500.000us,2960,880,-2080
185,92000.000us,3040,960,-2080
186,92500.000us,3000,920,-2080
187,93000.000us,3040,960,-2080
188,93500.000us,2960,880,-2080
189,94000.000us,3000,920,-2080
190,94500.000us,3040,920,-2120
191,95000.000us,3040,960,-2080
192,95500.000us,3000,920,-2080
193,96000.000us,3040,920,-2120
194,96500.000us,3080,960,-2120
195,97000.000us,3080,1000,-2080
196,97500.000us,3000,920,-2080
197,98000.000us,3040,920,-2120
198,98500.000us,3080,960,-2120
199,99000.000us,3360,1080,-2280
200,99500.000us,3080,960,-2120
201,100000.000us,3360,1080,-2280
202,100500.000us,3360,1040,-2320
203,101000.000us,3520,1120,-2400
204,101500.000us,3360,1040,-2320
205,102000.000us,3480,1120,-2360
206,102500.000us,3520,1080,-2440
207,103000.000us,3520,1120,-2400
208,103500.000us,3320,1000,-2320
209,104000.000us,3320,1080,-2240
210,104500.000us,3280,1000,-2280
211,105000.000us,3280,1000,-2280
212,105500.000us,2960,920,-2040
213,106000.000us,3000,960,-2040
214,106500.000us,2960,920,-2040
215,107000.000us,3040,960,-2080
216,107500.000us,2960,920,-2040
217,108000.000us,3040,920,-2120
218,108500.000us,2960,960,-2000
219,109000.000us,3000,960,-2040
220,109500.000us,2920,920,-2000
221,110000.000us,2920,920,-2000
222,110500.000us,2960,920,-2040
223,111000.000us,3000,960,-2040
224,111500.000us,2960,920,-2040
225,112000.000us,3000,960,-2040
226,112500.000us,3040,920,-2120
227,113000.000us,3080,960,-2120
228,113500.000us,2960,920,-2040
229,114000.000us,2960,960,-2000
230,114500.000us,3000,920,-2080
