time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
4.195249943540722e-04	-4.468918e-02	-4.468346e-02	-4.470301e-02
4.295249943540723e-04	-4.469347e-02	-4.469872e-02	-4.467961e-02
4.395249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470216e-02
4.495249943540723e-04	-4.469347e-02	-4.469848e-02	-4.467911e-02
4.595249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470173e-02
4.695249943540723e-04	-4.469347e-02	-4.469848e-02	-4.467890e-02
4.795249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470150e-02
4.895249943540723e-04	-4.469299e-02	-4.469848e-02	-4.467882e-02
4.995249943540723e-04	-4.468918e-02	-4.468346e-02	-4.470136e-02
5.095249943540722e-04	-4.469299e-02	-4.469848e-02	-4.467880e-02
5.195249943540722e-04	-4.468918e-02	-4.468346e-02	-4.470126e-02
5.295249943540722e-04	-4.469299e-02	-4.469848e-02	-4.467882e-02
5.395249943540723e-04	-4.468918e-02	-4.468346e-02	-4.470119e-02
5.495249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467885e-02
5.595249943540722e-04	-4.468918e-02	-4.468346e-02	-4.470114e-02
5.695249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467889e-02
5.795249943540723e-04	-4.468918e-02	-4.468346e-02	-4.470109e-02
5.895249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467893e-02
5.995249943540722e-04	-4.468966e-02	-4.468346e-02	-4.470104e-02
6.095249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467898e-02
6.195249943540723e-04	-4.468918e-02	-4.468346e-02	-4.470099e-02
6.295249943540722e-04	-4.469347e-02	-4.469824e-02	-4.467902e-02
6.395249943540722e-04	-4.468918e-02	-4.468346e-02	-4.470094e-02
6.495249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467906e-02
6.595249943540723e-04	-4.468918e-02	-4.468369e-02	-4.470090e-02
6.695249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467910e-02
6.795249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470085e-02
6.895249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467914e-02
6.995249943540723e-04	-4.468918e-02	-4.468369e-02	-4.470081e-02
7.095249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467919e-02
7.195249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470077e-02
7.295249943540722e-04	-4.469299e-02	-4.469848e-02	-4.467923e-02
7.395249943540723e-04	-4.468918e-02	-4.468369e-02	-4.470073e-02
7.495249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467927e-02
7.595249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470069e-02
7.695249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467930e-02
7.795249943540723e-04	-4.468918e-02	-4.468369e-02	-4.470065e-02
7.895249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467934e-02
7.995249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470061e-02
8.095249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467938e-02
8.195249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470057e-02
8.295249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467942e-02
8.395249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470053e-02
8.495249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467946e-02
8.595249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470049e-02
8.695249943540722e-04	-4.469299e-02	-4.469824e-02	-4.467950e-02
8.795249943540722e-04	-4.468918e-02	-4.468369e-02	-4.470046e-02
8.895249943540722e-04	-4.469252e-02	-4.469824e-02	-4.467953e-02
8.995249943540722e-04	-4.468966e-02	-4.468369e-02	-4.470042e-02
