time	V(N019,out_pos)	V(N051,out_2)	V(N069,out_1)
3.395249943540722e-04	1.907349e-06	-9.059906e-06	3.099442e-06
3.495249943540723e-04	-2.861023e-06	8.106232e-06	-1.907349e-06
3.595249943540722e-04	3.814697e-06	-7.629395e-06	9.536743e-07
3.695249943540723e-04	-3.814697e-06	7.152557e-06	-2.384186e-07
3.795249943540722e-04	3.814697e-06	-7.152557e-06	-2.384186e-07
3.895249943540723e-04	-4.768372e-06	6.675720e-06	4.768372e-07
3.995249943540722e-04	4.768372e-06	-6.675720e-06	-9.536743e-07
4.095249943540723e-04	-4.768372e-06	6.198883e-06	1.192093e-06
4.195249943540722e-04	4.768372e-06	-6.675720e-06	-1.430511e-06
4.295249943540723e-04	-5.722046e-06	5.722046e-06	1.668930e-06
4.395249943540722e-04	4.768372e-06	-6.198883e-06	-1.907349e-06
4.495249943540723e-04	-5.722046e-06	5.722046e-06	1.907349e-06
4.595249943540722e-04	4.768372e-06	-5.722046e-06	-2.145767e-06
4.695249943540723e-04	-5.722046e-06	5.722046e-06	1.907349e-06
4.795249943540722e-04	4.768372e-06	-5.722046e-06	-2.145767e-06
4.895249943540723e-04	-5.722046e-06	5.722046e-06	2.145767e-06
4.995249943540723e-04	4.768372e-06	-5.722046e-06	-1.907349e-06
5.095249943540722e-04	-4.768372e-06	5.245209e-06	2.145767e-06
5.195249943540722e-04	4.768372e-06	-5.245209e-06	-2.145767e-06
5.295249943540722e-04	-4.768372e-06	5.245209e-06	2.145767e-06
5.395249943540723e-04	4.768372e-06	-5.245209e-06	-2.145767e-06
5.495249943540722e-04	-4.768372e-06	5.245209e-06	2.384186e-06
5.595249943540722e-04	4.768372e-06	-5.245209e-06	-2.145767e-06
5.695249943540722e-04	-4.768372e-06	4.768372e-06	2.384186e-06
5.795249943540723e-04	4.768372e-06	-5.245209e-06	-2.145767e-06
5.895249943540722e-04	-4.768372e-06	4.291534e-06	2.384186e-06
5.995249943540722e-04	4.768372e-06	-4.768372e-06	-2.145767e-06
6.095249943540722e-04	-4.768372e-06	4.291534e-06	2.384186e-06
6.195249943540723e-04	4.768372e-06	-4.768372e-06	-2.145767e-06
6.295249943540722e-04	-5.722046e-06	4.291534e-06	2.384186e-06
6.395249943540722e-04	4.768372e-06	-4.768372e-06	-2.145767e-06
6.495249943540722e-04	-5.722046e-06	4.291534e-06	2.384186e-06
6.595249943540723e-04	4.768372e-06	-4.768372e-06	-2.145767e-06
6.695249943540722e-04	-5.722046e-06	4.291534e-06	2.384186e-06
6.795249943540722e-04	5.722046e-06	-4.291534e-06	-2.145767e-06
6.895249943540722e-04	-5.722046e-06	4.291534e-06	2.384186e-06
6.995249943540723e-04	5.722046e-06	-3.814697e-06	-2.384186e-06
7.095249943540722e-04	-4.768372e-06	3.814697e-06	2.384186e-06
7.195249943540722e-04	4.768372e-06	-3.814697e-06	-2.384186e-06
7.295249943540722e-04	-4.768372e-06	3.814697e-06	2.145767e-06
7.395249943540723e-04	4.768372e-06	-3.814697e-06	-2.384186e-06
7.495249943540722e-04	-4.768372e-06	3.814697e-06	2.145767e-06
7.595249943540722e-04	4.768372e-06	-3.814697e-06	-2.384186e-06
7.695249943540722e-04	-4.768372e-06	3.814697e-06	2.145767e-06
7.795249943540723e-04	4.768372e-06	-3.814697e-06	-2.384186e-06
7.895249943540722e-04	-4.768372e-06	3.814697e-06	2.145767e-06
7.995249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
8.095249943540722e-04	-4.768372e-06	3.814697e-06	2.145767e-06
8.195249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
8.295249943540722e-04	-4.768372e-06	3.814697e-06	2.384186e-06
8.395249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
8.495249943540722e-04	-4.768372e-06	3.337860e-06	2.384186e-06
8.595249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
8.695249943540722e-04	-4.768372e-06	3.337860e-06	2.384186e-06
8.795249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
8.895249943540722e-04	-4.768372e-06	3.337860e-06	2.384186e-06
8.995249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
9.095249943540722e-04	-4.768372e-06	3.337860e-06	2.384186e-06
9.195249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
9.295249943540722e-04	-4.768372e-06	2.861023e-06	2.384186e-06
9.395249943540722e-04	4.768372e-06	-3.337860e-06	-2.384186e-06
9.495249943540722e-04	-3.814697e-06	2.861023e-06	2.384186e-06
9.595249943540722e-04	4.768372e-06	-2.861023e-06	-2.384186e-06
9.695249943540722e-04	-3.814697e-06	2.861023e-06	2.384186e-06
9.795249943540722e-04	4.768372e-06	-2.861023e-06	-2.384186e-06
9.895249943540723e-04	-3.814697e-06	2.861023e-06	2.384186e-06
9.995249943540723e-04	3.814697e-06	-2.861023e-06	-2.384186e-06
1.009524994354072e-03	-3.814697e-06	2.861023e-06	2.384186e-06
1.019524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.029524994354072e-03	-3.814697e-06	2.861023e-06	2.384186e-06
1.039524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.049524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.059524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.069524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.079524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.089524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.099524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.109524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.119524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.129524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.139524994354072e-03	3.814697e-06	-2.861023e-06	-2.384186e-06
1.149524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.159524994354072e-03	3.814697e-06	-2.384186e-06	-2.384186e-06
1.169524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.179524994354072e-03	3.814697e-06	-2.384186e-06	-2.384186e-06
1.189524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.199524994354072e-03	3.814697e-06	-2.384186e-06	-2.384186e-06
1.209524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.219524994354072e-03	3.814697e-06	-2.384186e-06	-2.384186e-06
1.229524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.239524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.249524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.259524994354072e-03	4.768372e-06	-1.907349e-06	-2.384186e-06
1.269524994354072e-03	-4.768372e-06	2.384186e-06	2.384186e-06
1.279524994354072e-03	4.768372e-06	-1.907349e-06	-2.384186e-06
1.289524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.299524994354072e-03	4.768372e-06	-1.907349e-06	-2.384186e-06
1.309524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.319524994354072e-03	4.768372e-06	-1.907349e-06	-2.384186e-06
1.329524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.339524994354072e-03	4.768372e-06	-1.907349e-06	-2.622604e-06
1.349524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.359524994354072e-03	4.768372e-06	-1.907349e-06	-2.622604e-06
1.369524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.379524994354072e-03	4.768372e-06	-1.907349e-06	-2.622604e-06
1.389524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.399524994354072e-03	4.768372e-06	-1.907349e-06	-2.622604e-06
1.409524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.419524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.429524994354072e-03	-3.814697e-06	2.384186e-06	2.384186e-06
1.439524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.449524994354072e-03	-3.814697e-06	1.907349e-06	2.384186e-06
1.459524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.469524994354072e-03	-3.814697e-06	1.907349e-06	2.384186e-06
1.479524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.489524994354072e-03	-3.814697e-06	1.907349e-06	2.384186e-06
1.499524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.509524994354072e-03	-3.814697e-06	1.907349e-06	2.384186e-06
1.519524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.529524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.539524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.549524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.559524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.569524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.579524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.589524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.599524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.609524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.619524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.629524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.639524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.649524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.659524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.669524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.679524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.689524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.699524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.709524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.719524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.729524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.739524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.749524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.759524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.769524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.779524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.789524994354072e-03	-3.814697e-06	1.430511e-06	2.622604e-06
1.799524994354072e-03	3.814697e-06	-1.907349e-06	-2.384186e-06
1.809524994354072e-03	-3.814697e-06	1.430511e-06	2.622604e-06
1.819524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.829524994354072e-03	-3.814697e-06	1.430511e-06	2.622604e-06
1.839524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.849524994354072e-03	-3.814697e-06	1.430511e-06	2.622604e-06
1.859524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.869524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.879524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.889524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.899524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.909524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.919524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.929524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.939524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.949524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.959524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.969524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.979524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
1.989524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
1.999524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.009524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.019524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.029524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.039524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.049524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.059524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.069524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.079524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.089524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.099524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.109524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.119524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.129524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.139524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.149524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.159524994354072e-03	2.861023e-06	-1.430511e-06	-2.384186e-06
2.169524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.179524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.189524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.199524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.209524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.219524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.229524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.239524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.249524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.259524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.269524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.279524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.289524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.299524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.309524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.319524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.329524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.339524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.349524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.359524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.369524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.379524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.389524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.399524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.409524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.419524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.429524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.439524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.449524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.459524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.469524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.479524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.489524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.499524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.509524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.519524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.529524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.539524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.549524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.559524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.569524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.579524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.589524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.599524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.609524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.619524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.629524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.639524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.649524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.659524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.669524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.679524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.689524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.699524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.709524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.719524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.729524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.739524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.749524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.759524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.769524994354072e-03	-3.814697e-06	9.536743e-07	2.384186e-06
2.779524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.789524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.799524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.809524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.819524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.829524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.839524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.849524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.859524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.869524994354072e-03	-3.814697e-06	1.430511e-06	2.384186e-06
2.879524994354072e-03	3.814697e-06	-1.430511e-06	-2.384186e-06
2.889524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.899524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
2.909524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.919524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
2.929524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.939524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
2.949524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.959524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
2.969524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.979524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
2.989524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
2.999524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.009524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.019524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.029524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.039524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.049524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.059524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.069524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.079524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.089524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.099524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.109524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.119524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.129524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.139524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.149524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.159524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.169524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.179524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.189524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.199524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.209524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.219524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.229524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.239524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.249524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.259524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.269524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.279524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.289524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
3.299524994354072e-03	3.814697e-06	-9.536743e-07	-2.384186e-06
3.309524994354072e-03	-2.861023e-06	1.430511e-06	2.384186e-06
