time	V(n001)
0.000000000000000e+00	3.299984e+00
9.999999939225290e-09	3.299984e+00
1.015624993827569e-08	3.299984e+00
1.109374993257806e-08	3.299984e+00
1.205431650675559e-08	3.299984e+00
1.310998562654656e-08	3.299984e+00
1.488232472164329e-08	3.299984e+00
1.829128519957915e-08	3.299984e+00
2.159305022760429e-08	3.299984e+00
2.427225746823962e-08	3.299984e+00
2.657853337276497e-08	3.299984e+00
2.912009098941099e-08	3.299984e+00
3.215647779216308e-08	3.299984e+00
3.542973472423602e-08	3.299984e+00
3.788010998399733e-08	3.299984e+00
4.024089301011057e-08	3.299984e+00
4.309786231832071e-08	3.299984e+00
4.622193498947214e-08	3.299984e+00
5.033882649143640e-08	3.299984e+00
5.280998741787404e-08	3.299984e+00
5.522288999876101e-08	3.299984e+00
5.843005066167109e-08	3.299984e+00
6.153947468267845e-08	3.299984e+00
6.417157414935364e-08	3.299984e+00
6.658249255547926e-08	3.299984e+00
6.942387781316932e-08	3.299984e+00
7.258021395830095e-08	3.299984e+00
7.662275497609695e-08	3.299984e+00
7.898376244388076e-08	3.299984e+00
8.137078722612556e-08	3.299984e+00
8.465221625470753e-08	3.299984e+00
8.772527766280223e-08	3.299984e+00
9.050514972043211e-08	3.299984e+00
9.294406282810896e-08	3.299984e+00
9.577207112564758e-08	3.299984e+00
9.896563556965896e-08	3.299984e+00
1.029651447854918e-07	3.299984e+00
1.052447040016396e-07	3.299984e+00
1.076798880657217e-07	3.299984e+00
1.109813936244866e-07	3.299984e+00
1.140830204594794e-07	3.299984e+00
1.169392492759777e-07	3.299984e+00
1.193986272040364e-07	3.299984e+00
1.222405937793033e-07	3.299984e+00
1.254710770971147e-07	3.299984e+00
1.295067439609427e-07	3.299984e+00
1.318320006600681e-07	3.299984e+00
1.342896809144014e-07	3.299984e+00
1.376276743194698e-07	3.299984e+00
1.407992014268557e-07	3.299984e+00
1.436029616915874e-07	3.299984e+00
1.460897962876795e-07	3.299984e+00
1.490137631854473e-07	3.299984e+00
1.522762854310520e-07	3.299984e+00
1.565507640136446e-07	3.299984e+00
1.592060211284986e-07	3.299984e+00
1.618045781925699e-07	3.299984e+00
1.651129462659294e-07	3.299984e+00
1.686408007824997e-07	3.299984e+00
1.711162365907855e-07	3.299984e+00
1.736557695030198e-07	3.299984e+00
1.771688071774374e-07	3.299984e+00
1.804517227790916e-07	3.299984e+00
1.834565051506294e-07	3.299984e+00
1.859720819748103e-07	3.299984e+00
1.887706261246904e-07	3.299984e+00
1.920075609581477e-07	3.299984e+00
1.959628531670380e-07	3.299984e+00
1.984771896054049e-07	3.299984e+00
2.011398467844400e-07	3.299984e+00
2.045940985767366e-07	3.299984e+00
2.082904057597152e-07	3.299984e+00
2.108399061310043e-07	3.299984e+00
2.133643678959402e-07	3.299984e+00
2.164528816688980e-07	3.299984e+00
2.197340684553357e-07	3.299984e+00
2.234313016109545e-07	3.299984e+00
2.262477659082723e-07	3.299984e+00
2.292953670735428e-07	3.299984e+00
2.326996597351141e-07	3.299984e+00
2.374883115305000e-07	3.299984e+00
2.407055491272818e-07	3.299984e+00
2.437328652776002e-07	3.299984e+00
2.470938946197350e-07	3.299984e+00
2.504060763830163e-07	3.299984e+00
2.531790401838179e-07	3.299984e+00
2.563307097979198e-07	3.299984e+00
2.597607031584010e-07	3.299984e+00
2.638600139579182e-07	3.299984e+00
2.668101797770843e-07	3.299984e+00
2.697818243966653e-07	3.299984e+00
2.731549613465724e-07	3.299984e+00
2.773489908080203e-07	3.299984e+00
2.804265044051182e-07	3.299984e+00
2.836543915358808e-07	3.299984e+00
2.871660526213846e-07	3.299984e+00
2.906268809662489e-07	3.299984e+00
2.934236756480184e-07	3.299984e+00
2.964614462917730e-07	3.299984e+00
2.998506372451276e-07	3.299984e+00
3.041155029316683e-07	3.299984e+00
3.072206214334407e-07	3.299984e+00
3.104849700372798e-07	3.299984e+00
3.140381212186178e-07	3.299984e+00
