time	I(Cij)
0.000000000000000e+00	-3.299998e-03
9.999999939225290e-09	-3.308946e-03
1.015624993827569e-08	-3.309021e-03
1.109374993257806e-08	-3.309486e-03
1.205431650675559e-08	-3.309976e-03
1.310998562654656e-08	-3.310497e-03
1.488232472164329e-08	-3.311235e-03
1.829128519957915e-08	-3.311812e-03
2.159305022760429e-08	-3.311185e-03
2.427225746823962e-08	-3.310031e-03
2.657853337276497e-08	-3.308937e-03
2.912009098941099e-08	-3.308051e-03
3.215647779216308e-08	-3.307834e-03
3.542973472423602e-08	-3.308674e-03
3.788010998399733e-08	-3.309784e-03
4.024089301011057e-08	-3.310859e-03
4.309786231832071e-08	-3.311674e-03
4.622193498947214e-08	-3.311605e-03
5.033882649143640e-08	-3.310211e-03
5.280998741787404e-08	-3.309064e-03
5.522288999876101e-08	-3.308190e-03
5.843005066167109e-08	-3.307872e-03
6.153947468267845e-08	-3.308575e-03
6.417157414935364e-08	-3.309700e-03
6.658249255547926e-08	-3.310773e-03
6.942387781316932e-08	-3.311591e-03
7.258021395830095e-08	-3.311562e-03
7.662275497609695e-08	-3.310262e-03
7.898376244388076e-08	-3.309188e-03
8.137078722612556e-08	-3.308302e-03
8.465221625470753e-08	-3.307898e-03
8.772527766280223e-08	-3.308502e-03
9.050514972043211e-08	-3.309629e-03
9.294406282810896e-08	-3.310689e-03
9.577207112564758e-08	-3.311504e-03
9.896563556965896e-08	-3.311507e-03
1.029651447854918e-07	-3.310279e-03
1.052447040016396e-07	-3.309268e-03
1.076798880657217e-07	-3.308366e-03
1.109813936244866e-07	-3.307927e-03
1.140830204594794e-07	-3.308485e-03
1.169392492759777e-07	-3.309598e-03
1.193986272040364e-07	-3.310637e-03
1.222405937793033e-07	-3.311434e-03
1.254710770971147e-07	-3.311432e-03
1.295067439609427e-07	-3.310217e-03
1.318320006600681e-07	-3.309217e-03
1.342896809144014e-07	-3.308350e-03
1.376276743194698e-07	-3.307964e-03
1.407992014268557e-07	-3.308570e-03
1.436029616915874e-07	-3.309655e-03
1.460897962876795e-07	-3.310664e-03
1.490137631854473e-07	-3.311404e-03
1.522762854310520e-07	-3.311310e-03
1.565507640136446e-07	-3.309977e-03
1.592060211284986e-07	-3.308898e-03
1.618045781925699e-07	-3.308157e-03
1.651129462659294e-07	-3.308075e-03
1.686408007824997e-07	-3.309011e-03
1.711162365907855e-07	-3.310016e-03
1.736557695030198e-07	-3.310928e-03
1.771688071774374e-07	-3.311418e-03
1.804517227790916e-07	-3.310876e-03
1.834565051506294e-07	-3.309775e-03
1.859720819748103e-07	-3.308797e-03
1.887706261246904e-07	-3.308106e-03
1.920075609581477e-07	-3.308164e-03
1.959628531670380e-07	-3.309309e-03
1.984771896054049e-07	-3.310302e-03
2.011398467844400e-07	-3.311103e-03
2.045940985767366e-07	-3.311296e-03
2.082904057597152e-07	-3.310416e-03
2.108399061310043e-07	-3.309428e-03
2.133643678959402e-07	-3.308544e-03
2.164528816688980e-07	-3.308044e-03
2.197340684553357e-07	-3.308424e-03
2.234313016109545e-07	-3.309654e-03
2.262477659082723e-07	-3.310668e-03
2.292953670735428e-07	-3.311259e-03
2.326996597351141e-07	-3.310984e-03
2.374883115305000e-07	-3.309477e-03
2.407055491272818e-07	-3.308432e-03
2.437328652776002e-07	-3.308066e-03
2.470938946197350e-07	-3.308569e-03
2.504060763830163e-07	-3.309695e-03
2.531790401838179e-07	-3.310655e-03
2.563307097979198e-07	-3.311208e-03
2.597607031584010e-07	-3.310876e-03
2.638600139579182e-07	-3.309583e-03
2.668101797770843e-07	-3.308592e-03
2.697818243966653e-07	-3.308103e-03
