config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
20.0,0.0,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,9.7977453940282e-09
20.0,9.999999439624929e-11,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.00026200493,-0.00026200493,-0.00026200493,-0.00026200493,-0.00026200493,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,1.95954907880564e-08
20.0,1.9999998879249858e-10,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.00026200493,-0.00026200493,-0.00026200493,-0.00026200493,-0.00026200493,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,3.42921088790987e-08
20.0,3.9999997758499717e-10,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,6.36853450611833e-08
20.0,7.999999551699943e-10,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,1.224718174253525e-07
20.0,1.5999999103399887e-09,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,2.400447621536909e-07
20.0,3.1999998206799773e-09,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,4.751906516103677e-07
20.0,6.399999641359955e-09,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,9.454824305237213e-07
20.0,1.279999928271991e-08,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,1.8860659883504287e-06
20.0,2.559999856543982e-08,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,3.7672331040038433e-06
20.0,5.119999713087964e-08,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,7.529567335310673e-06
20.0,1.0239999426175928e-07,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,1.5054235797924328e-05
20.0,2.0479998852351855e-07,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,3.0103572723151645e-05
20.0,4.095999770470371e-07,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,6.0202246573606284e-05
20.0,8.191999540940742e-07,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,0.00012039959427451554
20.0,1.6383999081881484e-06,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,0.00024079428967633407
20.0,3.276799816376297e-06,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,0.0004815836804799711
20.0,6.553599632752594e-06,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-2.0104084,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-0.0002620049,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-2.0069473,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-0.00026199833,-1.9887302,-1.9887302,-1.9887302,-1.9887302,-1.9887302,9.898356,9.898356,0.0009631624620872451
