config_id,t_s,V_out_diff_V
3.0,0.0,2.6226044e-06
3.0,9.999999439624929e-11,2.6226044e-06
3.0,1.9999998879249858e-10,2.6226044e-06
3.0,3.9999997758499717e-10,2.6226044e-06
3.0,7.999999551699943e-10,2.6226044e-06
3.0,1.5999999103399887e-09,2.6226044e-06
3.0,3.1999998206799773e-09,2.6226044e-06
3.0,6.399999641359955e-09,2.6226044e-06
3.0,1.279999928271991e-08,2.6226044e-06
3.0,2.559999856543982e-08,1.1920929e-06
3.0,5.119999713087964e-08,-4.3153763e-05
3.0,9.253554195448898e-08,2.7418137e-05
3.0,1.5102375274593614e-07,0.00011944771
3.0,2.0570403206420794e-07,4.4345856e-05
3.0,2.7117432161109125e-07,3.9815903e-05
3.0,3.3079410922077336e-07,2.4318695e-05
3.0,4.4484068879199265e-07,-7.867813e-06
3.0,4.706666947646505e-07,-1.9073486e-05
3.0,5.223187067099662e-07,-1.9550323e-05
3.0,6.256227306005977e-07,-1.8835068e-05
3.0,8.322307783818606e-07,-1.7166138e-05
3.0,1.2454468739443863e-06,-1.9550323e-05
3.0,1.8345663213577885e-06,-3.5762787e-05
3.0,2.595079653865028e-06,-6.723404e-05
3.0,3.6894095204207704e-06,-0.00015735626
3.0,5.7094914543725165e-06,-0.00047898293
3.0,9.749655322276009e-06,0.0005400181
3.0,1.782998305808299e-05,-0.005718231
3.0,2.782998305808299e-05,-0.01228857
3.0,3.782998305808299e-05,-0.0043361187
3.0,4.782998305808299e-05,0.0006902218
3.0,5.782998305808299e-05,0.0003092289
3.0,6.782998305808298e-05,0.00010967255
3.0,7.782998305808298e-05,-3.695488e-05
3.0,8.782998305808298e-05,-0.0003387928
3.0,9.782998305808298e-05,-0.00013923645
3.0,0.00010000000099999939,-1.7404556e-05
3.0,0.0001000000019999994,-1.7404556e-05
3.0,0.00010000001799999939,-1.7166138e-05
3.0,0.0001000000499999994,-1.7166138e-05
3.0,0.0001000001139999994,-1.7166138e-05
3.0,0.00010000024199999939,-1.7166138e-05
3.0,0.0001000004979999994,-1.7404556e-05
3.0,0.0001000010099999994,-1.7404556e-05
3.0,0.0001000020339999994,-1.7404556e-05
3.0,0.0001000040819999994,-1.7404556e-05
3.0,0.0001000081779999994,-1.7642975e-05
3.0,0.00010001636999999942,-1.7642975e-05
3.0,0.00010003275399999943,-1.7642975e-05
3.0,0.00010006552199999947,-1.7404556e-05
3.0,0.00010013105799999955,-1.7642975e-05
3.0,0.0001002621299999997,-1.7642975e-05
3.0,0.00010052427399999999,-1.859665e-05
3.0,0.00010104856200000059,-2.2649765e-05
3.0,0.00010209713800000177,-3.9815903e-05
3.0,0.00010419429000000415,-0.00012111664
3.0,0.00010838859400000891,-0.0005028248
3.0,0.00011677720200001842,-0.0012106895
3.0,0.00012677720200001842,-0.0007431507
3.0,0.00013677720200001842,0.0007817745
3.0,0.00014677720200001842,0.0015079975
3.0,0.00015677720200001842,0.000957489
3.0,0.00016677720200001842,0.0002541542
3.0,0.00017677720200001842,9.846687e-05
3.0,0.00018677720200001841,6.1035156e-05
3.0,0.00019677720200001841,1.8835068e-05
3.0,0.0002067772020000184,1.5497208e-05
3.0,0.0002167772020000184,6.914139e-06
3.0,0.0002267772020000184,6.4373016e-06
3.0,0.0002367772020000184,4.529953e-06
3.0,0.0002467772020000184,4.529953e-06
3.0,0.0002567772020000184,4.053116e-06
3.0,0.0002667772020000184,-0.020982504
3.0,0.0002767772020000184,0.024080038
3.0,0.0002867772020000184,0.13967395
3.0,0.0002947197806555347,0.31914067
3.0,0.0003019963166986595,0.5740552
3.0,0.0003091655840080744,0.8295226
3.0,0.00031648647599347645,1.0378702
3.0,0.00032402787836454647,1.1795723
3.0,0.0003306933957724471,1.2727109
3.0,0.0003380740342994042,1.3701524
3.0,0.0003480740342994042,1.4993387
3.0,0.0003580740342994042,1.6267457
3.0,0.0003680740342994042,1.7529184
3.0,0.0003780740342994042,1.8782082
3.0,0.0003880740342994042,2.0028596
3.0,0.0003980740342994042,2.1268992
3.0,0.0004080740342994042,2.2504508
3.0,0.0004180740342994042,2.3735015
3.0,0.0004280740342994042,2.4961402
3.0,0.0004380740342994042,2.618335
3.0,0.0004480740342994042,2.7401588
3.0,0.0004580740342994042,2.8615732
3.0,0.0004680740342994042,2.9826417
3.0,0.0004780740342994042,3.086844
3.0,0.0004880740342994042,3.149368
3.0,0.0004980740342994042,3.1744092
3.0,0.0005080740342994042,3.1853013
3.0,0.0005180740342994042,3.192606
3.0,0.0005280740342994042,3.198187
3.0,0.0005380740342994042,3.202641
3.0,0.0005480740342994042,3.2063794
3.0,0.0005580740342994042,3.2095332
3.0,0.0005680740342994041,3.212293
3.0,0.0005780740342994042,3.2146766
3.0,0.0005880740342994042,3.21681
